ID,RainTomorrow
0,No
1,No
2,No
3,No
4,No
6,No
8,No
9,Yes
10,No
11,No
12,Yes
13,No
14,Yes
15,No
16,Yes
17,No
19,No
20,No
21,No
22,No
23,No
24,No
25,No
26,No
28,No
29,No
30,No
31,Yes
32,No
33,No
35,No
36,No
37,No
39,No
40,Yes
42,No
44,No
45,No
47,No
49,No
50,No
51,No
52,No
53,No
54,No
55,No
58,No
59,No
60,Yes
61,No
62,No
64,No
65,No
66,No
67,No
68,No
69,Yes
71,Yes
72,No
74,Yes
75,No
76,Yes
77,No
78,No
79,No
80,No
81,Yes
82,No
84,No
85,No
86,No
87,Yes
88,No
89,Yes
90,No
91,Yes
92,No
93,Yes
94,No
95,No
96,No
97,No
98,No
100,No
101,Yes
102,No
103,No
104,Yes
105,No
106,No
107,Yes
108,No
109,No
110,No
111,No
112,No
113,No
114,No
115,Yes
116,No
117,No
118,No
120,No
121,Yes
122,No
123,Yes
124,No
126,No
128,Yes
130,Yes
131,No
132,Yes
133,No
134,No
136,No
137,No
139,No
140,No
141,No
142,No
143,No
144,No
145,No
146,No
147,No
153,No
154,No
156,No
157,No
159,No
160,No
161,No
163,No
164,No
165,No
167,Yes
168,No
169,No
170,Yes
171,Yes
172,No
173,No
174,No
175,Yes
176,No
177,Yes
178,No
179,No
180,Yes
182,No
183,No
184,Yes
185,No
186,No
187,No
188,No
189,No
190,No
191,Yes
192,No
193,Yes
194,Yes
195,Yes
196,No
197,No
198,No
199,No
200,Yes
201,Yes
202,Yes
203,No
204,No
205,Yes
206,No
207,No
208,Yes
209,No
210,Yes
211,No
212,Yes
213,Yes
214,No
215,No
216,No
217,Yes
218,No
219,No
220,No
222,No
223,No
224,No
225,No
227,No
230,No
236,No
237,Yes
238,No
239,No
240,No
241,Yes
242,No
243,Yes
244,Yes
245,No
246,No
248,No
249,No
251,No
254,No
255,Yes
256,No
257,No
258,No
260,No
261,No
262,No
263,No
265,No
266,No
268,Yes
269,Yes
270,No
271,Yes
272,No
273,Yes
274,No
275,No
276,No
279,No
280,No
281,No
282,No
283,No
284,No
285,Yes
286,No
287,No
288,No
289,No
290,Yes
292,No
294,Yes
295,No
297,No
298,Yes
299,No
300,No
302,No
303,No
304,No
305,No
306,No
307,No
308,No
310,Yes
311,Yes
312,No
313,No
315,No
316,No
318,No
319,No
321,No
322,No
323,Yes
326,No
327,No
328,No
329,No
330,No
331,No
332,No
334,No
335,No
340,No
341,No
342,No
344,Yes
346,Yes
348,No
349,No
351,No
352,No
354,Yes
355,Yes
356,No
357,No
358,No
360,No
361,No
362,No
364,No
366,Yes
367,No
369,Yes
371,No
372,Yes
373,No
375,Yes
376,No
377,No
379,No
380,Yes
382,No
383,No
386,No
387,No
391,No
392,No
394,No
395,No
396,No
400,No
401,No
403,Yes
405,Yes
406,No
407,Yes
409,No
410,No
411,No
412,Yes
414,Yes
415,Yes
416,No
417,No
418,No
419,No
420,No
421,Yes
423,No
424,Yes
425,No
426,No
428,No
429,Yes
430,No
432,Yes
433,Yes
434,No
435,No
437,No
438,No
439,No
440,No
441,Yes
442,No
443,No
444,Yes
446,No
447,No
449,Yes
450,No
451,Yes
452,No
454,Yes
455,No
457,No
458,No
459,No
460,No
461,No
462,No
463,No
464,No
465,Yes
466,Yes
467,No
468,No
469,No
470,No
471,No
472,No
473,No
474,Yes
475,Yes
476,No
477,No
478,No
479,No
480,No
481,Yes
482,Yes
483,No
484,No
485,Yes
486,No
487,No
488,No
490,No
491,No
492,Yes
493,No
495,Yes
497,No
499,No
500,No
502,No
503,No
504,Yes
505,Yes
506,No
508,No
510,No
511,No
512,No
516,No
517,No
519,No
520,No
521,No
522,No
523,No
524,Yes
525,No
526,No
527,No
528,No
530,No
531,No
532,No
533,No
534,No
535,Yes
536,Yes
539,Yes
540,No
541,No
542,No
543,Yes
544,No
545,No
546,No
548,No
549,No
550,No
551,No
552,No
555,No
557,No
558,Yes
559,No
561,No
562,No
563,No
564,Yes
565,No
567,Yes
568,No
569,Yes
570,No
571,Yes
572,No
573,No
576,No
577,Yes
578,No
579,Yes
580,No
581,Yes
583,No
584,No
585,No
586,No
589,No
590,Yes
591,No
592,Yes
593,No
594,No
595,Yes
597,Yes
598,No
599,No
601,No
602,No
603,No
604,No
606,No
607,No
608,Yes
609,No
610,No
611,No
612,No
613,No
614,Yes
615,No
616,No
617,Yes
618,No
620,No
623,No
624,No
625,Yes
628,No
629,Yes
630,No
631,No
632,No
634,No
635,Yes
636,No
637,No
638,No
640,No
641,Yes
644,No
646,No
648,No
649,No
650,No
651,No
652,No
653,No
654,No
655,No
657,No
658,No
659,No
660,Yes
661,No
662,No
663,No
664,No
665,No
666,No
667,No
668,No
669,No
670,No
672,No
673,No
674,No
675,No
676,Yes
677,No
678,No
679,Yes
680,No
681,No
682,No
683,No
684,No
685,No
686,No
687,No
688,No
689,No
690,Yes
691,No
692,No
693,Yes
694,No
695,Yes
697,No
698,No
699,No
700,Yes
701,No
703,Yes
705,Yes
706,No
707,No
708,No
710,No
711,No
712,No
713,No
714,Yes
715,No
717,No
718,No
719,No
720,No
721,No
724,No
725,No
728,No
729,No
730,No
731,No
732,No
733,No
734,No
735,No
736,Yes
737,No
738,No
739,No
740,No
741,No
742,No
743,No
744,No
745,Yes
746,No
747,No
749,Yes
750,No
751,No
752,No
753,No
756,No
757,No
759,No
760,No
761,Yes
762,No
763,No
764,No
765,No
766,Yes
767,No
768,Yes
769,No
770,No
771,No
772,No
773,No
774,Yes
775,No
776,Yes
778,No
780,Yes
781,No
783,No
784,Yes
785,No
786,No
788,No
790,Yes
791,No
793,No
794,No
795,No
796,Yes
797,No
798,No
799,No
800,No
801,No
802,Yes
803,Yes
805,Yes
807,No
808,No
809,No
810,No
811,No
813,Yes
814,No
816,No
817,Yes
818,No
821,No
822,No
823,No
824,No
825,No
829,No
830,No
831,Yes
832,Yes
833,No
834,No
835,Yes
836,No
837,Yes
838,No
839,No
841,No
842,No
843,Yes
844,No
846,No
847,No
849,No
850,Yes
852,No
853,No
854,Yes
855,No
856,No
857,Yes
858,No
859,No
860,Yes
861,No
863,Yes
864,No
866,No
867,No
868,No
869,No
870,No
871,No
874,No
875,No
876,Yes
877,Yes
878,No
879,No
880,No
882,Yes
883,No
884,No
885,No
886,No
887,No
888,No
889,No
890,No
892,No
893,No
894,No
895,No
896,Yes
897,No
898,Yes
899,Yes
900,No
902,No
904,Yes
907,No
908,Yes
909,No
910,No
911,Yes
912,No
913,No
914,No
915,Yes
916,No
917,No
918,No
919,Yes
923,No
924,No
925,No
926,No
927,No
928,No
929,No
930,No
931,No
932,No
933,No
935,Yes
936,No
938,No
939,No
940,No
941,No
942,Yes
943,No
944,No
945,No
946,Yes
948,No
949,No
951,Yes
952,No
953,No
954,No
956,No
957,Yes
958,No
959,No
960,No
961,Yes
962,Yes
963,Yes
964,No
966,No
967,No
968,No
969,No
970,No
971,No
972,No
975,No
976,Yes
977,No
978,No
979,Yes
982,No
984,No
985,No
986,No
987,No
988,Yes
989,No
990,No
991,No
992,No
993,Yes
994,Yes
996,Yes
997,No
998,No
999,No
1001,No
1002,No
1003,No
1004,No
1006,No
1007,No
1008,No
1010,No
1012,No
1013,No
1014,No
1015,No
1016,No
1017,No
1018,No
1019,No
1020,No
1021,No
1022,Yes
1023,No
1024,Yes
1025,No
1027,No
1029,No
1030,No
1031,No
1032,No
1033,No
1034,Yes
1035,No
1036,Yes
1037,No
1038,No
1039,No
1040,No
1041,No
1042,No
1044,No
1045,No
1046,Yes
1047,No
1049,No
1050,No
1051,No
1052,No
1053,No
1054,No
1055,No
1056,No
1057,No
1060,Yes
1061,Yes
1062,No
1063,No
1064,No
1067,No
1069,No
1070,No
1071,Yes
1072,No
1073,No
1074,Yes
1076,No
1079,No
1080,No
1081,No
1082,No
1083,No
1084,No
1085,No
1086,No
1087,No
1088,No
1089,Yes
1090,No
1092,Yes
1093,No
1094,Yes
1096,No
1097,No
1098,No
1100,No
1101,No
1102,No
1103,No
1104,No
1105,No
1106,No
1107,No
1108,No
1109,No
1110,No
1111,No
1113,Yes
1114,Yes
1115,Yes
1116,No
1118,No
1120,No
1121,Yes
1123,No
1124,Yes
1126,Yes
1127,No
1128,No
1129,No
1134,No
1136,Yes
1137,No
1138,No
1139,No
1141,No
1142,No
1143,Yes
1145,No
1146,No
1147,Yes
1148,Yes
1149,No
1150,No
1151,Yes
1152,No
1153,No
1154,No
1155,Yes
1156,No
1160,No
1161,No
1162,No
1163,Yes
1164,No
1165,No
1166,No
1168,No
1169,Yes
1170,No
1171,No
1172,Yes
1174,No
