enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours
25298,city_138,0.836,Male,No relevent experience,Full time course,High School,,5,100-500,Pvt Ltd,1,45
4241,city_160,0.92,Male,No relevent experience,Full time course,High School,,5,,,1,17
24086,city_57,0.866,Male,No relevent experience,no_enrollment,Graduate,STEM,10,,,1,50
26773,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,135
32325,city_143,0.74,,No relevent experience,Full time course,Graduate,STEM,5,,,never,17
11103,city_105,0.794,Male,Has relevent experience,Full time course,Graduate,STEM,6,10/49,Pvt Ltd,never,62
31618,city_102,0.804,Male,No relevent experience,no_enrollment,Primary School,,6,10/49,Pvt Ltd,1,94
14682,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,14,10000+,Pvt Ltd,>4,16
24199,city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,20,1000-4999,Pvt Ltd,2,14
29416,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,1,28
26404,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,6,,,1,144
33307,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,7,100-500,Pvt Ltd,4,45
11183,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,4,42
30902,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,1,12
23621,city_103,0.92,Male,No relevent experience,Full time course,High School,,9,,,never,55
13955,city_57,0.866,Male,Has relevent experience,no_enrollment,Masters,STEM,8,100-500,Pvt Ltd,2,32
2906,city_105,0.794,Male,Has relevent experience,Part time course,Graduate,STEM,4,100-500,Pvt Ltd,3,39
13911,city_81,0.73,Male,No relevent experience,Full time course,Graduate,STEM,4,,,never,326
29141,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,<10,Pvt Ltd,1,98
23828,city_67,0.855,Female,No relevent experience,Full time course,Graduate,STEM,3,,,1,21
11269,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,>20,,,>4,82
