Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
246,328,110,4,4.0,2.5,9.02,1,0.81
100,323,113,3,4.0,4.0,8.88,1,0.79
79,296,95,2,3.0,2.0,7.54,1,0.44
53,334,116,4,4.0,3.0,8.0,1,0.78
444,321,114,5,4.5,4.5,9.16,1,0.87
475,308,105,4,3.0,2.5,7.95,1,0.67
137,312,103,3,5.0,4.0,8.45,0,0.76
249,324,110,3,3.5,4.0,8.87,1,0.8
58,298,99,2,4.0,2.0,7.6,0,0.46
108,338,117,4,3.5,4.5,9.46,1,0.91
187,317,107,3,3.5,3.0,8.68,1,0.84
480,325,110,4,4.5,4.0,8.96,1,0.79
102,312,105,2,2.5,3.0,8.12,0,0.64
41,308,110,3,3.5,3.0,8.0,1,0.46
436,309,105,2,2.5,4.0,7.68,0,0.55
57,316,102,3,2.0,3.0,7.4,0,0.64
376,304,101,2,2.0,2.5,7.66,0,0.38
315,305,105,2,3.0,4.0,8.13,0,0.66
365,313,102,3,3.5,4.0,8.9,1,0.77
59,300,99,1,3.0,2.0,6.8,1,0.36
215,331,117,4,4.5,5.0,9.42,1,0.94
388,307,105,2,2.0,3.5,8.1,0,0.53
142,332,118,2,4.5,3.5,9.36,1,0.9
21,312,107,3,3.0,2.0,7.9,1,0.64
78,301,99,2,3.0,2.0,8.22,0,0.64
405,311,101,3,2.0,2.5,7.64,1,0.62
164,317,105,3,3.5,3.0,8.56,0,0.68
220,312,104,3,3.5,3.5,8.42,0,0.74
38,300,105,1,1.0,2.0,7.8,0,0.58
299,330,114,3,4.5,4.5,9.24,1,0.9
73,321,111,5,5.0,5.0,9.45,1,0.93
352,325,110,4,3.5,4.0,8.67,1,0.73
91,318,106,2,4.0,4.0,7.92,1,0.64
338,332,118,5,5.0,5.0,9.47,1,0.94
195,316,109,3,3.5,3.0,8.76,0,0.77
193,322,114,5,4.5,4.0,8.94,1,0.86
243,324,115,3,3.5,3.0,8.76,1,0.7
288,324,114,5,5.0,4.5,9.08,1,0.89
1,337,118,4,4.5,4.5,9.65,1,0.92
430,340,115,5,5.0,4.5,9.06,1,0.95
407,322,103,4,3.0,2.5,8.02,1,0.61
163,318,109,3,3.0,3.0,8.5,0,0.67
391,314,102,2,2.0,2.5,8.24,0,0.64
104,317,104,2,4.5,4.0,8.47,0,0.57
425,325,114,5,4.0,5.0,9.46,1,0.91
18,319,106,3,4.0,3.0,8.0,1,0.65
412,313,94,2,2.5,1.5,8.13,0,0.56
27,322,109,5,4.5,3.5,8.8,0,0.76
127,323,113,3,4.0,3.0,9.32,1,0.85
199,311,104,3,4.5,4.5,8.43,0,0.7
458,295,99,1,2.0,1.5,7.57,0,0.37
240,299,100,1,1.5,2.0,7.89,0,0.59
110,304,103,5,5.0,4.0,8.64,0,0.68
