사고내용,가해자성별,가해자연령,가해자차종,피해자신체상해정도,사고유형,기상상태,사망자수,발생시각
경상,여,75세,자전거,경상,차대차 - 기타,맑음,0,2018-04-03 15시
중상,여,26세,자전거,중상,차대차 - 측면충돌,맑음,0,2018-04-21 13시
중상,남,34세,자전거,중상,차대차 - 기타,맑음,0,2018-05-01 08시
경상,남,45세,자전거,경상,차대차 - 기타,맑음,0,2018-06-03 18시
중상,남,20세,자전거,중상,차대차 - 측면충돌,맑음,0,2018-06-28 16시
중상,남,78세,화물차,중상,차대차 - 측면충돌,맑음,0,2018-11-30 10시
중상,여,51세,승용차,중상,차대차 - 기타,맑음,0,2018-05-15 07시
중상,여,,승용차,중상,차대차 - 기타,맑음,0,2018-07-04 14시
경상,남,44세,화물차,경상,차대차 - 기타,맑음,0,2018-09-10 08시
중상,남,67세,승용차,중상,차대차 - 기타,맑음,0,2018-02-11 21시
중상,남,48세,승용차,중상,차대차 - 기타,맑음,0,2018-10-19 15시
중상,남,52세,화물차,중상,차대차 - 기타,맑음,0,2018-05-10 12시
경상,남,43세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-01-16 10시
경상,남,32세,승용차,경상,차대차 - 측면충돌,맑음,0,2018-01-24 21시
중상,남,,승용차,중상,차대차 - 추돌,맑음,0,2018-09-17 11시
경상,남,63세,화물차,경상,차대차 - 측면충돌,맑음,1,2018-09-06 08시
경상,남,53세,화물차,경상,차대차 - 추돌,맑음,1,2018-09-19 18시
경상,남,36세,승용차,경상,차대차 - 측면충돌,맑음,1,2018-06-11 17시
경상,남,15세,자전거,경상,차대차 - 측면충돌,맑음,1,2018-06-19 20시
경상,남,19세,자전거,경상,차대차 - 측면충돌,맑음,1,2018-07-04 09시
경상,여,50세,자전거,경상,차대차 - 기타,맑음,0,2018-06-02 19시
중상,남,56세,화물차,중상,차대차 - 측면충돌,맑음,0,2018-06-15 08시
중상,남,58세,자전거,중상,차대사람 - 기타,맑음,0,2018-04-12 20시
중상,남,57세,승용차,중상,차대차 - 기타,맑음,0,2018-05-04 13시
경상,여,68세,자전거,경상,차대차 - 기타,맑음,0,2018-07-28 09시
경상,남,,승용차,경상,차대차 - 측면충돌,맑음,0,2018-03-22 05시
경상,남,76세,자전거,경상,차대차 - 측면충돌,맑음,0,2018-08-15 16시
중상,남,55세,승용차,중상,차대차 - 기타,맑음,0,2018-04-11 08시
중상,남,57세,승용차,중상,차대차 - 기타,맑음,0,2018-05-31 08시
