사고년도,가해자성별,가해자연령,가해차종,가해자신체상해정도,피해자성별,피해자연령,피해차종,피해자신체상해정도,사고유형,가해자법규위반,기상상태,시각,사건번호
2015,남,46세,승합차,상해없음,여,64세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2015-07-03_10시,ID_796
2019,남,53세,승용차,상해없음,여,57세,자전거,경상,차대차 - 후진중충돌,안전운전불이행,맑음,2019-10-12_10시,ID_6697
2015,남,39세,승용차,상해없음,남,63세,자전거,중상,차대차 - 기타,기타,맑음,2015-03-23_20시,ID_919
2016,남,12세,자전거,상해없음,남,52세,보행자,경상,차대사람 - 길가장자리구역통행중,안전운전불이행,맑음,2016-04-10_15시,ID_2512
2015,남,54세,승용차,상해없음,남,63세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2015-08-04_6시,ID_75
2019,남,69세,승용차,상해없음,남,71세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2019-07-10_6시,ID_6186
2017,남,56세,화물차,상해없음,남,12세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2017-10-20_8시,ID_4766
2016,남,51세,화물차,상해없음,남,61세,자전거,경상,차대차 - 정면충돌,신호위반,맑음,2016-05-16_10시,ID_3464
2018,남,61세,승용차,상해없음,여,72세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2018-02-21_7시,ID_5200
2017,남,48세,승용차,상해없음,남,49세,자전거,경상,차대차 - 측면충돌,기타,맑음,2017-10-24_8시,ID_3992
2019,남,49세,승용차,상해없음,남,18세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2019-08-19_21시,ID_6334
2019,남,40세,승용차,상해없음,남,24세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2019-04-23_19시,ID_6378
2018,남,44세,승용차,상해없음,남,54세,자전거,중상,차대차 - 측면충돌,안전거리미확보,맑음,2018-06-21_17시,ID_5185
2018,남,17세,자전거,상해없음,여,46세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2018-02-22_22시,ID_5754
2015,여,46세,승용차,상해없음,남,49세,자전거,경상,차대차 - 추돌 - 진행중,신호위반,맑음,2015-10-06_0시,ID_1340
2019,남,50세,승용차,상해없음,남,27세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2019-06-17_20시,ID_6563
2019,남,61세,승용차,상해없음,남,14세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2019-10-04_19시,ID_5864
2017,남,43세,승용차,상해없음,남,64세,자전거,중상,차대차 - 정면충돌,안전운전불이행,맑음,2017-06-17_4시,ID_4417
2015,남,50세,승용차,상해없음,남,70세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,2015-06-05_8시,ID_1221
2017,여,40세,승용차,상해없음,여,15세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2017-04-20_13시,ID_4508
2019,여,27세,승용차,상해없음,남,65세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2019-07-18_17시,ID_5961
2017,여,31세,승용차,상해없음,남,59세,자전거,경상,차대차 - 측면충돌,직진우회전진행방해,맑음,2017-05-18_9시,ID_4349
2015,남,22세,자전거,상해없음,남,62세,보행자,경상,차대사람 - 기타,안전운전불이행,비,2015-05-11_18시,ID_251
2018,남,31세,승용차,상해없음,남,34세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2018-12-13_8시,ID_5158
2015,남,49세,승용차,상해없음,남,22세,자전거,중상,차대차 - 기타,기타,맑음,2015-11-06_18시,ID_1038
2019,남,63세,자전거,상해없음,남,47세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,2019-02-24_10시,ID_6047
2020,남,70세,승용차,상해없음,남,18세,자전거,경상,차대차 - 측면충돌,안전운전불이행,맑음,2020-01-30_0시,ID_7547
2016,남,38세,자전거,부상신고,남,25세,자전거,경상,차대차 - 정면충돌,안전운전불이행,맑음,2016-05-08_20시,ID_2164
2019,여,51세,승용차,상해없음,여,78세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2019-01-24_10시,ID_6757
2020,남,74세,자전거,상해없음,여,68세,자전거,중상,차대차 - 측면충돌,안전운전불이행,맑음,2020-10-04_17시,ID_6909
2017,남,40세,자전거,상해없음,여,47세,보행자,경상,차대사람 - 횡단중,안전운전불이행,맑음,2017-08-05_9시,ID_3836
2017,남,57세,승용차,상해없음,여,15세,자전거,경상,차대차 - 기타,신호위반,맑음,2017-03-07_8시,ID_4571
2015,남,46세,승용차,상해없음,여,59세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2015-04-06_21시,ID_649
2015,남,42세,화물차,상해없음,남,71세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,2015-02-17_12시,ID_229
2018,남,56세,승용차,상해없음,남,52세,자전거,경상,차대차 - 측면충돌,교차로통행방법위반,맑음,2018-06-22_21시,ID_5525
2019,남,59세,승용차,상해없음,여,64세,자전거,중상,차대차 - 기타,안전운전불이행,맑음,2019-06-08_8시,ID_5836
