나이,선호도
청년,2
장년,2
청년,2
청년,1
장년,1
노년,2
청년,2
장년,3
장년,2
장년,3
장년,1
장년,1
청년,1
노년,1
청년,1
청년,2
청년,3
청년,2
노년,2
노년,2
노년,1
장년,3
청년,2
청년,1
노년,3
청년,2
장년,2
청년,1
청년,2
청년,2
청년,2
장년,1
청년,3
청년,3
청년,3
노년,3
장년,3
청년,1
청년,3
노년,3
노년,3
노년,1
노년,1
청년,1
노년,3
청년,1
청년,3
청년,2
노년,1
노년,2
청년,1
노년,2
노년,3
노년,1
노년,3
청년,1
청년,1
장년,1
노년,1
청년,2
청년,3
노년,1
장년,1
청년,3
장년,1
청년,3
노년,2
노년,3
장년,2
노년,2
노년,3
노년,1
노년,3
장년,1
장년,2
노년,1
노년,1
청년,2
노년,1
노년,1
청년,1
청년,1
노년,1
노년,2
장년,1
노년,3
노년,1
장년,2
노년,2
장년,2
청년,3
청년,2
장년,2
노년,3
노년,3
장년,1
노년,3
장년,1
청년,2
청년,2
청년,1
노년,2
청년,2
장년,2
청년,3
청년,1
청년,2
노년,1
노년,3
청년,2
노년,2
노년,3
장년,1
청년,2
청년,1
청년,1
청년,1
노년,3
노년,1
청년,1
노년,1
노년,1
노년,1
청년,3
장년,2
청년,3
노년,2
청년,3
청년,3
장년,3
노년,3
청년,3
노년,1
청년,1
장년,3
청년,2
청년,1
장년,2
청년,2
청년,2
장년,1
장년,3
노년,2
장년,3
청년,3
노년,1
장년,3
장년,1
청년,2
노년,1
노년,2
장년,1
장년,1
청년,2
노년,3
장년,1
장년,1
청년,1
청년,3
청년,1
장년,2
청년,1
청년,1
노년,2
청년,1
노년,1
노년,2
노년,1
노년,3
청년,1
장년,2
노년,2
장년,2
노년,2
장년,2
장년,3
장년,3
청년,1
노년,3
노년,3
노년,2
노년,1
노년,3
청년,2
장년,2
노년,2
노년,2
노년,1
청년,1
청년,2
청년,3
장년,2
청년,2
노년,2
청년,2
노년,2
장년,2
노년,3
노년,1
청년,3
청년,1
장년,3
노년,1
청년,1
노년,1
청년,3
장년,1
청년,1
노년,2
노년,2
노년,1
청년,1
청년,2
청년,2
청년,2
청년,2
노년,1
장년,1
장년,3
청년,3
청년,2
청년,2
청년,1
장년,2
청년,3
청년,1
장년,2
청년,3
장년,3
청년,1
장년,1
청년,1
장년,1
장년,3
청년,2
장년,1
청년,2
장년,2
청년,2
장년,3
청년,1
청년,1
노년,1
청년,3
청년,2
청년,1
청년,3
장년,2
청년,2
노년,3
청년,1
노년,1
장년,2
청년,2
청년,2
노년,2
장년,1
청년,1
청년,1
노년,2
청년,2
청년,1
청년,1
청년,1
노년,2
노년,2
노년,1
청년,3
청년,2
노년,2
청년,3
청년,3
청년,1
장년,1
노년,2
노년,2
장년,3
