발전기명,일자,설비용량,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
a,2020-01-01,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,12.73,51.49,96.16,131.46,146.45,135.97,93.28,53.84,21.63,5.69,4.61,4.27,1.33,0.53,0.0,0.0
b,2020-01-01,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178,12.599,54.979,92.596,130.71800000000002,154.67399999999998,135.644,88.25,51.059000000000005,22.282999999999998,5.244000000000001,4.183000000000001,3.8479999999999994,1.29,0.5640000000000001,0.0,0.0
c,2020-01-01,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179,13.229000000000001,47.722,98.584,135.693,136.897,146.557,90.641,50.344,22.072,5.652,4.495,4.0889999999999995,1.24,0.526,0.0,0.0
d,2020-01-01,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176,13.193,55.27,104.731,131.502,158.01,139.809,86.995,51.953,21.831,6.149,4.666,4.141,1.228,0.49100000000000005,0.0,0.0
a,2020-01-02,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,16.19,37.97,53.23,33.57,33.12,36.4,39.0,25.86,8.31,4.09,0.73,1.07,0.39,0.02,0.0,0.0
b,2020-01-02,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,15.110000000000001,40.649,48.646,30.462,33.080999999999996,36.07,37.387,28.158,8.483,4.479,0.787,1.08,0.391,0.019,0.0,0.0
c,2020-01-02,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47800000000000004,15.438,37.891,56.352,34.692,30.389999999999997,38.907,35.852,26.328,8.3,4.2299999999999995,0.752,1.002,0.403,0.022,0.0,0.0
d,2020-01-02,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5640000000000001,17.314,38.413,52.998999999999995,34.577,32.510999999999996,34.302,39.086,26.236,8.654,4.4399999999999995,0.796,1.1400000000000001,0.368,0.018000000000000002,0.0,0.0
a,2020-01-03,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,16.2,30.46,57.44,80.82,86.1,84.41,86.91,52.41,18.31,5.79,3.09,1.26,0.95,0.11,0.07,0.03
b,2020-01-03,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.387,17.186999999999998,28.257,52.994,80.32,78.018,78.03699999999999,85.395,50.73,16.593999999999998,6.356,3.2199999999999998,1.29,0.889,0.113,0.07,0.028999999999999998
c,2020-01-03,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,16.81,32.873,63.083999999999996,84.63199999999999,90.24,76.596,78.56099999999999,51.186,17.738,6.336,3.0989999999999998,1.249,0.857,0.112,0.07300000000000001,0.031
d,2020-01-03,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,17.259,32.043,55.699999999999996,88.55099999999999,83.35,92.744,92.024,54.074999999999996,18.084,5.2940000000000005,3.064,1.326,0.8839999999999999,0.117,0.07700000000000001,0.032
a,2020-01-04,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,21.08,80.77,122.61,150.94,175.35,175.63,150.31,102.53,35.21,6.86,4.62,4.32,1.5,0.63,0.05,0.0
b,2020-01-04,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602,22.689,75.637,117.13,157.07,184.231,178.367,140.985,94.742,37.88,6.872,5.001,4.492,1.468,0.606,0.051000000000000004,0.0
c,2020-01-04,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.635,21.261999999999997,78.75999999999999,133.837,159.324,171.656,163.09199999999998,154.269,96.242,37.411,7.393000000000001,4.178,4.197,1.436,0.687,0.045000000000000005,0.0
d,2020-01-04,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.577,20.444,83.12899999999999,114.913,138.837,184.888,183.952,140.568,106.673,36.258,6.317,4.449,4.595000000000001,1.589,0.657,0.046,0.0
a,2020-01-05,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,21.23,85.96,131.67,163.45,162.51,136.48,76.57,40.64,13.11,4.51,4.31,4.11,1.4,0.63,0.08,0.02
b,2020-01-05,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.499,21.779,90.499,142.224,164.331,160.379,150.009,78.75999999999999,40.886,13.078,4.2749999999999995,4.037,4.466,1.279,0.606,0.079,0.021
c,2020-01-05,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.465,22.723,79.07799999999999,119.41999999999999,157.34599999999998,158.945,147.63199999999998,72.57799999999999,37.102000000000004,11.898,4.343999999999999,4.430999999999999,3.845,1.291,0.644,0.08700000000000001,0.018000000000000002
d,2020-01-05,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512,22.001,87.255,133.503,153.664,159.069,128.688,69.282,40.945,14.324,4.633,4.702,4.343,1.309,0.638,0.083,0.021
a,2020-01-06,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.21,10.47,22.69,24.94,21.05,15.18,6.5,1.8,0.64,0.97,0.08,0.95,0.25,0.02,0.0,0.01
b,2020-01-06,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.415,9.606,22.862000000000002,25.924,20.864,14.98,6.894,1.958,0.657,1.064,0.074,0.98,0.271,0.022,0.0,0.009000000000000001
c,2020-01-06,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027999999999999997,2.351,11.255,24.316000000000003,23.537000000000003,22.584,14.937999999999999,7.107,1.956,0.702,0.9079999999999999,0.08600000000000001,0.999,0.262,0.021,0.0,0.009000000000000001
d,2020-01-06,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027999999999999997,2.082,10.498000000000001,23.867,26.275000000000002,21.284000000000002,14.19,6.196,1.716,0.642,0.9189999999999999,0.075,0.889,0.231,0.022,0.0,0.009000000000000001
a,2020-01-07,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,3.01,9.06,16.95,23.78,24.11,35.4,34.57,18.04,7.02,1.78,0.1,0.79,0.14,0.04,0.01,0.01
b,2020-01-07,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,3.0629999999999997,9.892000000000001,17.518,24.775000000000002,25.137,36.149,37.571,17.029999999999998,6.904999999999999,1.953,0.109,0.8200000000000001,0.14900000000000002,0.037,0.01,0.01
c,2020-01-07,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082,2.9669999999999996,8.714,17.641,24.5,24.309,38.274,33.997,17.749,6.550999999999999,1.702,0.096,0.769,0.14200000000000002,0.039,0.009000000000000001,0.01
d,2020-01-07,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,3.2049999999999996,8.901,17.057,25.582,22.515,36.602,33.698,16.419999999999998,6.356999999999999,1.7710000000000001,0.10800000000000001,0.8350000000000001,0.139,0.038,0.01,0.011
a,2020-01-08,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.52,14.94,58.65,69.99,66.26,59.81,46.73,28.25,13.08,3.16,0.15,0.79,0.1,0.01,0.01,0.01
b,2020-01-08,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,1.552,14.41,56.263,73.562,68.32600000000001,59.68,48.358999999999995,28.969,13.541,3.366,0.13599999999999998,0.777,0.10200000000000001,0.009000000000000001,0.011,0.011
c,2020-01-08,254.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,1.549,15.049,56.414,68.726,69.63900000000001,58.998000000000005,47.184999999999995,28.705,13.046,2.9850000000000003,0.151,0.803,0.092,0.01,0.01,0.011
d,2020-01-08,250.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,1.417,15.183,57.041,72.901,68.682,61.688,44.97,30.336,12.177,2.9000000000000004,0.153,0.8440000000000001,0.10500000000000001,0.01,0.01,0.009000000000000001
a,2020-01-09,263.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,8.21,18.16,34.59,41.21,35.83,34.74,26.08,20.03,12.27,3.72,0.13,0.99,0.15,0.03,0.0,0.0
b,2020-01-09,245.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142,8.557,19.609,33.259,42.730000000000004,38.219,36.981,23.749,18.77,13.042,3.471,0.127,0.94,0.141,0.028999999999999998,0.0,0.0
