일시,기온,강수량,풍속,습도,증기압,현지기압,전운량,중하층운량,지면온도
2023-01-01 00:00,0.9,,1.4,72,4.7,1018.5,9,9,-1.6
2023-01-01 01:00,1.5,,1.9,71,4.9,1018.0,6,6,-1.4
2023-01-01 02:00,1.5,,1.9,72,4.9,1017.8,9,8,-1.6
2023-01-01 03:00,1.6,,1.6,74,5.1,1018.1,8,8,-1.8
2023-01-01 04:00,1.5,,1.4,74,5.0,1018.1,9,9,-1.3
2023-01-01 05:00,0.8,,2.4,62,4.0,1018.1,7,7,-2.1
2023-01-01 06:00,-0.2,,3.1,67,4.1,1018.4,1,1,-3.3
2023-01-01 07:00,-1.5,,2.5,71,3.9,1019.2,0,0,-4.1
2023-01-01 08:00,-1.8,,2.7,75,4.0,1020.0,0,0,-4.4
2023-01-01 09:00,-1.7,,2.1,75,4.1,1020.6,0,0,-3.6
2023-01-01 10:00,-0.4,,2.4,66,3.9,1020.8,0,0,-1.3
2023-01-01 11:00,0.4,,3.6,58,3.6,1020.8,0,0,0.5
2023-01-01 12:00,2.0,,1.7,54,3.8,1020.3,0,0,3.1
2023-01-01 13:00,3.0,,2.5,45,3.4,1019.7,0,0,5.1
2023-01-01 14:00,3.8,,2.9,38,3.0,1019.4,1,0,5.5
2023-01-01 15:00,3.1,,3.1,37,2.8,1019.0,1,0,2.2
2023-01-01 16:00,2.6,,4.4,33,2.4,1019.3,1,0,-0.2
2023-01-01 17:00,1.7,,3.1,29,2.0,1019.2,0,0,-0.3
2023-01-01 18:00,0.1,,2.9,35,2.2,1019.0,0,0,-0.6
2023-01-01 19:00,-0.8,,2.9,40,2.3,1019.8,1,1,-0.9
2023-01-01 20:00,-1.7,,3.5,44,2.4,1020.3,4,1,-1.5
2023-01-01 21:00,-2.2,,3.2,45,2.3,1021.2,0,0,-2.4
2023-01-01 22:00,-2.7,,3.8,45,2.3,1021.6,7,5,-3.2
2023-01-01 23:00,-3.4,,2.6,46,2.2,1022.1,1,1,-4.1
2023-01-02 00:00,-4.3,,2.2,49,2.2,1022.0,0,0,-4.8
2023-01-02 01:00,-5.0,,2.6,49,2.1,1021.9,0,0,-5.6
2023-01-02 02:00,-5.6,,2.3,51,2.1,1022.0,0,0,-6.1
2023-01-02 03:00,-6.2,,2.2,53,2.0,1022.1,0,0,-6.6
2023-01-02 04:00,-6.6,,1.2,52,1.9,1022.1,0,0,-7.1
2023-01-02 05:00,-6.7,,1.9,52,1.9,1021.9,0,0,-7.5
2023-01-02 06:00,-6.4,,2.7,51,1.9,1021.7,0,0,-7.6
2023-01-02 07:00,-6.6,,2.9,52,1.9,1021.8,2,0,-7.5
2023-01-02 08:00,-7.3,,1.7,53,1.9,1022.0,1,0,-7.6
2023-01-02 09:00,-6.6,,3.0,53,2.0,1022.3,0,0,-6.9
2023-01-02 10:00,-5.1,,2.6,47,2.0,1022.7,0,0,-3.6
2023-01-02 11:00,-4.1,,3.7,44,2.0,1022.4,0,0,0.0
2023-01-02 12:00,-2.6,,3.2,37,1.9,1021.2,0,0,1.1
2023-01-02 13:00,-2.2,,3.5,35,1.8,1021.0,0,0,2.4
2023-01-02 14:00,-1.4,,2.8,34,1.9,1019.9,0,0,3.8
2023-01-02 15:00,-0.7,,3.0,34,2.0,1019.4,0,0,1.5
2023-01-02 16:00,-0.9,,3.0,34,1.9,1019.5,0,0,-0.2
2023-01-02 17:00,-1.7,,1.7,37,2.0,1019.6,0,0,-0.6
2023-01-02 18:00,-2.7,,2.8,39,2.0,1019.9,0,0,-1.7
2023-01-02 19:00,-3.4,,2.6,44,2.1,1020.3,0,0,-2.8
2023-01-02 20:00,-3.7,,2.9,46,2.1,1020.7,0,0,-3.9
2023-01-02 21:00,-4.4,,1.7,48,2.1,1020.9,0,0,-5.0
2023-01-02 22:00,-5.1,,2.5,46,1.9,1020.9,0,0,-5.8
2023-01-02 23:00,-5.8,,1.6,49,1.9,1020.8,0,0,-6.4
2023-01-03 00:00,-6.5,,2.5,52,2.0,1020.8,0,0,-7.0
2023-01-03 01:00,-7.3,,2.3,55,1.9,1020.4,0,0,-7.4
2023-01-03 02:00,-7.6,,1.2,59,2.0,1020.2,0,0,-7.9
2023-01-03 03:00,-8.1,,1.1,60,2.0,1020.7,0,0,-8.2
2023-01-03 04:00,-8.2,,2.1,59,1.9,1020.5,0,0,-8.3
2023-01-03 05:00,-8.4,,1.6,61,2.0,1020.1,0,0,-8.4
2023-01-03 06:00,-8.9,,1.0,65,2.0,1020.0,0,0,-8.7
2023-01-03 07:00,-8.9,,0.8,67,2.1,1020.3,0,0,-9.0
2023-01-03 08:00,-8.8,,1.5,66,2.1,1020.4,0,0,-8.8
2023-01-03 09:00,-8.3,,1.9,65,2.1,1020.6,0,0,-7.7
2023-01-03 10:00,-5.8,,1.0,59,2.3,1020.8,0,0,-3.9
2023-01-03 11:00,-3.4,,2.6,41,2.0,1020.5,0,0,0.1
2023-01-03 12:00,-2.3,,3.0,36,1.9,1019.8,0,0,2.0
2023-01-03 13:00,-1.3,,3.3,34,1.9,1019.0,0,0,3.9
2023-01-03 14:00,-0.2,,2.5,30,1.8,1018.4,0,0,5.1
2023-01-03 15:00,-0.5,,3.6,27,1.6,1017.8,0,0,2.0
2023-01-03 16:00,0.3,,2.3,30,1.9,1018.1,0,0,-0.2
2023-01-03 17:00,-1.3,,2.5,36,2.0,1018.2,0,0,-0.6
2023-01-03 18:00,-2.4,,1.9,39,2.0,1018.5,0,0,-1.8
2023-01-03 19:00,-3.1,,2.1,43,2.1,1018.8,0,0,-3.1
2023-01-03 20:00,-3.8,,1.8,50,2.3,1019.0,1,0,-4.3
2023-01-03 21:00,-4.3,,1.0,50,2.2,1019.2,0,0,-5.4
2023-01-03 22:00,-4.8,,0.8,52,2.2,1019.2,0,0,-6.1
