year,month,day,A,B
2023,Sep,7,56.9,42.3
2023,Feb,20,100.0,89.0
2023,Jun,15,19.3,59.0
2023,Apr,11,98.0,84.8
2023,Jul,8,89.5,63.8
2023,Feb,21,42.5,78.0
2023,Feb,7,98.3,52.3
2023,Nov,26,,68.8
2023,Mar,19,60.3,72.1
2023,Mar,23,,87.4
2023,Feb,11,84.2,99.9
2023,Mar,11,52.4,81.7
2023,Jun,24,35.6,
2023,Oct,21,61.2,57.6
2023,Apr,4,58.5,51.7
2023,Aug,8,71.7,75.9
2023,Dec,24,65.6,
2023,May,3,100.0,82.1
2023,May,22,87.5,83.6
2023,Oct,21,65.7,78.4
2023,Apr,2,47.3,51.0
2023,Feb,24,99.7,86.4
2023,Jul,12,89.6,71.4
2023,Jul,6,100.0,58.7
2023,Jul,2,76.6,66.8
2023,Jun,28,100.0,52.0
2023,Feb,21,81.5,67.8
2023,Feb,1,72.1,84.3
2023,Oct,12,32.3,
2023,Nov,26,,60.1
2023,Jul,22,,69.1
2023,Aug,12,57.2,79.9
2023,Mar,25,68.9,52.8
2023,Jul,17,63.1,57.7
2023,Jun,27,30.9,74.9
2023,Sep,27,50.1,
2023,Jan,10,93.3,100.0
2023,Aug,28,86.9,70.7
2023,Aug,28,87.5,59.4
2023,Sep,16,,60.7
2023,Sep,15,86.6,65.8
2023,Oct,15,76.0,64.5
2023,Aug,19,65.8,41.6
2023,Sep,12,99.1,92.0
2023,Nov,23,63.9,72.8
2023,Jan,20,50.8,72.6
2023,Jul,25,100.0,85.3
2023,Aug,3,100.0,57.2
2023,Sep,5,30.6,
2023,Oct,19,85.9,79.9
