광고 시청 전 구매 의사,광고 시청 후 구매 의사
no,yes
no,no
no,yes
yes,no
no,yes
no,yes
no,yes
no,yes
no,yes
yes,no
yes,yes
no,no
yes,no
yes,no
yes,yes
yes,yes
no,no
no,no
no,yes
no,no
yes,no
yes,no
no,no
yes,yes
no,no
yes,yes
no,yes
yes,yes
yes,yes
yes,no
yes,no
no,yes
no,no
no,no
no,yes
yes,yes
yes,yes
no,yes
no,no
no,yes
no,yes
no,yes
yes,yes
yes,no
yes,yes
no,yes
no,yes
no,no
no,yes
yes,yes
yes,no
no,yes
no,yes
no,yes
yes,no
no,no
yes,yes
yes,no
no,no
yes,yes
yes,no
no,yes
yes,yes
no,yes
yes,yes
no,yes
no,yes
yes,no
no,yes
yes,no
no,no
yes,no
yes,no
no,yes
yes,no
yes,yes
yes,yes
no,no
no,no
no,yes
no,yes
no,yes
yes,yes
yes,yes
no,yes
yes,yes
no,no
no,yes
no,yes
yes,yes
no,no
yes,yes
no,yes
no,yes
yes,yes
no,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
no,yes
yes,yes
no,yes
no,no
yes,yes
no,yes
yes,no
no,yes
no,no
no,no
yes,yes
no,no
no,no
no,no
yes,no
no,yes
yes,no
no,yes
yes,no
yes,no
yes,yes
no,yes
yes,no
yes,yes
yes,no
no,yes
no,yes
no,no
no,no
