인허가일자,폐업일자,상세영업상태명,소재지전체주소,사업장명
2014-09-24,,영업중,대구광역시 달성군 다사읍 죽곡리 808-1번지 2~3층,슬림 휘트니스 클럽
2016-05-02,,영업중,대구광역시 달성군 화원읍 구라리 1737-14번지 4층,다짐휘트니스
2016-05-09,,영업중,대구광역시 달성군 옥포읍 교항리 2902번지,디젤 피트니스
2016-12-13,,영업중,대구광역시 달성군 유가읍 봉리 606 하이젠스타 9층,뷰스 짐
2017-01-04,,영업중,대구광역시 달성군 다사읍 세천리 1580-9번지 3층,다짐휘트니스
2017-06-12,,영업중,대구광역시 달성군 다사읍 서재리 230번지 3~4층,브로 인 제이
2017-09-15,,영업중,대구광역시 달성군 현풍읍 중리 497-3 8층,레드짐 피트니스
2017-11-02,,영업중,대구광역시 달성군 가창면 용계리 30-7번지 가창농협,GYM ATLAS
2017-12-22,,영업중,대구광역시 달성군 다사읍 세천리 1592-1번지,Team Shark
2011-04-13,,영업중,경상북도 칠곡군 왜관읍 왜관리 296-1,H-헬스
2013-08-28,,영업중,경상북도 칠곡군 왜관읍 왜관리 841-15,삼부헬스
2014-12-15,,영업중,경상북도 칠곡군 석적읍 중리 150-13,피티타임(PT:TIME)
2015-12-30,,영업중,경상북도 칠곡군 석적읍 남율리 622-5번지,위즈메이커 바디핏
2016-03-22,,영업중,경상북도 칠곡군 석적읍 중리 87-6번지,Team JJ Fitness
2016-07-20,,영업중,경상북도 칠곡군 석적읍 남율리 927번지,강남PT
2007-08-17,,영업중,경상북도 칠곡군 석적읍 남율리 710번지 우방@상가 803동,엑스로즈 헬스클럽
2010-05-17,,영업중,경상북도 칠곡군 왜관읍 석전리 254번지,교육문화회관 체력단련장
2005-03-29,,영업중,경상북도 칠곡군 북삼읍 인평리 678-3번지,북삼온천 하이힐
2001-06-25,,영업중,경상북도 칠곡군 약목면 관호리 879-1,경북헬스뱅크
2002-01-28,,영업중,경상북도 칠곡군 석적읍 중리 152-2번지,천호헬스피아
2016-11-22,,영업중,경상북도 울진군 울진읍 읍내리 547-5 국민은행울진지점,YB P.T GYM
2006-01-19,,영업중,경상북도 청송군 청송읍 월막리 458번지,장강건강헬스
2018-03-29,,영업중,경상북도 예천군 호명면 산합리 1404,골드웨이브 경북도청점
1999-09-06,,영업중,경상북도 예천군 예천읍 대심리 71번지,용인대석사백호헬스클럽
2004-07-06,,영업중,경상북도 예천군 예천읍 동본리 466-7번지 남해화학비료예천대리점,호림헬스피아
2013-10-01,,영업중,경상북도 예천군 예천읍 남본리 235-2,광일휘트니스클럽
2004-12-01,,영업중,경상북도 경주시 용강동 1354-2,대신 스포랜드
2005-01-04,,영업중,경상북도 경주시 성건동 655-6,동광토탈휘트니스
2005-11-25,,영업중,경상북도 경주시 용강동 302-3 3층,용강스파휘트니스 헬스클럽
2018-05-21,,영업중,경상북도 칠곡군 북삼읍 인평리 1082-7번지,북삼헬스
2006-11-28,,영업중,경상남도 남해군 남해읍 서변리 65-7,남해라이프짐&휘트니스
2011-09-20,,영업중,경상남도 김해시 삼방동 181-5 4층,청호헬스
2016-04-07,,영업중,경상남도 김해시 부원동 614-14,건강해GYM
2005-05-03,,영업중,경상남도 김해시 안동 279-10,에너지플러스
2005-10-28,,영업중,경상남도 김해시 부곡동 1159-2번지,굿모닝 헬스
2006-12-13,,영업중,"경상남도 김해시 어방동 520-1번지 4층,5층",코아헬스
2007-05-03,,영업중,경상남도 김해시 진영읍 진영리 1614-9 그랜드프라자 9층전체,마스터짐
2007-11-16,,영업중,경상남도 김해시 내동 1128-4,영오헬스
2008-10-16,,영업중,경상남도 김해시 부원동 805번지,청암헬스
2010-03-09,,영업중,경상남도 김해시 대청동 71-9번지 17통2반 301호,지엑스월드
2010-05-20,,영업중,경상남도 김해시 율하동 1347-1번지,율하 휘트니스
2010-05-31,,영업중,경상남도 김해시 부곡동 804-1번지 드림피아상가,고려태권도장
2011-05-20,,영업중,"경상남도 김해시 부곡동 1161-2번지 203호, 204호",커브스 삼문클럽
2011-07-12,,영업중,경상남도 김해시 외동 1253-5 안뜨레빌딩 402호,커브스내외클럽
2011-08-18,,영업중,경상남도 김해시 삼계동 1461-11번지 청보빌딩 2층,커브스삼계클럽
2012-04-24,,영업중,경상남도 김해시 내동 1129-3번지 성보빌딩 301호,M.O.M운동센터
2012-11-21,,영업중,경상남도 김해시 삼문동 562-12,장유스파랜드 헬스장
2012-11-27,,영업중,경상남도 김해시 율하동 1334-1 21통2반 유성프라자2 801호,커브스율하클럽
2013-08-21,,영업중,경상남도 김해시 어방동 523번지 힐튼상가 601호,더스피닝
2016-05-30,,영업중,충청남도 천안시 서북구 성정동 1523,메이크 잇 짐 성정점
2016-06-01,,영업중,충청남도 천안시 서북구 두정동 1396번지,Bodyworks(바디웍스)
2016-12-13,,영업중,충청남도 천안시 동남구 신방동 1875번지 401호,디자인 휘트니스
2017-10-10,,영업중,충청남도 보령시 동대동 1034,팀박피티샵
1996-09-24,,영업중,충청남도 보령시 대천동 30-1번지 2층,한내헬스클럽
2016-05-25,,영업중,충청남도 천안시 서북구 두정동 1278 401호,하루운동
2000-05-02,,영업중,충청남도 보령시 동대동 983-42 2층,극동휘트니스클럽
2005-11-17,,영업중,충청남도 보령시 동대동 828-5 3층,제이앤웰니스(주) 휘트니스
2013-02-14,,영업중,충청남도 보령시 동대동 501-1번지,포시즌사우나스포츠센타
2017-07-14,,영업중,충청남도 보령시 궁촌동 341-3번지,W 짐
2001-02-08,,영업중,충청남도 천안시 동남구 사직동 242-1번지,헬스아카데미
2017-07-05,,영업중,충청남도 천안시 서북구 성정동 1178,점핑하이
2017-08-01,,영업중,충청남도 천안시 서북구 성환읍 매주리 330-20,멋GYM 성환점
2017-08-10,,영업중,충청남도 천안시 서북구 쌍용동 657번지 일성다래아파트 505-506 상가동,크로스핏 샤우트
2017-03-02,,영업중,충청남도 천안시 서북구 두정동 534번지,탄 이 짐(TAN-E GYM)
2017-03-31,,영업중,충청남도 천안시 서북구 불당동 1638번지 301-302호,디엠PT
2017-04-25,,영업중,충청남도 천안시 서북구 두정동 659-1,제이티 휘트니스
2017-06-05,,영업중,충청남도 천안시 동남구 청수동 201-1,피트니스 포유
2017-06-27,,영업중,충청남도 천안시 서북구 불당동 1540번지,비벨르
2014-03-27,,영업중,충청남도 천안시 서북구 불당동 712번지 포인트프라자 901호,바디 디자이너
2014-04-16,,영업중,충청남도 천안시 서북구 백석동 1021번지,람보짐
2007-07-13,,영업중,충청남도 천안시 서북구 성정동 1506 세화프라자,MTO피트니스 성정점
1996-02-28,,영업중,충청남도 천안시 서북구 성환읍 성환리 449-106번지,최민종헬스클럽
2004-12-09,,영업중,충청남도 천안시 동남구 신방동 72-6번지,파워스포츠센터
2005-10-27,,영업중,충청남도 천안시 서북구 쌍용동 222 7층,(주)하이렉스파 스포츠웰빙타운
2010-09-08,,영업중,"충청남도 천안시 동남구 신부동 494-7 삼정빌딩 501,601호(5,6층)",W 휘트니스
2011-08-17,,영업중,충청남도 천안시 서북구 두정동 1001번지 중앙프라자 302호,에이짐휘트니스
2012-06-19,,영업중,충청남도 천안시 서북구 두정동 551번지 대륙빌딩 2층,꾸쌤 바디체인지업
2012-11-09,,영업중,충청남도 천안시 서북구 두정동 1359,오바디짐
2013-05-13,,영업중,충청남도 천안시 서북구 성거읍 신월리 2-1 2층,에스핏 휘트니스 직산점
2003-03-21,,영업중,충청남도 천안시 서북구 두정동 1524번지,라이브헬스
2013-11-26,,영업중,충청남도 천안시 서북구 쌍용동 1954번지 4층 401호-403호,제이디 짐
2014-01-13,,영업중,충청남도 천안시 동남구 청당동 490번지 504~505호,더블.B 트레이닝센터
2014-03-25,,영업중,충청남도 천안시 동남구 구성동 314-13번지,깨끗한마을 휘트니스
2010-12-24,,영업중,충청남도 홍성군 홍성읍 남장리 91-1 태경빌딩,파워스포츠
2014-04-29,,영업중,충청남도 홍성군 홍성읍 월산리 88-2,리복 크로스핏 홍성
2014-07-07,,영업중,충청남도 홍성군 홍성읍 월산리 861-1,임채홍PT전문센터
2015-06-19,,영업중,충청남도 홍성군 홍성읍 월산리 859-4,안기범 스포짐
2016-07-06,,영업중,충청남도 홍성군 홍성읍 월산리 862-2,W.O.D GYM(와드짐)
2017-04-26,,영업중,충청남도 홍성군 홍성읍 소향리 404,홍성군장애인스포츠센터
1998-09-21,,영업중,충청남도 천안시 서북구 쌍용동 1149 쌍봉빌딩 4층,MTO 피트니스 쌍용점 PT 24시
1999-02-13,,영업중,충청남도 천안시 서북구 쌍용동 1490,라이언스짐
2017-07-06,,영업중,충청남도 홍성군 홍성읍 대교리 420-10 2층,헬스킹
2018-03-06,,영업중,충청남도 홍성군 홍성읍 오관리 457-5,바디스타 짐
2015-07-31,,영업중,충청남도 천안시 서북구 직산읍 모시리 206-13번지 우성아파트,우성헬스
2015-08-05,,영업중,충청남도 천안시 서북구 차암동 435 천안비즈타워,웰컴짐
2015-09-25,,영업중,충청남도 천안시 서북구 백석동 584번지 외 45필지,천안시시설관리공단 한들문화센터 체력단련장
2015-11-12,,영업중,충청남도 천안시 동남구 신방동 886-1번지 지하1층,더블엑스 짐
2015-12-15,,영업중,충청남도 천안시 동남구 청당동 447번지 201호,라온짐
2015-12-24,,영업중,충청남도 천안시 서북구 두정동 1499,힙메이커짐
2015-12-31,,영업중,충청남도 천안시 서북구 백석동 150-2번지 정석프라자 603-605호,수퍼바디 짐
1999-09-13,,영업중,충청남도 천안시 서북구 백석동 194-1 현대아파트 상가 10~12호,엘디W센타
2000-05-09,,영업중,충청남도 천안시 동남구 신부동 320-37번지,태조헬스클럽
2014-10-06,,영업중,충청남도 천안시 서북구 백석동 946번지 201-202호,파워 짐
2015-01-15,,영업중,충청남도 천안시 서북구 두정동 898번지 3층 301호,타이거 짐
2015-03-19,,영업중,충청남도 천안시 동남구 청수동 349번지,커브스 청수클럽
2015-03-31,,영업중,충청남도 천안시 서북구 두정동 935-1 202호,와이짐
2015-04-20,,영업중,충청남도 천안시 동남구 청당동 590-702번지,바디 PT
2015-04-23,,영업중,충청남도 천안시 동남구 신방동 2-15번지 4층,바디디자이너
2015-04-24,,영업중,충청남도 천안시 서북구 성정동 721-8 외1필지,다이어트 컨테이너
2001-11-13,,영업중,충청남도 천안시 동남구 신부동 462-13번지,헬스닷컴
2001-11-27,,영업중,충청남도 천안시 동남구 목천읍 신계리 422-13 101호,동천안헬스크럽
2002-03-25,,영업중,충청남도 천안시 동남구 신부동 115-66번지,홍익 휘트니스
2002-02-23,,영업중,충청남도 천안시 서북구 성정동 725-7,그린헬스타운
2002-01-10,,영업중,충청남도 천안시 동남구 신방동 878 학산빌딩,월드짐
2002-10-16,,영업중,충청남도 천안시 동남구 신부동 462-12번지 3층,남도헬스타운
2002-08-07,,영업중,충청남도 천안시 동남구 청수동 206-2 다솜빌딩 3층,청수짐
2002-01-10,,영업중,충청남도 천안시 서북구 성거읍 천흥리 422-6,성거헬스에어로빅
2016-04-15,,영업중,충청남도 천안시 서북구 백석동 9-2,스포데이
2016-05-04,,영업중,충청남도 천안시 동남구 신방동 920번지 초원아파트 상가 1동 305호,코리아 스포츠센터
2000-01-19,,영업중,충청남도 천안시 서북구 쌍용동 1175번지,영헬스클럽
2001-11-27,,영업중,충청남도 천안시 동남구 원성동 546-1번지 천안빌딩 6층 603~605,세계로헬스
2016-05-19,,영업중,충청남도 천안시 동남구 구성동 297-8번지 2층,다짐
2002-12-11,,영업중,충청남도 천안시 동남구 목천읍 신계리 422번지 동우@상가504호,동우헬스클럽
2002-09-19,,영업중,충청남도 천안시 동남구 목천읍 삼성리 9-9,JM휘트니스
2007-09-19,,영업중,충청남도 천안시 서북구 쌍용동 1561번지 청솔@상가 지하,헬스피아
2008-10-21,,영업중,충청남도 천안시 서북구 두정동 1942 2층,더 라이프 휘트니스
2009-10-12,,영업중,충청남도 천안시 동남구 봉명동 217-5번지 외 1필지(지층),순천향대학교 휴트니스
2003-06-20,,영업중,충청남도 천안시 서북구 직산읍 삼은리 72-46번지,고릴라휘트니스
2003-10-11,,영업중,충청남도 천안시 동남구 영성동 102번지,제일헬스
2003-02-19,,영업중,충청남도 천안시 서북구 두정동 975 2층,헬스보이짐
