인허가일자,영업상태명,폐업일자,소재지전체주소,사업장명,업태구분명,시설총규모
2023-11-24,폐업,2023-12-06,강원특별자치도 속초시 동명동 383-1,자담치킨,한식,186.0
2023-09-27,폐업,2023-10-09,경상북도 안동시 운흥동 300-15 탈춤공연장,네네치킨&봉구스밥버거 안동과학대점,호프/통닭,25.0
2023-10-11,폐업,2023-10-15,서울특별시 관악구 봉천동 228,교촌치킨 봉천3호점,기타,72.0
2019-01-09,폐업,2019-11-04,경기도 부천시 원미구 상동 572-1 스포츠센터동 403호 일부,맘스터치,분식,38.78
2022-05-10,폐업,2023-06-16,경기도 파주시 금촌동 329-19,노랑통닭,호프/통닭,26.1
2022-06-02,폐업,2023-02-20,경기도 구리시 인창동 430 구리유통종합상가,맘스터치 엘마트구리점,기타,19.8
1995-02-10,폐업,2013-04-08,경기도 부천시 원미구 중동 1041,페리카나치킨,통닭(치킨),36.4
2022-06-16,폐업,2024-01-08,경기도 용인시 처인구 포곡읍 둔전리 52-6,60계치킨용인포곡점,호프/통닭,37.8
2021-01-22,폐업,2021-12-30,경기도 안산시 단원구 초지동 733-1 한남메디칼 111호일부,자담치킨 초지점,호프/통닭,38.4
2021-02-01,폐업,2024-01-18,대구광역시 동구 각산동 425 각산 푸르지오 1단지,자담치킨 각산점,기타,38.11
2021-01-19,폐업,2023-08-14,경상북도 포항시 북구 흥해읍 초곡리 1766 포항 초곡 호반베르디움 근린생활시설-1동 106호,페리카나(초곡점),호프/통닭,41.53
2021-01-18,폐업,2023-04-28,대전광역시 서구 관저동 1282,자담치킨 관저점,호프/통닭,52.29
2021-01-19,폐업,2022-11-23,경기도 안양시 동안구 호계동 829-8,자담치킨안양호계점,호프/통닭,26.04
2021-01-25,폐업,2023-02-14,경상남도 함안군 가야읍 도항리 321-6,자담치킨 함안점,호프/통닭,44.91
2020-07-20,폐업,2023-04-21,대전광역시 중구 문화동 1-72 1층,자담치킨문화점,호프/통닭,73.71
2021-02-03,폐업,2021-12-14,인천광역시 미추홀구 용현동 664 인천 SK Sky VIEW A-1동 103호,자담치킨 용현점,호프/통닭,30.8
2020-12-29,폐업,2024-01-11,경상북도 구미시 도량동 792-299 1층,자담치킨구미도량점,호프/통닭,62.4
2020-12-01,폐업,2020-12-31,부산광역시 기장군 일광면 삼성리 833-4,교촌치킨 일광점,호프/통닭,180.57
2020-12-01,폐업,2021-10-07,경기도 화성시 산척동 728-5 우성애비뉴타워,페리카나(동탄호수공원점),호프/통닭,44.4
2020-11-25,폐업,2022-11-25,"울산광역시 북구 산하동 산 112-7 지상1층 101호, 103호 일부호",푸라닭울산산하점,호프/통닭,105.84
2020-11-25,폐업,2022-10-13,서울특별시 용산구 한남동 828 한남아이파크,교촌치킨한남점,한식,103.91
2020-12-03,폐업,2023-03-03,인천광역시 연수구 송도동 190-2 송도글로벌캠퍼스푸르지오,자담치킨 송도글로벌점,호프/통닭,23.9
2020-12-03,폐업,2023-03-06,서울특별시 광진구 자양동 859 래미안프리미어팰리스110호,자담치킨,호프/통닭,37.37
2020-12-02,폐업,2022-10-31,서울특별시 구로구 오류동 64-28 오류동행복주택,자담치킨 오류동점,호프/통닭,37.46
2020-12-22,폐업,2022-07-01,서울특별시 강서구 마곡동 771-3 보타닉파크타워3 103호,네네치킨 마곡나루점,한식,39.9
2020-12-24,폐업,2022-11-09,서울특별시 구로구 개봉동 148-1,자담치킨,호프/통닭,30.0
2020-12-22,폐업,2020-12-23,서울특별시 영등포구 대림동 878-8,푸라닭 대림점,호프/통닭,57.75
2021-01-11,폐업,2023-10-16,부산광역시 해운대구 우동 1405 마린파크,자담치킨(마린시티점),호프/통닭,39.6
2020-12-21,폐업,2023-07-03,경기도 하남시 망월동 1012-1,자담치킨 미사강변점,호프/통닭,44.95
2021-01-11,폐업,2021-04-07,서울특별시 성동구 행당동 138-41,자담치킨 행당점,호프/통닭,27.0
2021-01-08,폐업,2023-01-13,경상남도 거제시 거제면 옥산리 1512,자담치킨 거제사곡점,호프/통닭,55.58
2018-11-26,폐업,2021-04-20,대구광역시 남구 봉덕동 1298-3,노랑통닭(대명점),호프/통닭,65.21
2018-11-26,폐업,2023-06-20,충청남도 당진시 송악읍 복운리 1650-9,네네치킨당진복운점,호프/통닭,37.0
2018-12-05,폐업,2023-02-24,"경기도 성남시 수정구 창곡동 549-5 대원프라자, 1층 110호",네네치킨 위례중앙점,호프/통닭,23.2
1990-03-30,폐업,2016-10-12,제주특별자치도 서귀포시 남원읍 남원리 112-3번지,페리카나양념통닭남원분점,통닭(치킨),25.7
2006-08-16,폐업,2022-01-13,충청북도 증평군 증평읍 창동리 60,네네치킨,통닭(치킨),31.96
1991-03-20,폐업,2004-07-20,제주특별자치도 서귀포시 서귀동 521-1번지,페리카나치킨중앙체인점,통닭(치킨),25.9
2018-03-07,폐업,2020-09-07,서울특별시 마포구 도화동 357 도화동현대아파트,네네치킨,호프/통닭,15.3
1990-03-27,폐업,2014-04-14,서울특별시 마포구 도화동 2-339번지,네네치킨도화점,통닭(치킨),15.0
1990-06-30,폐업,2003-07-08,서울특별시 마포구 마포동 188-1번지,페리카나치킨,분식,24.38
2007-03-13,폐업,2019-06-14,"서울특별시 마포구 상암동 .번지 상암택지개발 상암4단지 상가 109,110호",교촌치킨상암점,통닭(치킨),67.91
2003-10-27,폐업,2019-08-26,경기도 수원시 팔달구 우만동 466-4,교촌치킨우만1호점,통닭(치킨),36.72
1997-06-02,폐업,2008-12-18,경기도 수원시 팔달구 화서동 650 주공아파트 4단지 가동 204호,페리카나(화서역주공점),통닭(치킨),24.36
2000-08-24,폐업,2013-04-08,경기도 수원시 권선구 권선동 1291-2,페리카나치킨,통닭(치킨),31.2
2003-09-04,폐업,2009-11-19,경기도 수원시 권선구 고색동 381-14,교촌치킨,통닭(치킨),26.66
2000-05-10,폐업,2019-04-08,경기도 수원시 팔달구 매교동 186-3,교촌치킨매교점,통닭(치킨),28.22
2005-12-16,폐업,2011-11-14,경기도 수원시 권선구 서둔동 105-5,페리카나서둔탑동점,통닭(치킨),23.34
2010-11-05,폐업,2014-01-06,경기도 용인시 기흥구 동백동 597-1번지 외1필지 미래도프라자 201호일부,페리카나(동백점),통닭(치킨),87.2
2010-10-08,폐업,2012-09-28,경기도 용인시 수지구 신봉동 50-2번지 뉴골드프라자 111호,네네치킨 신봉성복점,통닭(치킨),31.08
1996-11-18,폐업,2021-05-10,"경기도 수원시 권선구 탑동 320-15 , 318-6",굽네치킨서둔탑동점,통닭(치킨),45.43
2011-12-30,폐업,2013-02-01,경기도 용인시 기흥구 상하동 635번지,굽네치킨(강남대점),통닭(치킨),30.53
2011-12-23,폐업,2023-09-04,경기도 용인시 기흥구 보라동 587-9,네네치킨 보라점,통닭(치킨),38.7
1993-04-20,폐업,2005-03-28,경기도 수원시 권선구 평동 10-22,페리카나통닭,통닭(치킨),39.6
2014-12-03,폐업,2021-12-14,경기도 용인시 수지구 상현동 1117-1 광교티타워 102호,굽네치킨 광교1호점,통닭(치킨),31.52
2010-10-15,폐업,2017-02-28,경기도 용인시 기흥구 영덕동 1007-7번지 1층일부,네네치킨(흥덕점),호프/통닭,36.0
2011-09-23,폐업,2013-02-13,경기도 용인시 기흥구 영덕동 987-1번지 1층 일부,네네치킨,통닭(치킨),31.97
1989-08-14,폐업,2013-08-27,경기도 수원시 권선구 권선동 1055-7,페리카나통닭 권선점,통닭(치킨),31.15
2010-02-18,폐업,2022-10-24,경기도 수원시 장안구 정자동 46-41 1층,수원정자2동점굽네치킨,통닭(치킨),40.85
2004-01-03,폐업,2011-01-07,경기도 수원시 권선구 호매실동 80-1,교촌치킨,통닭(치킨),33.46
2008-03-25,폐업,2020-01-31,경기도 안양시 만안구 안양동 707-4 지상1층,네네치킨안양1호점,호프/통닭,31.19
2016-09-26,폐업,2021-12-21,경기도 평택시 합정동 965-11 엘라시티 102호,자담치킨 평택시청점,호프/통닭,38.4
2012-04-12,폐업,2022-07-14,경기도 용인시 처인구 모현읍 왕산리 678-3 1층,네네치킨모현점,통닭(치킨),47.08
2013-04-22,폐업,2015-10-19,경기도 안양시 동안구 관양동 1715-2번지 1층,네네치킨(관양지구점),통닭(치킨),35.78
2011-11-28,폐업,2013-10-21,"경기도 용인시 기흥구 보정동 1207-3번지 SJ타워 202호, 203호",맘스터치 보정단대점,한식,167.48
2013-06-12,폐업,2017-02-08,경기도 안양시 만안구 안양동 551-9번지 101호,페리카나,통닭(치킨),22.81
1997-11-13,폐업,2008-06-25,"경기도 평택시 팽성읍 객사리 47-12번지 ,14",페리카나객사리체인점,기타,25.84
2003-10-09,폐업,2007-01-18,경기도 수원시 권선구 당수동 276-28,맘스터치(당수점),경양식,45.48
2011-02-01,폐업,2012-07-12,경기도 용인시 수지구 성복동 33-1번지 수지골드프라자 제지하2층 B208호,맘스터치성복점,통닭(치킨),53.82
2009-06-05,폐업,2017-12-01,경기도 연천군 백학면 두일리 1158,네네치킨,통닭(치킨),53.82
2008-05-02,폐업,2022-06-23,경기도 평택시 고덕면 방축리 642-1 A동,굽네치킨고덕점,통닭(치킨),45.14
2014-04-18,폐업,2017-08-10,경기도 안양시 동안구 비산동 519-4번지 1층,맘스터치(대림대점),패스트푸드,81.3
2008-08-26,폐업,2023-08-29,경기도 평택시 팽성읍 남산리 138-10 A동,굽네치킨팽성점,통닭(치킨),39.95
2009-10-13,폐업,2015-10-23,경기도 의정부시 호원동 463-4번지 지상1층,굽네치킨,통닭(치킨),33.06
2012-04-25,폐업,2017-09-26,경기도 용인시 수지구 성복동 289-6번지 명인빌딩 105호,페리카나(성복점),통닭(치킨),40.9
2009-07-13,폐업,2014-05-09,경기도 파주시 금촌동 1015번지 대방노블랜드아파트상가동110호,네네치킨,통닭(치킨),30.66
2019-12-10,폐업,2022-12-05,"경기도 화성시 영천동 539-16 골든프라자 105,106호",60계치킨 경기동탄테크노밸리점,한식,78.28
2004-04-09,폐업,2021-06-18,경기도 평택시 팽성읍 안정리 26-49,교촌치킨팽성1호점,통닭(치킨),62.37
2008-03-31,폐업,2013-05-02,경기도 수원시 장안구 정자동 41-24,네네치킨,통닭(치킨),31.28
2007-02-20,폐업,2017-07-13,경기도 화성시 반송동 17-14 (104호),굽네치킨 동탄점,통닭(치킨),28.47
2007-12-18,폐업,2019-03-27,경기도 안양시 동안구 비산동 547-16번지,네네치킨,통닭(치킨),40.05
2006-08-07,폐업,2013-05-28,경기도 화성시 송산동 222 (한승미메이드A 상가동 109호),맘스터치 안녕점,통닭(치킨),33.81
2007-11-19,폐업,2022-10-04,경기도 안양시 동안구 관양동 1587-5,네네치킨 평촌1호점,통닭(치킨),23.32
2006-09-20,폐업,2008-05-30,경기도 화성시 병점동 817 (신창 1차A 상가동 106호),페리카나,한식,25.4
2008-08-04,폐업,2022-06-30,경기도 파주시 동패동 1687 동문굿모닝힐 상가 101호,굽네치킨(교하점),통닭(치킨),29.4
1994-04-07,폐업,2009-01-05,경기도 수원시 팔달구 남수동 50-3,페리카나,통닭(치킨),21.3
2007-05-02,폐업,2021-01-11,경기도 화성시 반송동 17-14 104호,네네치킨,통닭(치킨),30.0
2008-09-12,폐업,2013-12-17,경기도 안양시 동안구 관양동 1378-4번지,네네치킨(관양비산점),통닭(치킨),33.17
2006-04-03,폐업,2018-10-15,경기도 화성시 서신면 제부리 190-125,페리카나치킨,통닭(치킨),15.0
2007-09-10,폐업,2021-06-07,경기도 안양시 만안구 안양동 674-83 지상1층,노랑통닭,호프/통닭,121.8
2010-04-21,폐업,2013-07-01,경기도 용인시 기흥구 동백동 598-4번지 유타운상가 108호,맘스터치치킨,통닭(치킨),35.88
2006-08-21,폐업,2021-11-17,경기도 화성시 향남읍 장짐리 216-4 대준빌딘 B동 1층,페리카나,통닭(치킨),121.5
2012-05-01,폐업,2015-01-30,경기도 안양시 만안구 안양동 873-162번지 지상1층,페리카나치킨,통닭(치킨),31.32
2007-11-23,폐업,2023-11-06,경기도 화성시 향남읍 행정리 419-20,네네치킨,통닭(치킨),78.13
2004-02-10,폐업,2011-06-20,경기도 평택시 비전동 790-2번지,교촌치킨비전2호점,통닭(치킨),45.43
2020-02-12,폐업,2022-09-15,"경기도 화성시 오산동 1020 동탄역 린스트라우스판매시설 1층 1045,1046호",60계치킨 경기동탄역점,호프/통닭,99.32
2000-10-16,폐업,2021-05-21,경기도 수원시 팔달구 우만동 95-1,네네치킨,통닭(치킨),25.0
2019-12-02,폐업,2022-07-22,경기도 화성시 기산동 476 에스케이뷰파크2차 107호,자담치킨(기산점),호프/통닭,41.0
1993-01-20,폐업,2006-01-10,경기도 평택시 비전동 486-18번지,페리카나가야체인점,통닭(치킨),31.6
2001-08-20,폐업,2010-04-21,경기도 안양시 만안구 박달동 68-33번지 1층,교촌치킨,기타,19.24
2012-11-26,폐업,2023-11-15,"경기도 용인시 수지구 성복동 129-1 플러스클리닉수지센터 103,104호",맘스터치 용인성복점,기타,77.22
2013-09-17,폐업,2023-11-29,경기도 용인시 처인구 백암면 백암리 447-10 1층,네네치킨,호프/통닭,66.32
