A1,A2,A3,A4,A5,C1,C2,C3,C4,C5,E1,E2,E3,E4,E5,N1,N2,N3,N4,N5,O1,O2,O3,O4,O5,ID
2.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,6,3.0,4.0,3.0,ID_0
2.0,4.0,5.0,2.0,5.0,5.0,4.0,4.0,3.0,4.0,1.0,1.0,6.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,2,4.0,3.0,3.0,ID_1
5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,2.0,3.0,4.0,2,5.0,5.0,2.0,ID_2
4.0,4.0,6.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,2.0,5.0,2.0,4.0,1.0,3.0,3,4.0,3.0,5.0,ID_3
2.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,2.0,2.0,2.0,5.0,4.0,5.0,2.0,3.0,4.0,4.0,3.0,3.0,3,4.0,3.0,3.0,ID_4
6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,1.0,3.0,2.0,1.0,6.0,5.0,6.0,3.0,5.0,2.0,2.0,3.0,4.0,3,5.0,6.0,1.0,ID_5
2.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,5.0,5.0,1.0,2.0,2.0,1.0,1.0,5.0,2,5.0,6.0,1.0,ID_6
4.0,3.0,1.0,5.0,1.0,3.0,2.0,4.0,2.0,4.0,3.0,6.0,4.0,2.0,1.0,6.0,3.0,2.0,6.0,4.0,3.0,2,4.0,5.0,3.0,ID_7
2.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,2.0,1.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,1,5.0,5.0,2.0,ID_8
4.0,4.0,5.0,6.0,5.0,4.0,3.0,5.0,3.0,2.0,1.0,3.0,2.0,5.0,4.0,3.0,3.0,4.0,2.0,3.0,5.0,3,5.0,6.0,3.0,ID_9
5.0,5.0,5.0,6.0,4.0,5.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,2,4.0,5.0,2.0,ID_10
5.0,5.0,5.0,6.0,6.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,4.0,6.0,5.0,1.0,1.0,1.0,2.0,1.0,5.0,3,4.0,4.0,4.0,ID_11
4.0,5.0,2.0,2.0,1.0,5.0,5.0,5.0,2.0,2.0,3.0,4.0,3.0,6.0,5.0,2.0,4.0,2.0,2.0,3.0,5.0,2,5.0,5.0,5.0,ID_12
