식품명,에너지(kcal),영양성분함량기준량,수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),업체명
라면_스낵면Cup,427,100g,0.0,8.06,14.52,0.0,66.13,4.84,0.0,0.0,0.0,0.0,0.0,1935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.48,0.0,"오뚜기라면(주),해당없음,해당없음"
라면_준코라면,417,100g,0.0,8.33,12.5,0.0,67.5,4.17,0.0,0.0,0.0,0.0,0.0,1525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,"(주)팔도,해당없음,해당없음"
라면_오뚜기김치면,429,100g,0.0,8.57,13.33,0.0,68.57,3.81,0.0,0.0,0.0,0.0,0.0,1371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,"오뚜기라면(주),해당없음,해당없음"
라면_오뚜기 마열라면,438,100g,0.0,10.48,15.24,0.0,64.76,2.86,0.0,131.0,0.0,0.0,0.0,1524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.62,0.0,"오뚜기라면(주),해당없음,해당없음"
라면_컵삼양라면,454,100g,0.0,7.69,18.46,0.0,64.62,3.08,0.0,0.0,0.0,0.0,0.0,1785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23,0.0,"삼양식품(주),해당없음,해당없음"
라면_이마트맛승부해물맛,421,100g,0.0,8.33,14.17,0.0,65.0,1.09,0.0,0.0,0.0,0.0,0.0,1658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,"삼양식품(주),해당없음,해당없음"
라면_새우탕컵,433,100g,0.0,7.46,16.42,0.0,64.18,4.48,0.0,0.0,0.0,0.0,0.0,1806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.46,8.96,0.0,"(주)농심,해당없음,해당없음"
라면_감자탕큰사발면,462,100g,0.0,8.57,18.1,0.0,65.71,4.76,0.0,0.0,0.0,0.0,0.0,1514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,"(주)농심,해당없음,해당없음"
라면_레드라면컵미니,446,100g,0.0,9.23,16.92,0.0,64.62,3.08,0.0,0.0,0.0,0.0,0.0,1477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,"(주)농업법인쿱도우,해당없음,해당없음"
라면_김치사발면,442,100g,0.0,8.14,16.28,0.0,65.12,5.81,0.0,0.0,0.0,0.0,0.0,1767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.14,0.0,"(주)농심,해당없음,해당없음"
