ID,satisfaction
0,neutral or dissatisfied
2,neutral or dissatisfied
3,satisfied
4,satisfied
5,satisfied
6,satisfied
7,satisfied
8,satisfied
9,neutral or dissatisfied
10,neutral or dissatisfied
11,satisfied
12,satisfied
13,neutral or dissatisfied
14,neutral or dissatisfied
15,neutral or dissatisfied
18,satisfied
19,satisfied
20,neutral or dissatisfied
21,satisfied
22,satisfied
23,satisfied
24,neutral or dissatisfied
26,neutral or dissatisfied
29,neutral or dissatisfied
31,satisfied
32,neutral or dissatisfied
33,neutral or dissatisfied
34,satisfied
35,neutral or dissatisfied
36,neutral or dissatisfied
37,satisfied
39,satisfied
40,satisfied
41,satisfied
42,satisfied
43,satisfied
44,satisfied
46,neutral or dissatisfied
48,neutral or dissatisfied
49,neutral or dissatisfied
50,neutral or dissatisfied
51,satisfied
54,neutral or dissatisfied
55,neutral or dissatisfied
56,neutral or dissatisfied
57,satisfied
58,satisfied
59,neutral or dissatisfied
60,satisfied
61,neutral or dissatisfied
62,neutral or dissatisfied
63,neutral or dissatisfied
64,satisfied
65,satisfied
66,neutral or dissatisfied
67,neutral or dissatisfied
68,neutral or dissatisfied
69,neutral or dissatisfied
70,neutral or dissatisfied
71,satisfied
72,neutral or dissatisfied
73,neutral or dissatisfied
75,neutral or dissatisfied
76,neutral or dissatisfied
77,satisfied
78,satisfied
80,neutral or dissatisfied
81,neutral or dissatisfied
82,satisfied
83,neutral or dissatisfied
84,satisfied
85,neutral or dissatisfied
86,neutral or dissatisfied
87,neutral or dissatisfied
88,satisfied
89,satisfied
90,neutral or dissatisfied
92,neutral or dissatisfied
93,satisfied
95,satisfied
96,satisfied
97,neutral or dissatisfied
99,satisfied
100,satisfied
101,neutral or dissatisfied
102,neutral or dissatisfied
103,satisfied
104,neutral or dissatisfied
105,satisfied
106,satisfied
108,satisfied
109,satisfied
110,satisfied
111,neutral or dissatisfied
112,neutral or dissatisfied
113,satisfied
115,neutral or dissatisfied
116,satisfied
117,neutral or dissatisfied
119,neutral or dissatisfied
120,satisfied
121,satisfied
122,satisfied
123,neutral or dissatisfied
124,neutral or dissatisfied
125,neutral or dissatisfied
127,neutral or dissatisfied
128,neutral or dissatisfied
130,satisfied
133,neutral or dissatisfied
134,neutral or dissatisfied
135,satisfied
137,neutral or dissatisfied
138,neutral or dissatisfied
139,satisfied
140,neutral or dissatisfied
141,satisfied
142,satisfied
