ID,Sector_score,LOCATION_ID,PARA_A,Score_A,Risk_A,PARA_B,Score_B,Risk_B,TOTAL,numbers,Score_B.1,Risk_C,Money_Value,Score_MV,Risk_D,District_Loss,PROB,RiSk_E,History,Prob,Risk_F,Score,Inherent_Risk,CONTROL_RISK,Detection_Risk,Audit_Risk
0,2.37,16,0.01,0.2,0.002,0.007,0.2,0.0014,0.017,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.4034,0.4,0.5,0.28068
2,55.57,9,1.06,0.4,0.424,0.0,0.2,0.0,1.06,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.2,1.824,0.4,0.5,0.3648
3,55.57,16,2.42,0.6,1.452,3.53,0.6,2.118,5.95,5.0,0.2,1.0,6.31,0.4,2.524,2,0.2,0.4,0,0.2,0.0,3.8,7.494,0.4,0.5,1.4988
4,2.37,9,0.31,0.2,0.062,0.69,0.2,0.138,1.0,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.6,0.4,0.5,0.32
5,55.57,6,0.62,0.2,0.124,0.42,0.2,0.084,1.04,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.608,0.4,0.5,0.3216
6,1.85,16,9.19,0.6,5.514,4.2,0.6,2.52,13.39,5.0,0.2,1.0,0.52,0.2,0.104,2,0.2,0.4,0,0.2,0.0,3.6,9.538,0.4,0.5,1.9076
7,1.99,15,1.46,0.4,0.584,0.0,0.2,0.0,1.46,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.2,1.984,0.4,0.5,0.3968
8,1.85,9,7.37,0.6,4.422,1.64,0.4,0.656,9.01,5.0,0.2,1.0,0.08,0.2,0.016,2,0.2,0.4,0,0.2,0.0,3.0,6.494,0.4,0.5,1.2988
13,1.99,5,1.34,0.4,0.536,0.0,0.2,0.0,1.34,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.2,1.936,0.4,0.5,0.3872
15,21.61,4,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.4,0.4,0.5,0.28
16,2.37,35,3.35,0.6,2.01,0.99,0.2,0.198,4.34,5.0,0.2,1.0,0.12,0.2,0.024,2,0.2,0.4,0,0.2,0.0,2.4,3.632,0.4,0.5,0.7264
17,55.57,29,0.82,0.2,0.164,0.0,0.2,0.0,0.82,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.564,0.4,0.5,0.3128
18,21.61,19,0.53,0.2,0.106,0.62,0.2,0.124,1.15,5.0,0.2,1.0,0.01,0.2,0.002,2,0.2,0.4,0,0.2,0.0,2.0,1.632,0.4,0.5,0.3264
