ID,Class
0,BARBUNYA
1,DERMASON
2,CALI
4,BARBUNYA
5,BOMBAY
6,BARBUNYA
7,DERMASON
8,SEKER
9,CALI
10,DERMASON
11,DERMASON
12,SEKER
13,DERMASON
14,SIRA
15,DERMASON
16,BOMBAY
18,DERMASON
19,DERMASON
21,DERMASON
25,SEKER
26,CALI
27,DERMASON
28,HOROZ
30,DERMASON
31,DERMASON
32,DERMASON
33,SEKER
34,DERMASON
36,BARBUNYA
37,SIRA
38,SEKER
40,CALI
41,SEKER
43,SEKER
44,CALI
46,BOMBAY
47,CALI
48,DERMASON
49,HOROZ
51,SEKER
53,BARBUNYA
54,BARBUNYA
55,BARBUNYA
56,DERMASON
58,DERMASON
59,HOROZ
60,HOROZ
62,BARBUNYA
63,SEKER
64,SEKER
65,DERMASON
69,SEKER
70,CALI
71,HOROZ
72,HOROZ
73,SEKER
74,CALI
75,CALI
76,DERMASON
77,HOROZ
78,SIRA
79,BARBUNYA
80,BARBUNYA
81,SIRA
82,DERMASON
83,SEKER
85,CALI
87,SIRA
88,BOMBAY
89,HOROZ
90,DERMASON
91,DERMASON
92,SEKER
93,BARBUNYA
94,SEKER
95,HOROZ
96,SIRA
97,SEKER
98,SIRA
99,HOROZ
101,SEKER
102,SEKER
103,SIRA
104,SIRA
105,DERMASON
107,SEKER
108,BOMBAY
109,DERMASON
111,SIRA
113,BARBUNYA
114,BARBUNYA
115,SIRA
117,HOROZ
118,DERMASON
121,SIRA
122,DERMASON
123,HOROZ
125,DERMASON
126,SIRA
127,DERMASON
128,SIRA
131,HOROZ
132,DERMASON
133,SIRA
136,BARBUNYA
138,SEKER
139,SEKER
140,SEKER
143,SEKER
145,DERMASON
147,SIRA
148,DERMASON
150,SEKER
151,CALI
152,DERMASON
153,CALI
154,SIRA
156,SEKER
157,SEKER
161,BARBUNYA
163,DERMASON
164,BARBUNYA
165,DERMASON
167,DERMASON
168,SIRA
169,DERMASON
171,CALI
173,DERMASON
174,HOROZ
175,HOROZ
177,CALI
178,SIRA
179,HOROZ
180,HOROZ
181,SIRA
184,HOROZ
185,BARBUNYA
187,CALI
188,BARBUNYA
189,DERMASON
191,SIRA
192,HOROZ
194,SIRA
195,DERMASON
196,HOROZ
197,BARBUNYA
198,DERMASON
199,CALI
200,BARBUNYA
201,SEKER
202,BARBUNYA
203,DERMASON
204,HOROZ
206,SIRA
207,SEKER
208,SIRA
209,DERMASON
210,SEKER
212,DERMASON
213,SIRA
214,SIRA
215,CALI
217,CALI
218,HOROZ
220,HOROZ
223,CALI
224,SEKER
225,BARBUNYA
228,CALI
229,SIRA
230,HOROZ
231,DERMASON
232,SIRA
234,BARBUNYA
235,CALI
236,HOROZ
237,SEKER
238,DERMASON
239,DERMASON
240,HOROZ
241,SEKER
242,DERMASON
243,CALI
244,SEKER
245,CALI
247,SEKER
251,CALI
252,CALI
254,DERMASON
255,HOROZ
256,DERMASON
257,DERMASON
258,BARBUNYA
259,HOROZ
260,HOROZ
261,SEKER
262,CALI
263,DERMASON
264,DERMASON
265,HOROZ
266,BOMBAY
267,SEKER
270,SIRA
271,CALI
272,HOROZ
273,HOROZ
274,SIRA
275,CALI
276,BARBUNYA
277,SEKER
278,CALI
279,HOROZ
280,SIRA
281,SIRA
283,DERMASON
284,DERMASON
285,SEKER
286,CALI
287,SEKER
288,SIRA
289,SEKER
290,SEKER
291,CALI
292,DERMASON
294,SIRA
295,DERMASON
296,SEKER
299,SEKER
300,SEKER
301,BOMBAY
302,DERMASON
303,HOROZ
304,DERMASON
305,BARBUNYA
306,HOROZ
307,SEKER
310,DERMASON
311,DERMASON
312,CALI
313,BARBUNYA
314,SIRA
315,SEKER
316,SIRA
317,DERMASON
318,HOROZ
319,DERMASON
320,HOROZ
321,BARBUNYA
322,DERMASON
323,SIRA
324,DERMASON
325,CALI
326,BARBUNYA
327,SEKER
328,CALI
329,HOROZ
330,SEKER
331,HOROZ
333,CALI
334,HOROZ
335,DERMASON
336,HOROZ
337,CALI
338,HOROZ
339,DERMASON
340,DERMASON
341,BARBUNYA
342,SIRA
343,CALI
344,BOMBAY
347,SIRA
349,BARBUNYA
350,DERMASON
351,SIRA
352,BARBUNYA
353,SEKER
354,DERMASON
355,BARBUNYA
356,CALI
358,SIRA
359,SEKER
360,SIRA
361,CALI
362,HOROZ
363,BARBUNYA
364,DERMASON
365,CALI
366,DERMASON
367,DERMASON
369,DERMASON
370,SEKER
372,DERMASON
373,SIRA
374,SIRA
375,SIRA
376,SIRA
377,DERMASON
378,SIRA
379,SIRA
381,DERMASON
383,SIRA
386,HOROZ
387,SIRA
388,DERMASON
389,CALI
390,SEKER
391,SIRA
392,SIRA
395,DERMASON
396,SEKER
399,SEKER
400,SIRA
401,BOMBAY
402,HOROZ
403,HOROZ
404,SEKER
405,HOROZ
407,DERMASON
408,DERMASON
410,BOMBAY
411,SIRA
412,SIRA
413,CALI
414,HOROZ
415,SIRA
416,BARBUNYA
417,SIRA
419,CALI
420,SIRA
421,CALI
422,CALI
423,DERMASON
424,CALI
426,SEKER
427,CALI
430,DERMASON
431,SEKER
432,DERMASON
433,CALI
434,BARBUNYA
436,DERMASON
437,BARBUNYA
438,DERMASON
440,BOMBAY
441,SIRA
443,SEKER
444,SIRA
445,SIRA
446,SEKER
447,HOROZ
448,CALI
449,SEKER
450,SIRA
451,BARBUNYA
452,SEKER
453,HOROZ
454,SIRA
455,BARBUNYA
456,BARBUNYA
457,HOROZ
460,DERMASON
462,DERMASON
463,DERMASON
464,HOROZ
466,CALI
467,SEKER
468,DERMASON
469,BARBUNYA
470,SIRA
471,SIRA
472,SIRA
474,SIRA
475,SEKER
476,BARBUNYA
477,CALI
478,SEKER
479,CALI
480,SIRA
482,DERMASON
483,DERMASON
484,BOMBAY
485,SEKER
486,CALI
487,SIRA
488,DERMASON
489,DERMASON
490,DERMASON
491,HOROZ
492,BARBUNYA
493,DERMASON
494,CALI
495,SIRA
496,SIRA
497,CALI
498,DERMASON
499,HOROZ
501,DERMASON
502,BARBUNYA
503,HOROZ
504,SIRA
505,SIRA
506,SEKER
507,DERMASON
509,SIRA
510,SIRA
511,CALI
512,HOROZ
513,SIRA
514,HOROZ
515,SIRA
516,CALI
517,BARBUNYA
518,SEKER
519,DERMASON
520,BARBUNYA
521,DERMASON
522,BARBUNYA
523,CALI
524,DERMASON
525,DERMASON
526,CALI
527,SEKER
529,SEKER
531,SIRA
532,DERMASON
533,BARBUNYA
534,DERMASON
535,SEKER
536,BARBUNYA
537,SEKER
538,SEKER
539,CALI
540,BARBUNYA
542,SEKER
543,SEKER
544,BARBUNYA
545,SIRA
546,CALI
547,DERMASON
548,CALI
549,SIRA
550,SEKER
551,DERMASON
553,DERMASON
555,SIRA
556,HOROZ
558,HOROZ
559,SEKER
560,SEKER
562,DERMASON
563,CALI
564,SEKER
567,SIRA
568,DERMASON
569,CALI
570,DERMASON
572,HOROZ
573,CALI
575,SIRA
576,SEKER
577,DERMASON
579,CALI
580,DERMASON
581,HOROZ
582,DERMASON
583,SEKER
584,SIRA
585,HOROZ
587,HOROZ
590,SIRA
591,SEKER
592,BOMBAY
594,DERMASON
595,SEKER
596,HOROZ
597,DERMASON
600,SIRA
602,DERMASON
603,DERMASON
