ID,Reached.on.Time_Y.N
3613,0
9715,1
8253,0
9030,0
6712,1
665,1
4207,1
7725,1
2899,1
6050,1
9641,0
8199,0
10247,1
9473,0
7382,1
3397,0
8097,1
4464,0
5334,0
10890,0
618,1
6246,1
10613,1
405,1
6783,1
197,1
2117,1
10237,0
3078,1
10096,0
7935,1
5622,1
4416,1
7058,0
3128,1
8176,0
318,1
2505,1
4799,1
8059,0
2274,1
3890,1
5239,1
535,1
2218,1
972,1
615,1
597,1
10215,0
5493,0
2878,1
4566,1
6043,0
5583,0
9028,0
8854,1
839,1
9624,1
2432,1
4035,0
5504,1
734,1
8269,0
7947,1
5825,1
9546,0
6836,0
9268,0
2363,1
5791,1
3046,1
988,1
6666,1
34,1
7144,1
75,1
4289,0
5471,1
4000,0
4966,1
8012,0
5309,1
3177,1
5674,0
371,1
9960,0
929,1
9169,0
1490,1
8907,0
9309,1
4332,1
1771,1
8587,0
3859,0
2448,1
9954,0
3095,1
436,1
4951,0
54,1
8938,1
7620,0
6389,1
50,1
7549,1
8952,0
6295,0
5887,0
7429,0
3608,0
7308,0
9325,1
10117,1
5630,0
4219,0
10937,1
1857,1
10771,1
2651,1
3157,1
2241,1
6108,1
196,1
3550,1
7857,1
1396,1
5124,1
2329,1
7094,1
2352,1
9500,1
6856,1
1144,1
5844,1
471,1
5590,0
598,1
4631,0
952,1
1763,1
3701,1
7568,1
124,1
1185,1
8696,0
5283,0
6736,1
9027,1
1706,1
6287,0
8160,0
9502,0
2227,1
7557,1
9972,0
9809,1
8117,0
1482,1
10561,0
3977,1
5393,1
2409,1
5690,0
2975,1
2359,1
5422,0
9854,0
5697,1
3038,1
1653,1
7533,1
9829,0
1253,1
1982,1
10682,0
1736,1
6696,0
10410,1
1638,1
225,1
5919,0
7501,0
4740,0
6233,0
5315,1
5341,0
9933,1
4487,0
9236,0
5809,0
2568,1
10925,0
6888,1
4952,0
8921,0
3056,1
5411,0
2507,1
901,1
3367,1
5920,0
6009,0
6312,0
3558,0
8264,1
7252,1
10668,1
2130,1
5219,1
5878,1
2070,1
8438,0
5939,0
81,1
4692,0
3137,0
9862,1
4839,1
2652,1
5516,0
375,1
10261,0
8975,1
1984,1
10066,1
716,1
3974,1
10488,0
5185,1
9813,0
3452,1
2213,1
5849,0
5787,1
9063,0
5114,0
8477,0
1711,1
5117,0
10499,0
710,1
5426,1
7554,1
5399,0
4808,0
3456,0
10007,0
1971,1
10008,1
9238,1
2328,1
8241,1
8228,1
4894,0
1719,1
8233,0
9247,0
9131,0
6544,0
968,1
2739,1
3569,0
6215,0
8988,0
3361,1
7765,1
4431,0
5853,0
3806,0
5287,0
6499,1
9380,0
3998,0
10653,0
4695,0
4622,1
3287,0
438,1
4390,1
8708,1
600,1
4658,1
9662,1
2126,1
10968,0
3906,1
4857,0
2927,1
9738,1
10841,0
6379,0
3871,1
116,1
2044,1
9544,0
2119,1
8153,0
4643,1
8855,1
304,1
6219,1
8991,1
7312,1
9439,1
10711,0
10725,0
392,1
2951,1
341,1
1732,1
2459,1
1392,1
5993,0
6008,0
5859,0
9118,0
1323,1
7199,1
624,1
5148,0
3271,0
4687,1
3390,1
2370,1
2207,1
5532,1
10392,0
5425,1
10444,1
8492,1
6734,0
7949,0
4363,0
7852,1
4225,1
2332,1
2753,1
3573,1
9692,1
2319,1
4588,1
5831,0
1906,1
762,1
3070,1
7558,0
4802,0
2206,1
5142,0
5598,1
7193,0
6966,0
2637,1
5576,0
9436,0
9379,1
10044,0
4486,1
10124,0
4069,1
4438,0
1304,1
1165,1
5069,0
10986,1
8043,1
1461,1
2147,1
10528,1
5367,0
3457,0
9779,0
2629,1
10187,0
3299,1
7868,0
367,1
1664,1
3875,0
8832,1
4902,0
4686,0
8755,1
8002,1
9851,1
7000,1
8769,0
1869,1
5051,0
5438,0
5081,0
545,1
7762,0
7545,1
5156,1
5354,1
3061,1
2133,1
3524,0
10696,1
4089,1
609,1
361,1
6184,0
8201,0
1361,1
249,1
5238,0
820,1
5975,0
10390,0
7402,1
6976,0
3897,0
64,1
7173,0
3636,1
3207,0
10377,0
916,1
9904,1
2192,1
10463,1
9721,1
9407,1
6224,0
10755,0
2232,1
5027,0
4517,0
5300,0
6413,1
7804,0
9887,1
3638,1
955,1
2638,1
5278,0
179,1
234,1
1097,1
5202,1
3844,0
9657,0
9319,0
2640,1
6959,0
674,1
5918,0
10081,0
2528,1
1503,1
7412,1
6673,0
2928,1
10748,0
4471,0
4107,1
5301,0
2210,1
3769,1
5883,1
9914,1
1363,1
7625,1
3138,0
6462,0
6067,1
7157,1
8159,0
1354,1
1886,1
10895,0
10630,0
4896,0
8133,0
275,1
9655,1
7290,0
302,1
1083,1
10299,0
9831,0
1806,1
4162,0
650,1
9058,0
9769,1
5436,1
817,1
7745,1
8965,1
9490,1
730,1
7404,0
2855,1
2626,1
7246,0
6689,0
8040,0
2371,1
3818,0
5989,1
802,1
8494,1
4590,1
3991,0
943,1
10789,0
10379,1
1856,1
8677,0
10416,1
1963,1
3880,0
5850,1
10230,1
176,1
8779,0
9218,0
9031,1
10547,1
1953,1
6510,0
251,1
287,1
688,1
3815,0
1859,1
8758,0
2643,1
10750,1
7681,0
9124,0
8533,1
321,1
2941,1
4947,1
10163,1
2823,1
2503,1
8510,0
5534,1
5226,1
3428,0
6803,0
2745,1
97,1
2708,1
8785,1
1123,1
2632,1
1501,1
2235,1
1507,1
8425,0
3846,1
1980,1
10891,1
3265,0
