ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Reached.on.Time_Y.N
4670,F,Flight,4,4,224,5,low,F,9,1
5653,D,Ship,3,5,196,3,medium,F,9,1
7135,D,Flight,5,1,195,6,high,F,8,1
4759,D,Ship,$7,2,291,4,low,F,8,0
10999,D,Ship,2,5,155,5,low,F,6,0
6374,F,Ship,3,5,206,3,low,F,6,1
10140,F,Flight,4,5,258,5,low,M,3,0
2648,F,Ship,3,1,269,3,low,M,61,1
5738,F,Road,5,1,248,2,low,F,6,0
3292,B,Flight,5,1,270,2,high,M,10,0
8165,C,Ship,2,3,129,5,medium,M,3,1
10303,D,Ship,3,2,161,3,medium,M,2,1
8479,D,Road,3,4,260,5,low,M,2,0
7363,D,Ship,4,3,203,2,medium,F,7,0
10377,A,Ship,4,3,169,3,low,F,8,0
10868,F,Ship,4,3,195,3,low,M,7,1
974,F,Flight,5,4,229,3,medium,M,29,1
3533,C,Ship,4,4,218,4,low,M,6,1
1198,B,Ship,6,2,294,4,low,M,35,1
1328,F,Ship,4,5,113,6,medium,M,25,1
10290,F,Flight,5,5,156,2,low,F,8,0
7815,A,Flight,3,1,104,4,low,F,9,1
985,D,Ship,3,3,167,3,medium,F,24,1
10883,C,Ship,5,2,244,2,medium,F,4,1
1472,F,Ship,5,2,243,2,medium,F,4,1
9131,C,Ship,$7,5,308,4,medium,M,6,0
3696,F,Flight,3,1,129,3,medium,M,9,1
10423,D,Flight,3,2,257,3,medium,M,9,0
2880,F,Flight,4,1,195,2,medium,M,19,1
7376,F,Road,3,1,194,2,medium,F,1,0
2244,F,Ship,4,3,133,3,medium,F,50,1
9873,A,Flight,3,5,161,3,low,F,4,0
9811,D,Ship,3,1,232,2,low,F,3,1
8515,D,Ship,3,2,177,2,high,F,7,1
5313,A,Ship,5,5,257,3,medium,F,5,0
8923,D,Ship,5,5,229,5,medium,M,2,1
4477,D,Ship,3,3,197,2,medium,M,10,0
1318,B,Ship,4,4,111,6,low,M,8,1
281,C,Flight,3,1,205,3,medium,M,39,1
2365,D,Ship,3,2,164,4,medium,M,2,1
1082,F,Road,6,3,270,3,low,F,56,1
6861,A,Flight,4,2,249,6,low,F,9,1
3326,F,Ship,3,1,241,3,medium,M,9,0
4211,C,Ship,4,3,266,3,medium,M,8,0
9500,F,Ship,2,2,156,4,high,M,9,1
5636,F,Ship,3,2,268,3,low,M,9,0
3805,D,Ship,3,3,157,3,low,M,9,1
2338,B,Flight,3,4,226,3,medium,F,22,1
8079,A,Flight,2,1,155,2,low,M,2,1
6097,D,Ship,4,2,156,2,medium,M,5,1
10918,B,Ship,4,1,225,5,low,M,3,0
3098,F,Ship,4,4,168,3,medium,M,53,1
7016,F,Ship,4,1,249,3,low,M,4,1
10266,F,Road,5,1,252,3,high,F,2,0
7485,A,Ship,5,2,232,5,medium,F,10,0
9273,A,Ship,4,1,195,3,medium,M,2,0
4803,A,Flight,6,2,290,4,medium,F,9,0
6528,F,Ship,5,3,222,3,medium,F,10,0
486,F,Ship,5,5,263,8,medium,F,9,1
3487,D,Ship,3,4,201,3,low,F,6,1
2874,F,Flight,4,4,233,2,medium,M,39,1
5646,F,Ship,2,3,247,4,low,M,5,0
5358,F,Flight,4,5,183,2,medium,F,2,1
1507,D,Flight,5,3,267,3,low,M,48,1
2420,F,Ship,4,4,241,3,high,M,39,1
440,F,Ship,3,3,172,3,low,F,58,1
10714,B,Ship,5,5,221,5,low,F,8,1
3164,F,Flight,5,2,160,3,high,M,1,0
7967,C,Ship,4,4,261,2,medium,M,8,1
7151,C,Ship,5,5,274,5,low,M,7,1
97,D,Ship,3,3,149,2,medium,M,18,1
4019,C,Ship,3,5,160,3,medium,F,1,0
4534,B,Flight,6,3,154,2,high,M,7,0
762,F,Ship,3,4,218,3,low,M,22,1
3138,F,Road,4,3,161,3,high,M,7,0
7426,B,Ship,3,2,214,2,medium,M,7,0
10126,B,Road,4,1,147,2,low,M,8,1
10564,B,Flight,4,5,219,2,low,M,4,1
3037,D,Ship,5,1,270,3,high,M,52,1
8027,C,Ship,6,3,252,2,low,M,1,0
4051,D,Ship,3,3,229,7,high,F,4,1
4735,D,Ship,4,3,169,10,medium,F,6,1
7819,D,Flight,2,2,215,5,medium,M,3,1
9405,A,Ship,6,1,283,5,low,F,5,0
9329,C,Flight,4,5,233,6,medium,M,1,0
9425,C,Ship,$7,5,256,4,medium,M,4,1
4813,D,Ship,6,4,300,4,low,F,8,1
7855,D,Ship,4,4,135,3,medium,M,6,1
9541,D,Ship,5,1,189,2,medium,M,8,0
9638,F,Ship,6,5,245,4,low,M,2,1
10101,A,Ship,3,2,239,3,low,M,4,1
6830,F,Road,5,4,267,5,low,M,9,0
5474,F,Road,4,5,266,3,medium,M,8,0
10478,F,Ship,5,1,248,5,low,M,3,1
6689,C,Road,3,1,236,6,medium,F,10,0
9079,D,Ship,4,3,225,2,medium,F,2,1
17,C,Flight,3,4,143,2,medium,F,6,1
2537,C,Ship,4,4,205,3,low,F,58,1
7525,D,Road,4,3,165,2,medium,M,10,0
1591,D,Ship,4,1,272,3,medium,M,49,1
9950,F,Ship,6,3,259,4,high,F,7,0
1846,B,Ship,4,4,201,10,medium,M,17,1
204,F,Ship,5,3,161,5,high,M,48,1
1687,D,Ship,2,2,219,3,low,F,56,1
9980,F,Road,3,2,257,2,medium,M,8,1
9740,F,Flight,3,4,143,3,low,M,10,0
4156,B,Ship,5,3,188,2,low,M,6,0
1210,B,Road,5,1,238,3,low,M,32,1
8116,B,Ship,4,1,178,3,high,M,3,1
7236,F,Road,3,4,191,3,medium,M,6,1
1142,F,Ship,3,4,263,3,low,M,42,1
1787,C,Flight,6,2,148,4,low,M,56,1
5230,B,Ship,4,2,268,6,medium,M,2,0
10613,C,Ship,5,2,252,3,low,M,6,1
1585,D,Ship,2,2,182,2,medium,F,14,1
8196,F,Road,3,5,147,3,medium,M,5,1
10148,F,Flight,6,2,282,4,medium,F,9,0
2327,C,Flight,2,5,202,3,low,M,50,1
3807,A,Ship,3,2,156,8,medium,M,6,1
117,A,Road,4,1,150,4,high,M,60,1
8619,A,Road,2,1,258,5,low,F,9,1
9911,C,Ship,6,4,296,4,low,M,4,0
3819,A,Road,4,3,247,10,high,M,10,0
9967,D,Ship,6,5,310,4,medium,F,10,0
5766,F,Flight,6,1,250,4,low,F,2,1
6742,B,Ship,3,2,209,2,medium,F,2,0
6286,B,Road,5,3,244,5,low,F,3,0
39,A,Ship,5,1,215,4,low,F,56,1
6675,A,Ship,3,3,253,3,medium,M,5,1
10764,F,Ship,5,1,259,5,low,F,7,1
