ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
0,C,Flight,3,1,143,4,low,M,6,5474
2,A,Ship,5,1,169,4,low,M,6,4253
4,B,Ship,3,4,172,3,low,M,56,1103
5,C,Ship,3,3,204,2,medium,M,6,5612
6,F,Ship,5,5,167,3,low,F,53,1564
7,A,Ship,3,1,150,2,low,M,9,1158
8,F,Road,6,5,247,4,medium,M,7,1461
9,A,Ship,5,4,206,4,low,F,3,3755
10,B,Ship,5,3,204,3,high,F,1,4037
11,F,Ship,4,5,213,4,low,M,39,2381
13,A,Flight,4,1,270,5,medium,M,9,1280
14,F,Ship,3,4,203,4,medium,M,46,3640
17,D,Road,5,3,222,6,low,M,9,1656
18,F,Road,5,5,245,4,medium,F,12,2225
19,F,Ship,4,2,190,2,medium,F,6,3595
20,F,Ship,4,5,187,3,low,M,7,5022
23,D,Ship,6,1,298,4,low,F,1,1735
24,B,Road,3,5,142,3,low,F,2,4619
25,A,Ship,5,3,191,3,high,F,6,4244
26,B,Ship,4,2,256,2,medium,M,10,3128
27,A,Flight,4,4,252,3,medium,F,7,2477
28,C,Ship,4,4,161,3,low,M,2,5257
31,A,Flight,3,2,223,4,medium,M,3,5374
33,D,Flight,3,4,156,3,medium,M,7,4636
34,D,Ship,5,5,246,3,medium,F,9,4107
35,B,Road,$7,1,309,4,low,F,4,1151
37,C,Ship,4,4,253,5,low,F,2,1709
38,D,Flight,6,3,226,3,high,F,4,4604
39,F,Ship,3,2,210,3,medium,F,43,2096
40,A,Ship,2,1,168,3,low,F,7,4008
42,F,Ship,5,5,275,5,low,F,3,1145
43,F,Ship,4,3,217,3,medium,F,16,3444
44,B,Ship,2,3,230,3,low,F,4,5127
45,C,Ship,3,1,175,3,low,M,6,4695
46,A,Ship,4,4,201,2,medium,F,8,5790
47,F,Flight,3,2,150,2,low,M,53,1319
49,A,Ship,5,1,200,8,low,F,18,3806
50,B,Road,4,4,158,3,low,F,61,1507
51,F,Ship,5,3,237,4,low,F,8,5432
54,F,Ship,$7,2,300,4,medium,M,3,1070
55,C,Flight,2,5,202,3,low,M,50,2587
57,F,Ship,5,3,246,2,medium,F,1,4533
58,C,Ship,3,1,193,3,medium,M,3,5154
61,F,Road,4,1,161,3,medium,M,3,4590
62,F,Ship,4,5,153,2,low,M,1,4492
63,B,Ship,5,4,252,3,medium,M,6,5221
65,F,Road,3,4,164,3,low,M,5,1408
66,F,Road,4,4,146,3,low,F,10,5805
70,B,Ship,5,1,235,5,medium,F,6,1059
72,A,Ship,6,1,250,4,low,M,10,1623
73,C,Ship,3,2,180,4,medium,M,55,1165
74,F,Ship,4,4,175,3,low,M,8,5944
76,B,Flight,4,2,199,3,low,M,4,4070
77,B,Ship,5,3,224,2,low,M,6,5962
79,F,Ship,4,4,256,5,high,M,1,1927
80,C,Road,$7,5,301,4,low,M,9,1660
81,B,Ship,4,1,233,2,medium,F,60,2671
82,F,Ship,3,5,160,3,low,F,8,4106
83,B,Ship,4,5,261,3,high,M,3,4885
86,C,Ship,4,2,153,3,medium,F,53,1185
87,B,Ship,5,3,248,3,medium,M,4,2207
89,B,Ship,5,5,208,2,medium,M,8,5321
90,D,Road,4,5,258,3,low,M,8,4046
91,A,Ship,5,2,215,6,medium,F,5,5195
93,F,Ship,2,3,157,4,low,M,3,1203
94,C,Flight,4,5,221,3,low,F,6,5895
95,C,Flight,5,2,171,3,high,M,34,1029
96,B,Flight,3,5,256,2,medium,F,4,5368
97,C,Ship,4,5,231,4,medium,M,9,5528
98,B,Ship,5,1,210,3,low,F,9,2944
100,B,Flight,5,5,249,3,medium,M,55,3558
101,B,Flight,3,5,167,2,low,M,5,5042
103,B,Ship,4,3,171,6,medium,F,9,1909
104,A,Ship,6,2,265,3,low,M,3,1904
105,F,Ship,4,1,272,2,low,M,2,5022
106,B,Flight,4,2,141,3,medium,M,61,1875
