ID,Reached.on.Time_Y.N
0,0
2,1
4,1
5,0
6,1
7,1
8,1
9,1
10,1
11,1
13,1
14,1
17,0
18,1
19,1
20,1
23,1
24,0
25,0
26,1
27,1
28,0
31,0
33,0
34,0
35,0
37,0
38,1
39,1
40,0
42,0
43,1
44,0
45,0
46,0
47,1
49,1
50,1
51,0
54,1
55,1
57,0
58,0
61,0
62,0
63,0
65,1
66,0
70,1
72,1
73,1
74,1
76,0
77,1
79,1
80,1
81,1
82,0
83,1
86,1
87,1
89,0
90,1
91,1
93,1
94,0
95,1
96,1
97,0
98,1
100,1
101,1
103,1
104,1
105,0
106,1
108,0
109,0
110,0
111,1
112,0
113,0
114,1
116,1
117,1
118,1
119,1
120,0
122,1
124,1
125,1
126,0
128,1
129,1
130,0
131,1
132,1
133,0
135,1
136,1
138,1
139,0
140,1
141,1
142,1
143,0
144,1
145,1
146,1
147,0
148,0
149,1
151,0
153,1
154,0
155,0
156,1
157,0
160,1
161,1
162,1
163,1
166,1
167,1
170,0
171,1
172,1
173,1
175,0
176,1
177,1
179,1
180,1
181,0
182,0
183,1
184,1
186,0
187,0
189,1
191,0
192,1
193,0
194,0
195,1
196,0
198,1
199,1
200,1
202,1
203,1
206,1
207,1
208,1
209,0
213,1
215,1
216,1
218,1
220,1
222,0
223,0
225,1
230,1
231,0
232,1
233,1
234,1
235,1
238,1
240,1
241,1
242,1
244,1
245,1
246,1
247,1
250,1
251,0
252,0
253,0
254,0
256,1
257,1
258,1
259,1
263,1
264,1
265,1
266,1
267,1
271,1
272,0
274,1
278,0
279,0
280,1
281,0
282,1
284,0
285,1
286,1
288,1
291,1
293,1
295,1
296,0
297,1
298,1
299,0
300,0
301,1
302,0
303,0
305,0
306,0
309,1
310,1
311,1
312,1
314,0
315,0
316,1
317,0
320,1
321,0
322,1
323,0
324,1
325,0
326,0
328,1
332,1
333,0
334,0
336,1
337,1
338,1
339,0
340,1
341,0
343,0
344,1
345,1
347,1
348,0
350,0
352,0
354,1
355,1
357,1
358,1
359,1
360,1
361,0
363,0
364,0
366,1
367,0
368,1
369,0
372,1
373,0
374,1
376,1
377,1
378,1
380,1
381,1
383,1
386,1
387,0
388,1
389,1
391,1
394,0
395,1
396,0
397,0
398,0
400,1
401,1
405,0
406,0
407,1
408,1
409,1
410,1
411,1
413,1
414,1
415,0
417,0
418,1
419,0
421,0
424,1
427,0
428,1
429,0
430,1
431,0
432,1
433,1
434,0
435,1
436,1
437,1
439,1
442,0
446,1
448,1
449,0
450,0
451,1
453,1
454,1
456,0
457,1
458,0
459,1
460,1
461,0
462,1
463,1
465,1
466,1
467,1
469,1
470,0
471,1
472,1
475,0
476,0
477,1
478,1
479,0
480,1
481,0
482,0
483,1
484,1
485,1
486,0
487,0
490,1
491,1
492,0
493,1
494,1
495,1
496,1
497,1
498,1
499,0
500,0
501,0
502,0
503,1
504,0
505,1
506,1
507,0
508,1
509,0
510,1
511,1
512,0
513,1
514,1
517,0
518,0
520,1
521,0
522,0
523,0
525,1
526,1
528,1
529,0
530,1
533,1
535,0
541,1
542,1
543,1
544,1
546,0
548,1
549,0
552,0
553,0
554,0
555,0
557,0
558,1
559,1
561,1
562,1
563,0
564,0
565,1
566,1
568,1
569,1
570,1
571,1
572,0
573,0
574,1
576,1
577,0
578,1
579,0
581,1
582,1
583,0
584,1
586,0
591,1
592,1
593,1
595,1
596,1
597,0
598,1
599,0
600,1
601,0
602,1
604,1
605,1
607,1
608,0
611,1
614,1
616,1
617,1
618,1
621,0
622,1
623,1
626,1
630,1
631,0
633,1
634,0
635,1
636,1
639,0
640,1
641,1
642,0
643,1
644,1
645,0
646,1
649,1
651,0
652,0
654,1
655,0
656,0
658,1
660,0
661,1
662,0
664,1
665,0
666,1
667,1
670,1
672,0
674,1
676,0
677,1
680,1
681,0
682,0
684,0
685,1
686,1
687,1
688,0
690,0
691,1
692,1
693,1
695,0
697,1
698,0
700,1
702,0
704,0
706,0
708,0
710,1
712,0
714,1
715,1
716,1
717,1
718,0
719,1
720,0
722,1
723,1
724,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,0
734,1
738,0
739,1
740,1
741,1
743,0
745,1
746,1
747,0
748,0
750,0
751,0
752,0
756,1
757,0
758,0
759,0
760,1
761,1
762,0
