ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
6045,A,Flight,4,3,266.0,5,high,F,5,1590,0
44,F,Ship,3,1,174.0,2,low,M,44,1556,1
7940,F,Road,4,1,154.0,10,high,M,10,5674,1
1596,F,Ship,4,3,158.0,3,medium,F,27,1207,1
4395,A,Flight,5,3,175.0,3,low,M,7,4833,1
1991,C,Ship,3,3,139.0,4,high,M,17,1137,1
7896,F,Ship,3,1,220.0,2,low,F,7,5653,0
4338,F,Ship,3,2,160.0,3,low,F,4,4683,0
3215,C,Ship,5,2,145.0,4,medium,F,9,4028,0
10251,A,Road,5,2,155.0,3,low,F,10,4485,1
3724,B,Ship,3,2,226.0,3,medium,M,3,4940,1
10811,C,Road,4,3,256.0,3,medium,M,3,4480,0
4245,A,Flight,3,3,204.0,3,low,M,6,5296,1
2810,F,Ship,3,2,207.0,2,low,M,20,3419,1
4107,A,Flight,6,1,274.0,5,low,F,8,4292,1
6274,B,Ship,6,5,251.0,4,low,F,8,1038,0
1759,D,Road,3,2,267.0,5,low,F,48,2622,1
9859,D,Road,6,3,166.0,5,medium,F,3,4596,1
1883,C,Ship,4,1,201.0,10,medium,M,37,3402,1
7191,A,Ship,5,2,303.0,4,low,F,9,1224,1
9126,F,Ship,2,4,204.0,10,low,F,4,4679,1
3875,C,Ship,2,5,176.0,3,low,F,4,5463,0
291,A,Flight,4,4,270.0,3,low,M,12,3279,1
2225,C,Ship,4,3,258.0,3,low,F,12,2017,1
6989,C,Flight,4,5,133.0,3,high,F,8,5653,1
3109,D,Ship,4,3,190.0,4,medium,M,12,3115,1
1919,C,Flight,4,5,207.0,2,medium,F,49,3736,1
10701,A,Flight,2,5,277.0,3,medium,F,6,1057,0
5882,F,Road,3,4,143.0,3,low,F,1,4392,1
2934,F,Ship,6,3,273.0,4,medium,F,32,2532,1
7721,C,Ship,$7,1,285.0,4,low,M,2,1516,0
9432,F,Road,6,5,285.0,4,low,M,8,1028,1
7350,F,Ship,4,4,209.0,3,medium,M,8,5884,1
8976,F,Ship,3,5,220.0,4,low,F,5,5677,0
6835,D,Road,4,4,189.0,2,low,M,5,4553,0
8398,B,Ship,3,1,167.0,3,medium,M,10,4341,1
5579,C,Ship,4,5,160.0,5,medium,F,3,4648,1
10650,F,Ship,4,5,261.0,10,low,M,7,5208,0
6541,D,Ship,$7,5,133.0,5,low,F,7,1239,1
582,F,Ship,4,2,216.0,2,medium,F,22,3024,1
667,D,Road,5,2,254.0,4,high,M,37,2608,1
6781,D,Ship,5,5,246.0,3,medium,F,9,4107,0
7453,D,Ship,$7,4,295.0,4,low,F,10,1217,1
7722,F,Ship,5,1,229.0,6,low,M,9,1883,1
6820,B,Ship,6,5,261.0,4,low,F,9,1266,1
5316,F,Ship,3,1,219.0,3,medium,M,6,4893,1
1552,B,Ship,3,3,246.0,3,medium,F,45,3945,1
1705,D,Ship,3,3,245.0,2,medium,F,16,2577,1
1250,F,Flight,4,1,247.0,3,low,F,9,2414,1
10144,B,Flight,6,4,247.0,4,medium,M,2,1858,1
5638,B,Ship,3,2,215.0,3,medium,F,10,4198,1
7155,A,Ship,5,4,223.0,5,low,M,2,1400,0
1575,A,Ship,6,3,215.0,5,low,M,13,3899,1
10279,D,Flight,4,3,164.0,3,medium,F,4,4495,0
2745,A,Flight,6,4,249.0,5,medium,M,43,3078,1
9240,F,Ship,4,2,217.0,2,medium,F,8,4907,1
315,A,Ship,4,2,143.0,6,medium,M,20,1654,1
6195,A,Ship,5,2,173.0,4,high,F,9,4307,0
10071,A,Ship,3,1,160.0,2,medium,M,5,4435,1
160,B,Ship,3,3,149.0,3,low,F,63,1946,1
10948,B,Road,4,1,232.0,5,medium,M,9,1145,0
1172,F,Ship,3,1,251.0,3,medium,F,18,2240,1
9665,C,Ship,2,5,181.0,5,medium,F,5,1043,0
3254,F,Ship,3,3,235.0,3,medium,F,10,4186,0
3654,F,Ship,5,3,267.0,3,low,M,9,5258,1
4286,F,Ship,3,3,150.0,4,medium,F,8,4357,1
4592,F,Ship,2,1,235.0,3,medium,F,6,4411,1
5656,B,Ship,4,4,198.0,2,medium,M,2,5725,1
7434,F,Ship,4,4,144.0,3,low,F,7,5351,1
7452,F,Ship,4,1,246.0,6,low,M,4,1489,0
2512,B,Ship,3,1,176.0,2,medium,F,45,1470,1
5876,F,Road,4,3,176.0,2,low,F,6,5149,1
10802,F,Road,5,3,234.0,5,low,M,7,1691,1
322,B,Ship,4,5,141.0,3,medium,M,12,1672,1
234,F,Ship,2,1,222.0,2,medium,M,58,3626,1
3038,F,Ship,5,4,135.0,2,medium,F,20,1908,1
771,A,Ship,3,4,179.0,4,low,F,44,1004,1
4189,D,Ship,4,5,263.0,5,low,M,9,5731,1
3414,F,Road,3,1,188.0,3,low,M,3,4222,0
1871,C,Ship,3,1,245.0,4,high,F,47,3111,1
4498,B,Road,3,4,260.0,4,low,F,10,4109,0
10188,F,Ship,5,2,243.0,6,medium,M,7,1752,0
7622,F,Ship,3,4,145.0,4,high,M,4,5801,0
8619,A,Road,2,1,258.0,5,low,F,9,1548,1
553,D,Flight,3,4,156.0,2,low,M,8,1145,1
229,D,Ship,3,2,164.0,10,high,M,14,1375,1
2807,C,Ship,3,1,187.0,4,medium,M,42,3621,1
5715,A,Ship,4,2,258.0,7,medium,M,3,4538,1
