,ID,Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,TravelInsurance
0,1008,26,Private Sector/Self Employed,Yes,1400000,5.0,0,No,Yes,1
1,199,30,Private Sector/Self Employed,No,1450000,5.0,0,Yes,Yes,1
2,86,32,Government Sector,Yes,900000,4.0,0,No,No,0
3,560,26,Private Sector/Self Employed,Yes,1400000,7.0,0,No,Yes,1
4,161,34,Private Sector/Self Employed,No,1400000,3.0,1,No,Yes,1
5,1291,34,Private Sector/Self Employed,Yes,1500000,5.0,1,Yes,Yes,1
6,1811,29,Private Sector/Self Employed,Yes,1100000,8.0,0,No,No,0
7,375,28,Private Sector/Self Employed,Yes,1100000,6.0,1,No,No,0
8,1243,33,Government Sector,Yes,700000,6.0,1,No,No,1
9,949,29,Private Sector/Self Employed,Yes,1200000,3.0,1,No,Yes,1
10,583,29,Private Sector/Self Employed,Yes,500000,3.0,0,No,No,1
11,1452,31,Private Sector/Self Employed,Yes,1350000,3.0,0,No,Yes,1
12,310,30,Private Sector/Self Employed,No,550000,8.0,0,No,No,0
13,777,27,Government Sector,Yes,500000,5.0,0,No,No,0
14,1426,26,Government Sector,Yes,500000,6.0,1,No,No,0
15,1220,28,Private Sector/Self Employed,Yes,1100000,5.0,0,No,No,0
16,906,34,Government Sector,Yes,1300000,5.0,1,No,No,0
17,1748,28,Private Sector/Self Employed,Yes,1100000,4.0,0,Yes,No,0
18,1451,25,Private Sector/Self Employed,No,1150000,4.0,1,No,No,0
19,1414,34,Private Sector/Self Employed,Yes,700000,3.0,0,No,No,0
20,451,28,Private Sector/Self Employed,Yes,800000,4.0,0,No,No,0
21,1037,29,Private Sector/Self Employed,Yes,900000,7.0,0,No,No,1
22,292,27,Government Sector,Yes,850000,4.0,0,No,No,0
23,1534,33,Government Sector,Yes,1750000,6.0,0,No,No,1
24,784,31,Government Sector,Yes,1500000,5.0,1,Yes,Yes,1
25,1552,28,Private Sector/Self Employed,Yes,750000,2.0,0,No,No,1
26,1905,25,Private Sector/Self Employed,No,600000,4.0,1,Yes,No,0
27,1932,35,Private Sector/Self Employed,No,800000,4.0,1,No,No,0
28,1464,31,Government Sector,Yes,400000,3.0,0,No,No,0
29,1120,31,Government Sector,No,300000,4.0,0,No,No,0
30,965,25,Private Sector/Self Employed,No,1150000,8.0,0,Yes,No,0
31,483,28,Private Sector/Self Employed,Yes,1150000,4.0,0,No,No,0
32,1267,31,Private Sector/Self Employed,Yes,1350000,3.0,0,Yes,Yes,1
33,1852,28,Private Sector/Self Employed,Yes,1200000,6.0,1,No,No,0
34,1223,33,Private Sector/Self Employed,Yes,550000,5.0,1,No,No,0
35,950,28,Private Sector/Self Employed,Yes,550000,5.0,0,No,No,0
36,178,32,Government Sector,Yes,350000,6.0,0,No,No,0
37,845,28,Private Sector/Self Employed,Yes,750000,3.0,1,No,No,0
38,105,28,Private Sector/Self Employed,Yes,750000,3.0,0,No,No,0
39,1676,27,Government Sector,Yes,1050000,7.0,0,No,No,1
40,1702,27,Government Sector,Yes,1050000,2.0,0,No,No,0
41,1034,25,Private Sector/Self Employed,Yes,1400000,3.0,0,Yes,Yes,1
42,986,25,Private Sector/Self Employed,Yes,1400000,3.0,0,No,Yes,1
43,1972,28,Private Sector/Self Employed,Yes,800000,5.0,1,No,No,0
44,1087,31,Government Sector,Yes,1200000,7.0,1,No,No,0
45,1287,34,Private Sector/Self Employed,Yes,500000,4.0,0,No,No,0
46,875,29,Private Sector/Self Employed,Yes,600000,3.0,1,No,No,0
47,1847,28,Government Sector,Yes,1200000,3.0,0,No,No,1
48,1365,34,Private Sector/Self Employed,No,750000,3.0,0,Yes,No,0
49,686,33,Private Sector/Self Employed,Yes,1500000,3.0,0,Yes,Yes,1
50,376,31,Government Sector,Yes,1300000,4.0,0,No,No,0
51,323,33,Private Sector/Self Employed,Yes,1400000,5.0,0,No,Yes,1
52,324,28,Government Sector,Yes,300000,5.0,0,No,No,0
53,1121,34,Private Sector/Self Employed,Yes,1000000,6.0,1,No,No,1
54,1577,28,Government Sector,No,300000,4.0,0,No,No,0
55,651,33,Private Sector/Self Employed,Yes,1400000,8.0,1,No,Yes,1
56,812,33,Government Sector,Yes,1000000,4.0,1,No,No,0
57,1760,34,Private Sector/Self Employed,Yes,1500000,3.0,0,Yes,Yes,1
58,123,27,Government Sector,Yes,850000,3.0,0,No,No,0
59,1054,31,Government Sector,Yes,400000,5.0,0,No,No,0
60,67,34,Private Sector/Self Employed,Yes,1500000,3.0,0,Yes,Yes,1
61,83,34,Private Sector/Self Employed,No,950000,4.0,0,Yes,No,1
62,56,28,Private Sector/Self Employed,Yes,550000,3.0,0,No,No,1
63,232,28,Private Sector/Self Employed,Yes,1250000,6.0,0,No,No,0
64,1241,33,Government Sector,Yes,1100000,8.0,0,No,No,1
65,621,28,Private Sector/Self Employed,Yes,650000,4.0,0,No,No,0
66,1651,34,Private Sector/Self Employed,Yes,1500000,3.0,0,Yes,Yes,1
67,1158,34,Private Sector/Self Employed,Yes,700000,2.0,0,No,No,0
68,884,35,Government Sector,Yes,1100000,8.0,0,Yes,No,1
69,707,28,Private Sector/Self Employed,Yes,550000,4.0,1,No,No,0
70,1697,29,Private Sector/Self Employed,Yes,1050000,5.0,0,No,No,0
71,1561,28,Private Sector/Self Employed,Yes,700000,7.0,0,No,No,0
72,1885,35,Government Sector,Yes,1100000,3.0,0,No,No,0
73,1625,28,Government Sector,Yes,300000,3.0,1,No,No,1
74,70,34,Government Sector,Yes,1300000,4.0,0,No,No,0
75,1111,34,Private Sector/Self Employed,Yes,500000,3.0,0,No,No,0
76,1986,34,Private Sector/Self Employed,Yes,500000,4.0,0,No,No,0
77,1590,30,Private Sector/Self Employed,No,550000,5.0,0,Yes,No,0
78,1512,28,Private Sector/Self Employed,Yes,500000,3.0,0,No,No,0
79,5,25,Private Sector/Self Employed,No,1150000,4.0,0,No,No,0
80,430,26,Private Sector/Self Employed,Yes,1300000,7.0,0,No,No,1
81,1594,25,Private Sector/Self Employed,Yes,1400000,5.0,1,No,Yes,1
82,1274,34,Private Sector/Self Employed,Yes,1000000,3.0,0,No,No,0
83,1319,26,Private Sector/Self Employed,Yes,600000,6.0,0,Yes,No,0
84,205,29,Private Sector/Self Employed,Yes,1150000,4.0,1,No,Yes,0
85,827,32,Government Sector,Yes,850000,7.0,1,No,No,1
86,1074,34,Private Sector/Self Employed,Yes,1500000,5.0,1,Yes,Yes,0
87,1021,28,Private Sector/Self Employed,Yes,1150000,4.0,0,No,No,1
88,1558,32,Government Sector,Yes,800000,5.0,0,No,No,0
89,490,29,Private Sector/Self Employed,Yes,1200000,5.0,1,No,No,0
90,231,31,Government Sector,Yes,1200000,5.0,1,No,No,0
91,1975,26,Private Sector/Self Employed,Yes,1400000,9.0,0,No,Yes,1
92,818,28,Private Sector/Self Employed,Yes,900000,4.0,0,No,No,1
93,1189,34,Private Sector/Self Employed,No,1300000,3.0,0,No,No,0
94,1272,33,Government Sector,Yes,650000,3.0,0,No,No,1
95,1751,28,Government Sector,Yes,300000,5.0,0,No,No,0
96,876,28,Private Sector/Self Employed,Yes,800000,4.0,1,No,No,0
97,1393,33,Government Sector,Yes,1000000,4.0,0,Yes,Yes,0
98,1221,28,Government Sector,Yes,300000,2.0,0,No,No,0
99,791,35,Private Sector/Self Employed,No,800000,7.0,0,No,No,1
100,1834,31,Private Sector/Self Employed,Yes,1100000,4.0,0,Yes,No,0
101,149,28,Private Sector/Self Employed,Yes,800000,5.0,1,No,No,0
102,1141,33,Private Sector/Self Employed,Yes,750000,4.0,1,No,No,0
103,1915,28,Private Sector/Self Employed,Yes,800000,5.0,0,No,No,0
104,360,28,Private Sector/Self Employed,No,550000,4.0,0,No,No,0
105,1682,30,Private Sector/Self Employed,No,800000,3.0,0,No,No,0
106,1777,34,Private Sector/Self Employed,Yes,700000,4.0,1,Yes,No,0
107,1799,26,Government Sector,Yes,1450000,3.0,0,Yes,Yes,1
108,1024,32,Government Sector,Yes,800000,9.0,0,No,Yes,1
109,1299,28,Private Sector/Self Employed,Yes,700000,6.0,1,No,No,0
110,598,35,Private Sector/Self Employed,No,800000,6.0,0,Yes,No,1
111,666,28,Private Sector/Self Employed,Yes,800000,5.0,0,No,No,0
112,787,34,Private Sector/Self Employed,Yes,1000000,4.0,0,No,No,0
113,1045,28,Private Sector/Self Employed,Yes,1100000,4.0,1,No,No,0
114,1122,34,Private Sector/Self Employed,Yes,700000,5.0,0,Yes,No,1
115,973,26,Private Sector/Self Employed,Yes,1500000,4.0,0,Yes,Yes,1
116,1250,28,Private Sector/Self Employed,Yes,800000,7.0,0,No,No,0
117,955,34,Private Sector/Self Employed,Yes,1300000,6.0,0,No,No,1
118,1078,31,Government Sector,No,300000,3.0,0,No,No,0
119,1822,35,Private Sector/Self Employed,No,800000,5.0,0,No,No,0
120,1245,26,Private Sector/Self Employed,Yes,1400000,3.0,0,No,Yes,1
121,544,31,Government Sector,No,400000,3.0,0,No,No,0
122,1859,32,Government Sector,Yes,800000,3.0,1,No,No,0
123,1944,34,Private Sector/Self Employed,Yes,1500000,4.0,1,Yes,Yes,1
124,143,26,Private Sector/Self Employed,Yes,1300000,4.0,0,No,No,0
125,1810,27,Private Sector/Self Employed,No,350000,4.0,0,No,No,0
126,124,32,Government Sector,Yes,350000,4.0,1,No,No,0
127,196,34,Private Sector/Self Employed,Yes,1000000,7.0,0,No,No,1
128,542,27,Private Sector/Self Employed,No,600000,4.0,0,Yes,No,0
129,1236,28,Government Sector,Yes,600000,3.0,0,No,No,0
130,366,28,Government Sector,Yes,300000,3.0,0,No,No,0
131,154,28,Private Sector/Self Employed,Yes,700000,4.0,0,Yes,No,0
132,745,28,Government Sector,Yes,600000,3.0,0,Yes,No,0
133,1098,28,Private Sector/Self Employed,Yes,1150000,6.0,1,No,No,0
134,1879,27,Private Sector/Self Employed,No,350000,2.0,0,No,No,0
135,238,29,Private Sector/Self Employed,Yes,600000,3.0,1,No,No,0
136,1783,29,Private Sector/Self Employed,Yes,1200000,9.0,0,No,No,1
137,754,32,Government Sector,Yes,850000,3.0,0,No,No,0
138,171,28,Private Sector/Self Employed,Yes,900000,7.0,0,No,No,0
139,1383,25,Private Sector/Self Employed,Yes,1400000,2.0,1,No,Yes,1
140,1535,33,Government Sector,Yes,650000,5.0,0,Yes,No,1
141,681,28,Private Sector/Self Employed,Yes,1200000,4.0,0,No,No,0
142,434,34,Private Sector/Self Employed,Yes,1300000,7.0,0,No,No,1
143,799,31,Government Sector,Yes,1200000,3.0,0,No,No,0
144,1804,28,Private Sector/Self Employed,Yes,1100000,5.0,0,No,No,0
145,882,26,Private Sector/Self Employed,Yes,600000,4.0,1,No,No,0
146,15,34,Private Sector/Self Employed,Yes,700000,7.0,0,No,No,0
147,359,25,Private Sector/Self Employed,No,1150000,3.0,0,No,No,0
148,1206,29,Private Sector/Self Employed,Yes,1200000,3.0,0,No,No,1
149,1643,28,Private Sector/Self Employed,Yes,1150000,9.0,0,No,No,0
150,1072,31,Government Sector,Yes,400000,6.0,0,No,No,0
151,1851,28,Private Sector/Self Employed,No,550000,6.0,0,No,No,1
152,1349,26,Private Sector/Self Employed,Yes,1400000,3.0,0,No,Yes,1
153,1303,28,Private Sector/Self Employed,Yes,1200000,5.0,0,No,No,0
154,234,34,Private Sector/Self Employed,Yes,1300000,4.0,0,No,No,0
155,572,28,Private Sector/Self Employed,No,550000,5.0,0,No,No,0
156,209,25,Private Sector/Self Employed,No,1700000,3.0,1,Yes,No,0
157,1059,32,Government Sector,Yes,350000,4.0,0,No,No,0
158,1556,30,Private Sector/Self Employed,No,1450000,6.0,0,Yes,Yes,1
159,332,31,Private Sector/Self Employed,Yes,1650000,7.0,1,Yes,No,1
160,1212,34,Private Sector/Self Employed,No,1300000,5.0,0,No,No,0
161,505,28,Private Sector/Self Employed,Yes,800000,4.0,0,No,No,0
162,433,28,Private Sector/Self Employed,Yes,1100000,4.0,0,No,No,0
163,59,33,Private Sector/Self Employed,Yes,1400000,9.0,0,Yes,Yes,1
164,571,32,Government Sector,Yes,850000,5.0,1,No,No,0
165,1858,30,Private Sector/Self Employed,No,750000,3.0,1,No,No,1
166,449,31,Private Sector/Self Employed,Yes,500000,3.0,1,No,No,1
167,1126,29,Private Sector/Self Employed,Yes,1200000,4.0,0,No,No,0
168,1984,28,Private Sector/Self Employed,Yes,1150000,6.0,1,No,No,0
169,1938,34,Private Sector/Self Employed,No,1400000,4.0,0,No,Yes,0
170,44,25,Private Sector/Self Employed,Yes,1400000,7.0,0,No,Yes,1
171,69,31,Government Sector,No,300000,4.0,0,No,No,0
172,701,29,Private Sector/Self Employed,Yes,1350000,7.0,1,No,Yes,1
173,16,28,Private Sector/Self Employed,Yes,1150000,4.0,1,No,No,0
174,1606,33,Government Sector,Yes,700000,2.0,0,No,No,0
175,1930,31,Government Sector,Yes,1200000,7.0,0,No,No,0
176,1265,34,Private Sector/Self Employed,Yes,1000000,5.0,0,No,No,0
177,1315,25,Private Sector/Self Employed,No,1150000,3.0,0,No,No,0
178,390,33,Private Sector/Self Employed,Yes,550000,5.0,0,No,No,1
179,729,27,Private Sector/Self Employed,No,600000,3.0,0,No,Yes,0
180,392,31,Private Sector/Self Employed,Yes,950000,4.0,1,No,No,1
181,348,31,Private Sector/Self Employed,Yes,1400000,6.0,1,No,Yes,0
182,1047,31,Private Sector/Self Employed,Yes,1350000,4.0,0,No,Yes,1
183,974,26,Private Sector/Self Employed,Yes,1500000,4.0,0,Yes,Yes,1
184,908,34,Private Sector/Self Employed,Yes,1300000,3.0,0,No,Yes,0
185,1244,25,Private Sector/Self Employed,No,1150000,3.0,1,No,Yes,0
186,383,29,Private Sector/Self Employed,Yes,1100000,4.0,0,No,No,0
187,1089,26,Private Sector/Self Employed,Yes,500000,3.0,0,No,No,0
188,1090,29,Private Sector/Self Employed,Yes,1100000,5.0,1,No,No,0
189,475,34,Private Sector/Self Employed,Yes,1000000,4.0,0,No,No,1
190,79,31,Government Sector,No,400000,5.0,1,No,No,0
191,1073,28,Private Sector/Self Employed,Yes,500000,7.0,0,No,No,0
192,1432,28,Private Sector/Self Employed,Yes,700000,3.0,0,No,No,1
193,942,25,Private Sector/Self Employed,Yes,500000,6.0,0,No,No,0
194,1531,27,Government Sector,Yes,750000,5.0,0,No,No,0
195,1528,28,Private Sector/Self Employed,Yes,750000,2.0,0,No,No,0
196,1123,25,Private Sector/Self Employed,Yes,1800000,6.0,1,Yes,No,1
197,1116,28,Government Sector,Yes,600000,9.0,0,Yes,No,1
198,508,28,Private Sector/Self Employed,Yes,900000,6.0,0,No,No,1
199,713,28,Private Sector/Self Employed,Yes,1100000,2.0,1,No,No,1
200,1854,34,Government Sector,Yes,1300000,5.0,0,Yes,No,1
201,756,28,Government Sector,No,300000,6.0,0,No,No,0
202,833,31,Government Sector,Yes,1500000,3.0,0,Yes,Yes,1
203,1443,29,Private Sector/Self Employed,Yes,1200000,7.0,1,No,No,1
204,1280,25,Private Sector/Self Employed,Yes,1400000,4.0,0,No,Yes,1
205,1277,34,Private Sector/Self Employed,Yes,1500000,2.0,0,Yes,Yes,1
206,242,33,Government Sector,Yes,400000,4.0,0,No,No,0
207,13,31,Government Sector,Yes,1500000,6.0,0,Yes,Yes,1
208,1278,30,Private Sector/Self Employed,No,550000,3.0,0,No,No,1
209,1836,33,Government Sector,Yes,800000,4.0,0,No,No,0
210,548,27,Government Sector,Yes,850000,5.0,0,No,No,0
211,1562,29,Private Sector/Self Employed,Yes,1100000,4.0,0,No,No,1
212,1308,31,Private Sector/Self Employed,Yes,1250000,7.0,1,No,No,0
213,1456,25,Private Sector/Self Employed,No,1700000,3.0,0,Yes,No,1
214,43,28,Private Sector/Self Employed,Yes,1200000,4.0,0,Yes,No,1
215,1152,28,Government Sector,Yes,300000,4.0,0,No,No,0
216,1848,31,Government Sector,No,400000,7.0,1,No,No,0
217,925,30,Private Sector/Self Employed,No,800000,3.0,0,No,No,0
218,663,32,Government Sector,Yes,800000,6.0,1,No,No,1
219,653,27,Government Sector,Yes,500000,7.0,0,No,No,0
220,1125,28,Government Sector,Yes,300000,5.0,0,No,No,0
221,403,28,Private Sector/Self Employed,Yes,800000,8.0,1,No,No,0
222,1843,28,Private Sector/Self Employed,Yes,1200000,4.0,0,No,No,0
223,953,29,Private Sector/Self Employed,Yes,1750000,6.0,0,No,No,0
224,619,35,Government Sector,Yes,1100000,6.0,0,No,No,1
225,625,31,Private Sector/Self Employed,Yes,1750000,4.0,0,No,No,0
226,1354,26,Private Sector/Self Employed,Yes,1400000,9.0,1,No,Yes,1
227,19,34,Private Sector/Self Employed,Yes,1500000,2.0,0,Yes,Yes,1
228,18,29,Private Sector/Self Employed,Yes,1050000,5.0,1,No,No,1
229,1380,28,Private Sector/Self Employed,Yes,500000,5.0,1,No,No,1
230,523,33,Government Sector,Yes,400000,5.0,1,No,No,0
231,620,29,Private Sector/Self Employed,Yes,1050000,4.0,0,Yes,No,0
232,1611,26,Private Sector/Self Employed,Yes,1400000,6.0,1,No,Yes,1
233,444,28,Private Sector/Self Employed,Yes,700000,4.0,1,No,No,1
234,1837,34,Private Sector/Self Employed,Yes,1300000,5.0,0,No,Yes,0
235,1690,35,Private Sector/Self Employed,No,800000,6.0,1,No,Yes,1
236,1253,25,Private Sector/Self Employed,Yes,1700000,3.0,0,Yes,No,1
237,822,29,Private Sector/Self Employed,Yes,1200000,4.0,0,No,No,0
238,97,29,Private Sector/Self Employed,Yes,350000,7.0,0,No,No,0
239,730,31,Private Sector/Self Employed,Yes,500000,6.0,0,No,No,1
240,1539,33,Private Sector/Self Employed,Yes,550000,7.0,1,Yes,No,1
241,1805,29,Private Sector/Self Employed,Yes,1200000,4.0,0,No,No,0
242,1684,26,Private Sector/Self Employed,Yes,1400000,6.0,1,No,Yes,1
243,1117,28,Private Sector/Self Employed,Yes,800000,5.0,1,No,No,0
244,1232,31,Government Sector,No,350000,4.0,1,No,No,0
245,983,35,Private Sector/Self Employed,No,950000,6.0,0,Yes,No,1
246,1632,32,Government Sector,Yes,800000,7.0,0,No,No,0
247,734,34,Private Sector/Self Employed,Yes,1050000,7.0,0,No,No,1
248,894,30,Private Sector/Self Employed,No,800000,5.0,0,No,No,1
249,732,30,Private Sector/Self Employed,No,800000,4.0,0,No,No,0
250,1133,35,Government Sector,Yes,1100000,3.0,1,No,No,1
251,1260,30,Private Sector/Self Employed,No,550000,4.0,0,No,No,0
252,1979,28,Private Sector/Self Employed,Yes,1100000,4.0,1,No,No,0
253,1298,27,Government Sector,Yes,500000,2.0,1,No,No,1
254,608,28,Private Sector/Self Employed,Yes,800000,4.0,1,Yes,No,1
255,131,28,Private Sector/Self Employed,Yes,750000,4.0,0,No,No,0
256,537,29,Private Sector/Self Employed,Yes,600000,8.0,1,No,No,1
257,1894,28,Private Sector/Self Employed,Yes,700000,4.0,1,No,No,0
258,1882,31,Private Sector/Self Employed,Yes,1350000,9.0,1,No,Yes,1
259,521,28,Private Sector/Self Employed,Yes,1100000,6.0,0,No,No,0
260,606,28,Private Sector/Self Employed,Yes,800000,3.0,0,No,No,0
261,396,33,Government Sector,Yes,650000,6.0,1,No,No,1
262,1307,28,Private Sector/Self Employed,Yes,900000,3.0,0,No,No,0
263,193,34,Private Sector/Self Employed,No,1300000,5.0,1,No,No,0
264,624,34,Private Sector/Self Employed,Yes,1000000,9.0,0,No,No,0
265,1248,28,Private Sector/Self Employed,Yes,1200000,5.0,0,No,No,0
266,160,31,Government Sector,Yes,1200000,5.0,1,No,No,1
267,1162,34,Private Sector/Self Employed,No,1400000,4.0,0,No,Yes,1
268,618,31,Private Sector/Self Employed,Yes,1650000,2.0,0,Yes,No,1
269,1603,28,Government Sector,Yes,600000,6.0,0,No,No,0
270,1239,34,Private Sector/Self Employed,Yes,1500000,6.0,1,Yes,Yes,1
271,157,28,Private Sector/Self Employed,Yes,600000,3.0,1,No,No,0
272,432,34,Private Sector/Self Employed,Yes,500000,5.0,0,No,No,0
273,302,34,Private Sector/Self Employed,Yes,700000,6.0,0,No,No,1
274,1168,28,Government Sector,Yes,600000,3.0,0,No,No,0
275,1400,29,Private Sector/Self Employed,Yes,1050000,6.0,1,Yes,No,0
276,1917,34,Private Sector/Self Employed,No,1300000,4.0,0,No,No,1
277,1279,29,Private Sector/Self Employed,Yes,1200000,5.0,0,Yes,No,1
278,1145,28,Private Sector/Self Employed,Yes,500000,5.0,0,No,No,0
279,807,27,Government Sector,Yes,1050000,3.0,0,Yes,No,1
280,1339,34,Private Sector/Self Employed,Yes,1500000,5.0,0,Yes,Yes,1
281,404,33,Government Sector,Yes,650000,5.0,1,No,No,1
282,1797,28,Private Sector/Self Employed,Yes,800000,3.0,1,No,No,0
283,1263,28,Government Sector,Yes,600000,7.0,1,No,No,0
284,1936,33,Private Sector/Self Employed,Yes,1500000,7.0,0,Yes,Yes,1
285,862,28,Government Sector,Yes,300000,3.0,1,No,No,0
286,113,29,Private Sector/Self Employed,Yes,900000,4.0,0,Yes,No,0
287,1722,34,Private Sector/Self Employed,Yes,1500000,3.0,1,Yes,Yes,1
288,877,26,Private Sector/Self Employed,Yes,1400000,3.0,0,No,Yes,1
289,928,26,Private Sector/Self Employed,Yes,450000,7.0,0,No,No,1
290,227,34,Private Sector/Self Employed,Yes,1300000,6.0,1,No,No,0
291,63,27,Government Sector,Yes,500000,2.0,0,No,No,0
292,600,34,Private Sector/Self Employed,Yes,1500000,4.0,1,Yes,Yes,1
293,58,33,Private Sector/Self Employed,Yes,1400000,6.0,0,Yes,Yes,1
294,1405,28,Government Sector,Yes,600000,8.0,0,No,No,0
295,1103,34,Private Sector/Self Employed,Yes,1050000,5.0,1,No,No,0
296,370,31,Government Sector,Yes,1300000,6.0,0,No,No,1
297,1816,34,Private Sector/Self Employed,Yes,1000000,3.0,0,Yes,No,0
298,1097,28,Government Sector,Yes,600000,8.0,0,Yes,No,0
299,850,32,Government Sector,Yes,850000,4.0,0,Yes,No,0
300,748,28,Private Sector/Self Employed,Yes,650000,5.0,0,No,Yes,0
301,737,28,Private Sector/Self Employed,Yes,700000,4.0,1,No,No,1
302,1109,25,Private Sector/Self Employed,Yes,1400000,4.0,1,Yes,Yes,1
303,1767,35,Private Sector/Self Employed,No,800000,4.0,0,No,No,1
304,1786,31,Private Sector/Self Employed,Yes,950000,4.0,0,No,No,0
305,325,31,Private Sector/Self Employed,Yes,1250000,4.0,0,No,No,0
