,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
0,464357,Male,No,40,Yes,Artist,7.0,Low,1.0,Cat_6,A
1,459624,Male,No,18,No,Healthcare,2.6852106227106227,Low,5.0,Cat_4,D
2,462672,Male,No,25,No,Healthcare,7.0,Low,4.0,Cat_4,D
3,463360,Female,Yes,46,Yes,Artist,2.0,Low,1.0,Cat_6,B
4,462420,Male,No,27,Yes,Healthcare,1.0,Low,3.0,Cat_6,C
5,459229,Female,Yes,65,Yes,Lawyer,0.0,Average,4.0,Cat_6,B
6,462334,Male,No,47,Yes,Artist,9.0,Low,2.0,Cat_6,B
7,467158,Female,No,25,No,Healthcare,0.0,Low,2.8381317978246963,Cat_6,D
8,459242,Male,Yes,65,Yes,Executive,0.0,Low,4.0,Cat_6,B
9,466699,Female,Yes,40,Yes,Artist,8.0,Low,1.0,Cat_6,B
10,464592,Female,No,43,Yes,Artist,1.0,Low,1.0,Cat_6,A
11,464893,Male,Yes,43,Yes,Artist,0.0,Low,2.0,Cat_4,B
12,462169,Female,Yes,40,Yes,Artist,1.0,High,3.0,Cat_6,B
13,462678,Female,Yes,45,Yes,Artist,3.0,Average,3.0,Cat_6,B
14,459827,Female,No,33,No,Artist,2.6852106227106227,Low,1.0,Cat_7,C
15,465644,Male,No,33,Yes,Healthcare,0.0,Low,5.0,Cat_6,A
16,465659,Female,No,55,Yes,Doctor,3.0,Low,2.8381317978246963,Cat_3,C
17,462726,Female,Yes,75,Yes,Homemaker,1.0,High,2.8381317978246963,Cat_6,B
18,464619,Male,Yes,27,Yes,Entertainment,10.0,Low,2.0,Cat_6,B
19,461407,Female,No,32,Yes,Marketing,8.0,Low,6.0,Cat_1,A
20,461132,Male,Yes,68,Yes,Artist,2.0,Low,1.0,Cat_6,B
21,466382,Female,Yes,52,Yes,Engineer,4.0,High,2.0,Cat_4,B
22,466422,Male,Yes,27,No,Doctor,0.0,Low,4.0,Cat_4,B
23,462019,Female,Yes,56,Yes,Artist,5.0,Average,4.0,Cat_6,C
24,467639,Male,Yes,50,Yes,Entertainment,0.0,Average,4.0,Cat_6,B
25,464583,Female,No,37,Yes,Engineer,7.0,Low,2.8381317978246963,Cat_6,A
26,466695,Female,Yes,31,Yes,Entertainment,1.0,Low,1.0,Cat_6,A
27,463164,Male,Yes,35,Yes,Artist,8.0,Average,2.0,Cat_6,C
28,467038,Male,Yes,61,Yes,Lawyer,1.0,High,2.0,Cat_6,C
29,466120,Female,Yes,37,No,Marketing,0.0,Low,4.0,Cat_6,D
30,464864,Female,No,30,No,Engineer,10.0,Low,8.0,Cat_4,D
31,466596,Female,Yes,75,Yes,Artist,1.0,High,2.0,Cat_6,C
32,460023,Male,Yes,45,Yes,Entertainment,1.0,Low,1.0,Cat_6,D
33,460674,Female,No,31,Yes,Entertainment,0.0,Low,3.0,Cat_3,A
34,466683,Female,Yes,49,No,Artist,1.0,Average,4.0,Cat_3,C
35,464985,Female,Yes,66,Yes,Lawyer,1.0,High,3.0,Cat_6,C
36,464765,Female,Yes,48,No,Engineer,5.0,Average,6.0,Cat_4,D
37,466530,Male,No,19,No,Healthcare,1.0,Low,4.0,Cat_6,B
38,462966,Male,Yes,43,Yes,Artist,2.0,Average,3.0,Cat_6,A
39,467870,Male,No,27,Yes,Entertainment,0.0,Low,5.0,Cat_6,B
40,465463,Female,No,28,No,Doctor,2.6852106227106227,Low,5.0,Cat_2,A
41,460629,Female,Yes,36,Yes,Entertainment,2.6852106227106227,Average,3.0,Cat_3,B
42,465355,Female,Yes,47,Yes,Artist,7.0,Average,2.0,Cat_6,C
43,464115,Female,No,38,Yes,Engineer,0.0,Low,3.0,Cat_6,C
44,461518,Female,Yes,45,Yes,Artist,1.0,Average,4.0,Cat_3,C
45,462256,Female,Yes,59,Yes,Homemaker,0.0,Average,4.0,Cat_6,B
46,465758,Female,Yes,37,No,Engineer,7.0,Low,1.0,Cat_4,D
47,462619,Male,Yes,61,No,Artist,0.0,High,2.8381317978246963,Cat_4,A
48,459866,Female,No,51,Yes,Artist,2.6852106227106227,Low,1.0,Cat_6,B
49,463281,Male,Yes,25,No,Entertainment,3.0,Average,2.0,Cat_3,D
50,463243,Male,No,19,No,Healthcare,0.0,Low,3.0,Cat_6,D
