ID,연월,업종명,이용자구분,성별,이용자수,이용건수,이용금액
ID_5020,202201,여관업,법인,알수없음,7693,12105.0,3049.021809
ID_5021,202201,여관업,제주도민,남성,3990,4291.0,294.163241
ID_5022,202201,여관업,제주도민,여성,1495,1620.0,119.277191
ID_5023,202201,전시 및 행사 대행업,내국인,남성,16299,18588.0,432.93322
ID_5024,202201,전시 및 행사 대행업,내국인,여성,17350,19922.0,396.31652
ID_5025,202201,전시 및 행사 대행업,법인,알수없음,3424,4177.0,181.0538
ID_5026,202201,전시 및 행사 대행업,제주도민,남성,2128,2623.0,81.16263
ID_5027,202201,전시 및 행사 대행업,제주도민,여성,2059,2555.0,64.05191
ID_5028,202201,체인화 편의점,내국인,남성,171125,193270.0,1885.707089
ID_5029,202201,체인화 편의점,내국인,여성,108325,119505.0,1127.98502
ID_5030,202201,체인화 편의점,법인,알수없음,65914,75659.0,1003.96848
ID_5031,202201,체인화 편의점,제주도민,남성,335296,395800.0,3456.523305
ID_5032,202201,체인화 편의점,제주도민,여성,149953,173409.0,1586.128254
ID_5033,202201,체인화 편의점,중국,알수없음,48,52.0,1.59058
ID_5034,202201,"피자, 햄버거, 샌드위치 및 유사 음식점업",기타외국,알수없음,23,24.0,0.4147
ID_5035,202201,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,남성,17323,18622.0,259.69949
ID_5036,202201,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,여성,14639,15824.0,210.862414
ID_5037,202201,"피자, 햄버거, 샌드위치 및 유사 음식점업",법인,알수없음,11589,12773.0,380.95447
ID_5038,202201,"피자, 햄버거, 샌드위치 및 유사 음식점업",제주도민,남성,33733,36995.0,476.957315
ID_5039,202201,"피자, 햄버거, 샌드위치 및 유사 음식점업",제주도민,여성,28175,30629.0,380.62969
ID_5040,202201,한식 음식점업,기타외국,알수없음,64,68.0,3.0621
ID_5041,202201,한식 음식점업,내국인,남성,155578,163101.0,7250.631208
ID_5042,202201,한식 음식점업,내국인,여성,123933,129858.0,5208.463383
