C1,C2,C3,C4,Date,Weekday,Temperature,Humidity,Wind_Speed,Precipitation,Pressure,Visibility,Y
X_2,Y_0,Z_3,W_2,2023-03-27,0,10.53331474075095,88.10160505928975,13.632210648394713,7.814898845155856,1046.992484463822,6.100291534072265,27
X_0,Y_3,Z_2,W_9,2023-10-12,3,-1.6980455276021011,42.81103885771532,6.1653660099808905,1.1396490702090478,985.7662755098208,5.720027306687637,-5
X_0,Y_4,Z_3,W_5,2023-03-01,2,6.705572051335377,30.026275504162577,12.749443174377651,2.134840357888721,961.23107290723,1.8150050089962837,11
X_2,Y_4,Z_6,W_5,2023-02-23,3,13.50094632050978,70.672815234165,3.738548167932251,5.520961595425984,972.2537327116432,9.343229434806076,58
X_2,Y_3,Z_2,W_3,2023-04-03,0,-7.600114457263496,33.941831419522465,4.697525326241213,4.399400082173093,1017.066734598719,6.330297733312928,4
X_2,Y_1,Z_6,W_10,2023-11-21,1,22.16916848048233,74.51202881050638,0.8883509575874488,17.47971240297671,967.2933369958332,3.3759257247879155,93
X_1,Y_1,Z_2,W_9,2023-09-22,4,14.448201216698386,52.71637843183395,3.866515382783609,19.72716360778519,1028.0122273060988,7.186763713550686,73
X_1,Y_4,Z_3,W_2,2023-08-01,1,27.303155774480302,73.5141820187963,7.354707284449521,16.333473246636046,1042.3030239874713,3.861171917819986,84
X_2,Y_4,Z_1,W_0,2023-11-29,2,2.230122553603876,32.07039037736084,14.192053765848634,14.596978054983769,1046.3651515078848,5.552704240969833,-11
X_1,Y_3,Z_3,W_11,2023-01-10,1,30.64944973711645,50.64218524430567,5.833544608372473,11.772482798546283,950.932550597489,4.070185939530846,86
X_1,Y_1,Z_6,W_6,2023-12-24,6,34.94124138636995,55.12190348817456,9.596158192250188,15.398165983597456,1045.8154164954417,8.923546238839236,100
X_0,Y_4,Z_3,W_4,2023-07-22,5,31.368429726995352,85.44864541761056,6.415651762031819,18.94066624384781,1024.0194419129618,9.945825260814372,110
X_2,Y_1,Z_2,W_9,2023-07-15,5,25.005161412491937,31.32780614643338,0.7018777615191185,12.02689339814162,958.4050232263802,2.4506385879510884,62
X_2,Y_4,Z_0,W_6,2023-02-27,0,26.55659612932013,84.93505914279157,7.55298938845054,3.092264880396678,991.5240468778726,1.2122105550093718,91
X_1,Y_0,Z_2,W_0,2023-09-13,2,15.818490914506391,74.38871323725726,0.9887047005588128,3.2771663453743938,1020.0045474579508,2.9739025628383824,59
X_2,Y_2,Z_4,W_7,2023-08-11,4,-1.443076168932528,68.47152432693562,13.25549886896304,11.677256062571724,1045.668549266105,6.309567847878521,15
X_0,Y_0,Z_3,W_2,2023-06-29,3,20.46683083164728,72.94962153481,11.29555442926371,6.669370795696157,966.4141393611392,2.5655602561977977,45
X_0,Y_4,Z_5,W_6,2023-12-28,3,22.07388509269692,58.43400367040456,5.679772068785493,18.204947504899387,962.7733281926954,8.30335982145538,71
X_0,Y_2,Z_3,W_11,2023-02-04,5,34.342331312055755,29.526400836998867,9.603279992869346,12.232846676719449,997.234705326188,4.678035191149982,72
X_2,Y_2,Z_1,W_2,2023-12-25,0,14.358559231534482,25.159597507188217,1.6804223296999816,13.529852268467206,1046.8098893738488,6.494794666427166,65
X_2,Y_4,Z_6,W_2,2023-04-13,3,2.2116056761275384,79.30731486803124,10.538324804439762,0.1164142020180514,1047.137921525801,5.10056057460573,7
X_2,Y_4,Z_5,W_9,2023-06-10,5,20.76526347827781,68.01115220766665,12.340986134872042,9.97697104125246,972.791474105291,9.12995129457058,57
X_2,Y_1,Z_2,W_8,2023-07-19,2,34.071911884990456,27.056342620875924,12.326184728073518,8.623294427778234,981.9347147971456,1.3162180335605,39
X_2,Y_4,Z_1,W_1,2023-06-09,4,-2.02537412789077,59.20746926995213,4.264163215359837,14.11743713535066,1040.8031985644654,7.563717060909397,36
X_0,Y_3,Z_3,W_3,2023-07-02,6,4.669906334102119,45.80371851313791,3.9561929291524,7.652773206667314,1023.4841490852064,6.8695492000678,15
X_1,Y_4,Z_2,W_5,2023-12-19,1,14.384642919770648,22.692413597047512,7.8209653185401775,19.53150063774325,1047.2316428657618,6.845635278871839,44
X_0,Y_3,Z_2,W_2,2023-05-16,1,-2.340341430309783,52.548568748573146,14.516582428947723,13.404063631128036,1039.3148363015555,4.725904537343846,-6
X_2,Y_4,Z_4,W_11,2023-08-14,0,-9.000071221602774,32.52152739731338,13.80784466409128,13.198366662851788,971.5096050313743,1.141077056283078,-42
X_0,Y_1,Z_4,W_9,2023-08-31,3,5.164240509856278,17.699529932605724,5.394577226339727,18.386822895159654,1025.9726859412683,7.203166497711621,12
X_2,Y_3,Z_0,W_9,2023-04-16,6,28.94168606754761,47.35666388363286,11.697442592745665,19.904096677966912,954.8565231560116,8.46524091527428,83
X_2,Y_0,Z_4,W_6,2023-03-12,6,-8.043922030432833,57.20868416748495,13.81976646137186,3.9564137852422654,1031.7832778741474,1.767072798886133,-31
X_0,Y_3,Z_6,W_6,2023-03-18,5,9.301807655761287,13.75251283049204,3.913896985764076,16.210662864294562,1010.1556762444608,4.974557538195718,35
X_2,Y_1,Z_5,W_4,2023-02-23,3,24.29903478167371,42.16741995287975,12.454434744044097,3.24638990644055,1045.6100962636465,2.463353685523488,38
X_1,Y_3,Z_2,W_2,2023-10-04,2,32.89321686098984,30.61295358693482,4.018434403637649,9.140869061084198,1046.003245546908,6.498440077866475,52
X_2,Y_4,Z_4,W_1,2023-04-21,4,34.34639295519945,12.452047256578592,5.14923188830816,2.003708086649403,955.0815109024356,8.07044388723133,54
X_1,Y_4,Z_0,W_3,2023-08-12,5,8.988622127393377,20.053003968920464,2.982310362761313,12.467419569343296,966.0521485555768,7.000359084346657,46
X_1,Y_1,Z_3,W_3,2023-03-16,3,32.76729324706029,21.12273270547021,7.606196986090702,9.3703632681015,998.4207047318693,3.86254063437297,91
X_2,Y_2,Z_5,W_10,2023-01-14,5,-8.406146202361132,24.62993984943769,12.649663413918615,12.5739789665143,1037.949352494615,2.2575943254914543,-34
