ID,model,year,transmission,mileage,fuelType,tax(£),mpg,engineSize
0, I30,2019,Manual,21,Petrol,150,34.0,2.0
1, Santa Fe,2018,Semi-Auto,10500,Diesel,145,39.8,2.2
2, Tucson,2017,Manual,29968,Diesel,30,61.7,1.7
3, Kona,2018,Manual,27317,Petrol,145,52.3,1.0
4, Tucson,2018,Semi-Auto,31459,Diesel,145,57.7,1.7
5, Ioniq,2019,Automatic,6621,Hybrid,135,78.5,1.6
6, Santa Fe,2016,Semi-Auto,34999,Diesel,235,42.8,2.2
7, Tucson,2016,Automatic,40500,Diesel,235,43.5,2.0
8, Tucson,2017,Manual,34476,Diesel,30,61.7,1.7
9, Tucson,2016,Manual,80000,Diesel,30,61.7,1.7
10, Tucson,2019,Semi-Auto,10616,Petrol,145,36.2,1.6
11, I10,2017,Manual,14620,Petrol,145,57.7,1.2
12, I20,2016,Manual,20934,Petrol,30,56.5,1.2
13, Tucson,2018,Manual,9046,Petrol,145,44.8,1.6
14, I30,2017,Semi-Auto,17845,Petrol,145,51.4,1.4
15, I40,2015,Manual,58915,Diesel,30,65.7,1.7
16, Santa Fe,2018,Manual,7781,Diesel,145,47.1,2.2
17, I30,2019,Manual,50,Petrol,145,34.0,2.0
18, I10,2020,Manual,101,Petrol,145,56.5,1.0
19, Kona,2019,Manual,10338,Petrol,145,44.8,1.0
20, I40,2016,Manual,17809,Diesel,30,65.7,1.7
22, I10,2017,Manual,3379,Petrol,20,60.1,1.0
23, Kona,2019,Manual,20490,Petrol,150,44.1,1.0
24, Tucson,2019,Manual,4425,Petrol,150,34.9,1.6
25, Kona,2019,Semi-Auto,2135,Petrol,150,34.0,1.6
26, Tucson,2017,Manual,25198,Diesel,150,61.7,1.7
27, Tucson,2016,Manual,13185,Diesel,30,61.7,1.7
29, Santa Fe,2011,Manual,130000,Diesel,265,41.5,2.2
30, I10,2018,Manual,9683,Petrol,150,60.1,1.0
31, Kona,2019,Manual,10961,Petrol,145,44.1,1.0
32, Santa Fe,2019,Semi-Auto,2265,Diesel,145,39.2,2.2
34, I30,2018,Manual,22102,Petrol,150,52.3,1.4
35, I20,2016,Manual,21010,Petrol,125,51.4,1.4
