기업ID,사원ID,성별,년도,기본급,성과급
ID_7,cc206f1ac3c34e2e,여성,2022,3971,1708
ID_5,0c764af55f1b4737,남성,2025,6594,1985
ID_8,09d09637b617405d,여성,2020,3413,1839
ID_10,18588ac04b8d4da1,남성,2022,4039,741
ID_9,2a3a7b4e92d54f24,여성,2021,5458,1122
ID_10,e0904b08a7d245bf,남성,2023,4200,500
ID_10,edbf63229c93439b,여성,2021,3985,505
ID_9,e0d8709d38de4cc1,여성,2023,5726,1545
ID_10,051a6d15ae0443b6,남성,2021,4038,500
ID_3,56691f0eca5d4e2f,남성,2022,5002,869
ID_5,6f1f46c5adfd4401,남성,2022,6300,2000
ID_2,48056917843642ff,남성,2019,4733,715
ID_8,7d0e63b2a6c24b33,여성,2019,3300,1242
ID_10,64db7055d03142e8,여성,2019,3752,500
ID_10,87ba79fa2564498d,남성,2022,4170,897
ID_4,4c2001aac0234613,남성,2025,3972,1716
ID_4,0879c9d6657046d4,남성,2019,3252,2000
ID_2,0cad290b213d4dfd,남성,2020,4953,500
ID_10,8b912b138ba04132,남성,2023,4218,839
ID_9,f9eb47b1800e4d1f,남성,2019,5058,1545
ID_2,fa1af7f6ade04bb0,여성,2023,5318,613
ID_7,6c4b2a48dc6a4c73,여성,2021,3873,1282
ID_4,a334ee0420054b90,남성,2021,3454,2000
ID_1,4372084a74d5451d,여성,2022,4480,1241
ID_2,aed4d8af3d3d4b29,남성,2020,4902,685
ID_10,1f3fc3cda2ae4f86,여성,2020,3809,602
ID_7,9b2e8c96d1c64466,여성,2019,3582,1627
ID_4,4b7a01ce8da64653,여성,2020,3273,1859
ID_10,5a176ffbb4bc486d,남성,2019,3789,585
ID_9,3ab93d7a15f14d4e,남성,2022,5486,1784
ID_4,ed8b709b70c349b3,여성,2025,3931,1974
ID_6,842aeea4af644653,남성,2022,3370,662
ID_9,4e3fbb8858ee4cef,여성,2019,5010,2000
ID_7,a12b559d64294300,남성,2018,3474,1610
ID_9,6fe6f0b44236429a,남성,2021,5332,1632
ID_10,1d4d7dc00ff9409c,여성,2022,4054,514
ID_4,ed8b709b70c349b3,여성,2021,3451,2000
ID_3,bb703c421a0a4dea,여성,2023,5352,562
ID_9,0ed868209712452d,여성,2018,4899,2000
ID_4,d5aead2031fb4b07,남성,2019,3251,1441
ID_3,3639204f6e1f4f17,남성,2019,4634,755
ID_2,395c193b9fea40f8,남성,2019,4734,568
ID_1,bd7e75c38be34ffe,남성,2020,4057,1659
ID_4,346811bed8de460e,여성,2023,3726,1576
ID_10,a0fd9c00c9704652,남성,2019,3788,608
ID_9,5033eb7232c74cc0,남성,2019,5042,1962
ID_8,783e25a3b85d4c49,여성,2018,3189,1434
ID_5,5a306242a4a94b2c,남성,2020,5776,1948
ID_2,1d98a6b435984c3d,남성,2025,5493,529
ID_5,3d49ee0cacbf4212,여성,2024,6268,1739
ID_3,0d93fd7c12094fb8,남성,2018,4482,500
ID_10,46ef5be90b2d4313,여성,2022,4050,1036
ID_10,07726d86d1034dfb,남성,2023,4059,500
ID_10,035c7e934a4e4432,남성,2022,4090,636
ID_10,e0904b08a7d245bf,남성,2024,4320,699
ID_10,eb52fe6dde23431d,여성,2023,4330,594
ID_9,568a699ebcff4144,여성,2022,5377,1896
ID_1,3ed8629797e04be4,남성,2021,4321,1741
ID_3,f80a185e235742d8,남성,2025,5270,647
ID_2,76f3826b2bd44340,남성,2022,5196,500
ID_2,417a9a28f7c641a0,여성,2019,4759,555
ID_6,fd481ef8526b4741,남성,2023,3624,739
ID_5,f002fb4f39d94ee1,여성,2023,6598,1478
ID_10,fa0365ad6a564642,남성,2023,4072,500
ID_9,e5d6d884c03140c3,남성,2020,5232,1944
ID_9,45f9ccfe0a594566,여성,2021,5302,1794
ID_4,8537f16723b744cb,남성,2020,3298,1634
ID_9,d922a4da4ee64cc3,남성,2018,4899,1994
ID_3,fb67278594a24760,남성,2020,4807,740
ID_9,d02c12ff75d14c55,여성,2023,5414,1924
ID_5,1886dc64ef824690,남성,2025,6992,1837
ID_2,1fe5c98c392d42ae,남성,2023,5276,692
ID_8,2a9cef621b244596,남성,2023,3567,1369
ID_3,e0ff19f9c8b349ff,여성,2023,5250,512
ID_4,74aeca4139b14db1,여성,2021,3432,1567
ID_4,5293f1fa571e47c2,여성,2018,3130,2000
ID_1,bacf3a08958449c6,여성,2024,4419,1725
ID_1,85fc622b2f654508,남성,2020,4167,1816
ID_8,783e25a3b85d4c49,여성,2019,3279,1374
ID_1,9928b92590b24a83,남성,2021,4150,1813
ID_8,29b13c9620e5420d,남성,2025,3903,1869
ID_4,679ce7d6e1cd4833,여성,2018,3130,1984
ID_5,0ca314bf7df2451b,여성,2022,6013,1893
ID_1,d7f03516c2be4748,남성,2021,4302,1870
ID_10,cb811ffff51c497c,남성,2020,3869,500
ID_5,de1b6252d8e64381,남성,2023,6584,1443
ID_1,87c52c9c8e584f82,여성,2024,4633,1677
ID_1,21e501c6b1374675,남성,2022,4464,1539
ID_2,4d450b7eb2f74c08,여성,2021,5207,728
