사원ID,부서,성과등급,근속연수,교육참가횟수,평균만족도
bc614i291w,YD,S,20.0,16,3.0
r3mo07nkph,YA,C,19.0,15,0.6
09eletgw7j,YE,B,11.0,8,0.3
mbgotr1rla,YB,A,8.0,6,2.1
zi5yoj1iy6,YD,B,10.0,12,2.9
v7u03ezt80,YG,A,,3,
8bl6xhnfcr,XZ,C,20.0,13,2.9
k8hvczkkzf,YD,C,6.0,7,2.6
p5j9qxpdzf,YE,S,20.0,29,3.4
r6gygzz3th,YB,A,2.0,1,3.2
03phdxfz64,YA,B,16.0,14,2.1
vfdg0hqyjo,YE,C,17.0,24,2.1
uyi34v5gmg,YE,B,8.0,7,0.7
n8ka1fp1b8,XZ,S,13.0,16,2.6
397mpmmhm5,YC,A,9.0,6,2.9
3kpn1t26bo,YB,A,6.0,5,2.4
wingyrprgb,XY,C,11.0,7,1.6
wigqifrysn,YE,A,6.0,6,3.6
hrt6sbz4nw,YC,C,18.0,9,0.4
8z45ysxa08,XY,S,6.0,6,4.6
k0o4szqob3,YB,A,16.0,21,0.1
8sc5ksietd,XX,C,14.0,7,4.8
kxf5630few,YG,B,2.0,2,2.3
4lhdsfmg7h,YC,C,12.0,18,2.1
wq2agodshe,YF,A,2.0,1,1.3
wta4lmuf36,XX,S,12.0,13,0.1
x3bhr69u9w,YG,A,,23,1.4
abjkvv6nik,XZ,A,19.0,25,
7o3aiaubge,YD,C,17.0,19,3.3
lugop38417,YA,B,14.0,20,1.6
oivfx4d9jv,YF,A,8.0,9,
pzin39f02l,XZ,B,2.0,3,1.0
4pjr1m2o3n,YB,C,,21,4.5
dc4jfsg84r,XZ,B,2.0,2,2.6
f4fcgiw8hu,YD,C,,12,0.6
ewt9c3ow4j,YB,S,7.0,5,2.0
rud84i2230,YF,B,3.0,2,
10vgmdq7bb,YD,B,18.0,27,1.0
vhrknqn8dc,XY,S,7.0,7,2.5
1dln1xycab,YA,B,15.0,19,3.4
pqihijcolg,YF,S,19.0,26,4.6
80u1y4st8j,XY,A,7.0,5,2.5
s9lt6mb8ld,YG,C,11.0,16,4.8
856cqy9hyd,YF,S,19.0,14,4.7
7n02np9bk8,YG,B,10.0,13,
tfwbq0frtu,YB,S,9.0,6,2.5
9vmndyove7,XY,B,11.0,15,0.7
42u8kgyh8n,YA,A,18.0,14,1.1
ld9rbdepeg,YD,S,7.0,8,3.2
9xqlsumzs8,YE,A,15.0,9,2.1
4ylevcsa8r,XZ,C,7.0,5,0.7
bdwhyfyecc,XX,B,8.0,7,2.4
eduoe58nkq,YA,B,13.0,14,0.1
qotv9r0tnx,XY,A,4.0,4,3.7
mbs0qxhjtj,YE,C,15.0,19,0.4
qiuzu5peaa,YA,S,20.0,26,3.1
ntn0ycwe0m,XY,S,17.0,24,4.0
7bgprdbm0l,YC,B,8.0,10,0.7
tdmmm7m2me,YC,A,,6,2.6
tcxsq6eddf,YG,A,19.0,22,3.9
duan5qynts,YA,S,14.0,17,
y5q5dqo2to,YC,C,10.0,11,0.8
vhoqrrts47,XY,C,11.0,13,1.7
dmfq676lxa,YG,S,10.0,7,2.8
g3twft8myc,XY,S,16.0,10,2.9
uhdyprzv4g,YG,A,3.0,2,0.7
yizubilnp6,YA,C,14.0,16,2.3
fvp65c9yh9,YE,S,3.0,1,1.3
al5ogsldmt,YD,S,20.0,18,4.2
xbr7qxn5nn,YF,B,3.0,2,1.6
ceb22be7nv,YE,S,4.0,4,4.2
pzuitwdkr9,YB,S,7.0,7,2.1
rzykr37hjg,XY,C,4.0,2,3.6
jng6yslrwt,YB,A,11.0,15,2.6
aozq97owqr,YE,C,7.0,7,3.1
bfzfpf8id2,YG,A,17.0,9,2.0
reqrkem2ia,YF,B,18.0,23,3.8
6bdq7x6baa,YF,S,20.0,18,2.1
qn0pmz9pth,XX,B,4.0,4,2.3
8jvbgxu951,YF,A,19.0,18,2.6
ck3h2wold9,YD,C,8.0,7,4.2
c763pflxdf,YF,C,10.0,14,3.3
k13132xslt,YE,B,13.0,16,1.7
30vsai7pzq,XX,A,6.0,8,3.4
bttbhuqz79,YE,B,4.0,6,3.2
ysljh3mum9,YE,B,12.0,12,4.7
cfxpdbuz96,XZ,S,5.0,5,4.2
hh8e05savp,XX,B,6.0,9,3.2
i2yxkvu9l2,YE,S,2.0,2,1.7
7naewoxw91,XZ,S,19.0,17,3.9
gj4gs0dd2c,XZ,C,13.0,8,2.9
8alx8pt00j,XX,S,14.0,14,4.9
erce09l0mq,YB,S,10.0,11,1.2
2yo22wf6qe,YG,C,3.0,4,0.4
cs109hnx9n,YD,B,6.0,4,0.3
ptsytrap93,YG,A,14.0,19,3.2
ks2c2ak2tj,YF,A,17.0,14,
ezhno5x169,YD,A,17.0,17,0.0
ic5d1193qv,YF,B,4.0,2,3.6
tr5yo984r3,YE,S,5.0,5,3.3
tli0wcv0f3,XY,A,12.0,15,3.7
ml3fbpfy18,XX,B,15.0,9,1.8
ipdmkc33wn,YD,S,4.0,3,4.1
6lefn4t42b,YD,C,17.0,19,0.2
3auwlrvvkl,YE,A,16.0,22,3.8
dspk1ckym3,YB,S,11.0,12,1.3
8xgdylm43d,XZ,A,10.0,8,2.4
mp57ra4kpr,YE,A,12.0,11,4.1
c3mii9ag2o,YC,A,17.0,17,1.4
dqeau62opq,XZ,S,11.0,6,0.9
hgr6hvabk7,XX,B,18.0,21,3.4
7vdb639f3j,XZ,S,20.0,16,2.7
757fi6rl8l,YB,A,3.0,4,2.6
0j644hr70s,XZ,S,3.0,3,1.3
u7mqcszj92,XX,C,7.0,10,0.2
4n8qy515cs,YB,B,20.0,20,
fwrzjkrvy7,YG,S,9.0,13,0.5
xi0hyjsp04,YD,C,,5,4.5
lqi93yshy5,YD,B,15.0,7,0.2
xf4e93q2ol,YF,C,17.0,23,2.2
wrwkm3kew2,YG,B,2.0,3,0.3
u0ild0ktdb,YG,S,4.0,4,0.5
m60jg7rjwz,XZ,C,19.0,19,3.3
feaea8d82c,YD,A,10.0,11,3.2
ngmlzzcngt,XX,C,7.0,5,0.2
y6q6wl81i1,YA,B,2.0,1,0.0
ohpygaqcwx,YA,S,11.0,7,0.4
lo70gapq16,YB,B,7.0,3,3.8
meti7t0hdl,YD,C,13.0,15,2.9
4xqdgs1aay,YD,C,5.0,2,0.2
6pr97yreis,YA,A,14.0,18,2.4
s6zqllakg2,YD,S,18.0,21,3.6
1ewq27pydb,XZ,S,9.0,10,4.3
9w7gf8m6gj,YC,C,4.0,2,4.7
xwaotzr6qx,XY,S,13.0,6,1.6
fbnxc53t91,YG,A,8.0,7,0.7
me6p6a9wyg,YF,B,13.0,12,1.2
84why6mu29,YB,S,3.0,2,3.9
ao9jedlbre,YC,C,15.0,17,4.9
uktgum00vn,YA,B,6.0,9,2.3
ar810vb47l,YG,B,10.0,15,1.5
5qoy3mvmti,YD,A,12.0,13,2.1
r9cswj07no,YF,C,6.0,4,1.5
