지역,작물명,작물_분류,작업_상위_분류,등급,연속_작업_여부,작업_연도,작업_소요_일수,작업_순서,재배면적,작업_시작_일자,평균_기온,작업자_수,작업_유형
충청,벼,곡물,수확,B,예,2019,16.0,4,43339.45,2023-11-03,17.9,3,1
전라,벼,곡물,방제,C,예,2020,28.0,1,96435.53,2023-07-29,15.24,5,0
충청,감자,곡물,비료,B,예,2019,10.0,2,32657.19,2023-05-04,12.6,4,0
서울경기,콩,과일,수확,A,아니오,2018,21.0,1,23939.19,2023-04-04,14.32,10,0
서울경기,고구마,곡물,경작,A,아니오,2024,21.0,1,88594.63,2023-07-23,24.77,10,0
서울경기,콩,곡물,경작,B,아니오,2019,26.0,3,84061.8,2023-04-10,18.86,7,0
전라,밀,채소,수확,A,예,2021,6.0,1,9396.75,2023-07-17,12.54,2,2
경상,벼,채소,방제,B,예,2019,5.0,2,6745.34,2023-07-10,21.01,1,2
서울경기,고구마,곡물,수확,A,예,2021,22.0,4,47125.53,2023-10-14,19.9,6,1
서울경기,고구마,곡물,경작,A,예,2018,14.0,1,47611.85,2023-07-25,12.52,7,0
서울경기,벼,채소,비료,A,아니오,2020,25.0,3,52845.63,2023-06-11,13.15,11,0
서울경기,감자,곡물,경작,C,예,2024,18.0,3,83210.13,2023-05-12,20.46,13,0
경상,감자,채소,비료,C,예,2020,14.0,3,20643.58,2023-08-18,18.29,6,2
서울경기,감자,과일,비료,B,예,2022,19.0,2,86624.91,2023-08-22,20.82,4,0
경상,고구마,곡물,수확,B,예,2021,17.0,3,48648.03,2023-09-03,24.98,3,1
강원,밀,채소,방제,C,아니오,2023,24.0,3,68911.96,2023-07-11,22.25,7,0
충청,밀,곡물,비료,A,아니오,2022,23.0,1,55873.25,2023-02-02,22.63,19,0
서울경기,벼,곡물,경작,C,아니오,2019,23.0,1,12660.47,2023-03-06,17.41,15,0
강원,고구마,채소,방제,A,아니오,2018,5.0,2,28526.97,2023-02-06,10.74,11,2
서울경기,콩,과일,비료,A,아니오,2024,15.0,2,71696.26,2023-06-05,16.01,14,0
충청,밀,채소,경작,C,아니오,2024,20.0,2,69512.42,2023-08-18,14.18,6,0
강원,감자,과일,방제,B,아니오,2018,1.0,3,29719.55,2023-03-22,14.78,6,2
서울경기,콩,곡물,방제,B,예,2020,23.0,3,94651.58,2023-03-26,24.67,4,0
강원,밀,곡물,경작,C,예,2022,18.0,3,99678.07,2023-02-24,24.16,19,0
충청,벼,곡물,경작,B,아니오,2023,8.0,3,68866.97,2023-09-06,20.84,14,1
전라,벼,채소,방제,B,예,2020,14.0,2,47577.5,2023-07-21,16.37,9,0
강원,벼,과일,경작,B,아니오,2022,27.0,1,70843.8,2023-07-07,18.76,15,0
충청,감자,과일,비료,B,예,2018,16.0,3,19318.99,2023-06-18,18.45,18,0
경상,벼,곡물,비료,B,아니오,2021,14.0,3,54261.68,2023-08-05,13.85,19,0
서울경기,벼,채소,경작,B,아니오,2020,21.0,1,34547.43,2023-05-12,14.1,9,0
전라,벼,곡물,경작,B,예,2023,8.0,2,54800.21,2023-05-27,20.49,15,0
강원,밀,채소,방제,C,아니오,2020,11.0,3,24604.32,2023-07-06,21.53,5,2
서울경기,감자,채소,경작,B,아니오,2019,18.0,3,31993.1,2023-09-05,17.18,2,1
충청,벼,채소,비료,C,아니오,2019,28.0,3,94415.19,2023-06-18,20.79,8,0
경상,벼,채소,경작,C,아니오,2019,23.0,2,28461.26,2023-07-12,19.32,5,0
서울경기,밀,곡물,경작,B,예,2018,28.0,1,78496.76,2023-03-05,18.94,3,0
경상,콩,채소,경작,C,예,2021,3.0,3,13591.44,2023-10-23,21.65,8,2
강원,밀,곡물,경작,C,예,2021,22.0,1,78878.66,2023-03-19,20.98,18,0
충청,콩,채소,방제,B,아니오,2021,18.0,2,60073.0,2023-08-18,28.14,12,1
강원,감자,곡물,경작,A,아니오,2019,16.0,1,7474.31,2023-10-21,11.85,2,2
서울경기,감자,곡물,비료,B,예,2024,18.0,1,56987.35,2023-04-25,24.38,12,0
전라,밀,곡물,비료,B,예,2019,18.0,3,95044.54,2023-04-26,19.12,4,0
전라,벼,과일,비료,C,아니오,2021,25.0,2,44222.35,2023-03-08,16.33,12,0
강원,밀,채소,비료,B,아니오,2024,8.0,1,64006.4,2023-03-01,13.8,6,0
서울경기,감자,곡물,수확,C,예,2022,12.0,1,59721.61,2023-05-04,17.08,18,0
서울경기,밀,과일,경작,C,예,2021,16.0,1,43763.98,2023-02-05,17.81,14,0
서울경기,벼,과일,비료,B,아니오,2023,24.0,2,41073.46,2023-05-26,24.87,6,0
강원,벼,채소,방제,B,예,2023,12.0,3,13228.9,2023-05-09,23.59,4,1
경상,콩,곡물,비료,C,예,2024,6.0,4,5932.58,2023-05-17,24.03,14,1
전라,밀,곡물,방제,B,아니오,2018,17.0,1,35015.22,2023-07-19,24.79,7,0
서울경기,콩,곡물,비료,B,예,2019,15.0,2,75193.4,2023-02-26,19.0,4,0
서울경기,콩,곡물,수확,A,예,2019,24.0,1,56311.16,2023-06-01,13.15,14,0
전라,감자,채소,수확,C,아니오,2018,17.0,2,62164.8,2023-09-12,16.81,10,1
경상,밀,곡물,비료,C,예,2021,18.0,1,34995.58,2023-02-22,18.13,13,0
충청,벼,곡물,경작,B,아니오,2022,14.0,1,37880.37,2023-04-26,12.24,19,0
강원,밀,채소,방제,C,아니오,2021,8.0,3,20318.28,2023-11-13,13.86,12,2
전라,벼,채소,방제,B,아니오,2019,11.0,3,42571.11,2023-02-04,13.39,12,0
서울경기,밀,채소,방제,A,예,2022,1.0,1,8450.19,2023-08-21,18.7,12,2
전라,콩,곡물,경작,B,아니오,2018,16.0,1,75836.07,2023-07-17,17.06,6,0
강원,벼,과일,비료,A,아니오,2020,9.0,3,67113.22,2023-03-05,22.19,7,0
서울경기,벼,곡물,비료,A,예,2019,21.0,2,37152.97,2023-02-17,12.55,19,0
전라,감자,과일,비료,B,아니오,2024,12.0,3,14261.97,2023-04-04,23.54,15,0
강원,벼,곡물,경작,A,아니오,2024,10.0,2,60282.8,2023-04-03,15.75,6,0
충청,감자,곡물,경작,A,예,2020,17.0,1,45815.77,2023-06-05,24.67,16,0
서울경기,콩,채소,수확,B,아니오,2019,22.0,2,20877.38,2023-06-24,14.04,6,0
전라,밀,채소,수확,B,예,2024,10.0,2,29659.77,2023-07-23,12.04,11,2
충청,감자,과일,경작,A,예,2021,17.0,3,26123.2,2023-08-03,29.63,3,1
경상,벼,곡물,방제,B,예,2018,12.0,3,94174.29,2023-05-12,14.11,14,0
강원,벼,곡물,경작,A,예,2018,10.0,1,94663.55,2023-06-02,16.32,16,0
강원,콩,과일,수확,B,예,2022,14.0,2,76929.1,2023-07-07,20.79,14,0
서울경기,벼,곡물,경작,A,예,2021,26.0,3,78277.99,2023-06-02,21.51,6,0
충청,콩,곡물,경작,B,예,2018,23.0,3,24709.14,2023-03-13,23.19,10,0
충청,밀,과일,비료,B,아니오,2018,14.0,1,66032.46,2023-05-13,24.74,10,0
충청,콩,곡물,경작,A,아니오,2019,13.0,3,61140.22,2023-08-27,14.36,10,0
전라,콩,채소,수확,C,예,2019,18.0,2,66277.25,2023-07-10,16.6,12,1
서울경기,콩,곡물,경작,A,예,2023,16.0,3,23297.25,2023-04-08,23.24,19,0
강원,밀,과일,비료,C,예,2018,15.0,1,26508.24,2023-07-07,12.42,16,0
서울경기,밀,곡물,경작,A,예,2019,15.0,2,51743.91,2023-05-08,18.36,6,0
경상,고구마,과일,비료,B,예,2022,8.0,1,26233.7,2023-03-31,20.82,9,2
강원,고구마,채소,경작,A,예,2019,16.0,4,57465.36,2023-11-12,20.77,16,1
경상,밀,곡물,경작,A,아니오,2018,20.0,2,28483.72,2023-06-25,20.28,8,0
강원,밀,과일,비료,B,아니오,2020,16.0,3,55647.93,2023-11-29,16.53,12,1
경상,밀,곡물,비료,A,예,2018,10.0,3,31179.06,2023-08-03,24.96,11,0
경상,콩,과일,비료,A,예,2020,9.0,3,92208.87,2023-03-06,22.59,5,0
충청,벼,곡물,비료,B,예,2019,26.0,2,34559.11,2023-07-03,17.99,16,0
서울경기,고구마,채소,비료,C,예,2020,19.0,3,53388.48,2023-02-11,18.42,14,0
강원,벼,곡물,수확,B,아니오,2021,22.0,3,35443.23,2023-04-27,24.04,19,0
강원,벼,채소,방제,B,예,2022,29.0,3,82593.17,2023-05-15,12.1,6,0
서울경기,감자,곡물,비료,B,예,2018,23.0,1,42727.06,2023-03-16,21.73,13,0
충청,감자,채소,경작,A,아니오,2020,25.0,2,26748.56,2023-06-05,17.9,6,0
충청,벼,곡물,비료,B,아니오,2023,27.0,1,62707.48,2023-04-25,17.66,11,0
경상,밀,채소,비료,B,예,2024,21.0,3,73035.88,2023-07-01,16.34,5,0
서울경기,벼,과일,경작,B,아니오,2020,9.0,1,13159.24,2023-02-25,15.51,4,0
충청,벼,과일,수확,A,예,2024,9.0,2,89999.94,2023-08-02,19.73,5,0
충청,콩,채소,수확,C,아니오,2018,21.0,2,22429.7,2023-03-07,23.82,18,0
전라,감자,채소,경작,B,아니오,2023,29.0,2,15028.17,2023-06-09,15.74,5,0
전라,밀,채소,수확,A,예,2024,22.0,1,61395.63,2023-07-25,23.32,8,0
서울경기,고구마,채소,수확,A,아니오,2023,14.0,3,11297.69,2023-10-14,17.32,4,1
경상,벼,채소,경작,B,아니오,2024,16.0,3,22463.43,2023-05-23,24.63,12,0
경상,벼,곡물,수확,B,아니오,2024,20.0,3,36391.32,2023-03-16,16.86,18,0
전라,감자,곡물,경작,C,아니오,2024,13.0,2,89732.26,2023-07-21,14.59,13,0
충청,콩,곡물,비료,A,아니오,2020,28.0,1,42712.65,2023-03-03,19.03,13,0
서울경기,감자,과일,수확,A,아니오,2022,8.0,4,62410.26,2023-10-27,29.7,15,1
전라,감자,곡물,수확,B,아니오,2019,25.0,1,31506.84,2023-06-04,23.64,6,0
강원,콩,채소,비료,A,아니오,2024,24.0,1,53827.24,2023-08-08,21.05,11,0
강원,벼,과일,경작,B,예,2021,26.0,1,49273.56,2023-04-19,23.16,15,0
충청,콩,채소,경작,C,아니오,2019,27.0,1,74071.18,2023-02-14,17.23,16,0
강원,콩,채소,경작,C,예,2023,12.0,4,44034.68,2023-08-27,17.55,15,1
전라,벼,곡물,경작,C,아니오,2020,13.0,3,93021.51,2023-08-10,14.29,11,0
강원,벼,과일,비료,C,아니오,2020,26.0,2,24800.92,2023-07-22,14.07,4,0
전라,벼,채소,방제,B,예,2022,29.0,3,37030.66,2023-07-25,16.88,16,0
충청,고구마,곡물,수확,C,예,2024,21.0,2,24977.26,2023-03-02,18.41,19,0
충청,밀,채소,수확,B,예,2019,4.0,4,29871.84,2023-06-27,21.86,5,1
충청,벼,곡물,비료,B,예,2020,12.0,1,18134.61,2023-05-07,16.9,9,0
충청,콩,곡물,수확,A,예,2022,15.0,3,77590.5,2023-03-30,12.36,5,0
경상,콩,곡물,비료,C,예,2021,22.0,2,43059.69,2023-02-19,14.77,16,0
경상,감자,채소,경작,B,예,2018,16.0,1,17015.22,2023-04-19,14.17,11,0
강원,밀,곡물,방제,C,아니오,2022,8.0,3,40766.89,2023-04-18,23.04,7,0
전라,콩,과일,수확,C,아니오,2024,15.0,2,62545.2,2023-11-26,16.35,12,1
서울경기,고구마,채소,수확,B,아니오,2021,10.0,1,26067.08,2023-02-05,16.3,10,0
서울경기,콩,채소,경작,B,예,2022,11.0,2,90820.46,2023-06-17,15.4,10,0
강원,벼,과일,비료,A,아니오,2020,3.0,3,35985.29,2023-05-15,28.48,10,1
강원,고구마,과일,수확,B,예,2019,16.0,2,31538.76,2023-08-30,18.89,7,1
강원,콩,곡물,방제,B,예,2019,21.0,2,18917.04,2023-05-31,21.39,4,0
서울경기,감자,곡물,경작,B,예,2020,11.0,2,13004.19,2023-07-29,21.86,2,1
전라,밀,곡물,경작,A,아니오,2021,9.0,3,43712.23,2023-02-07,21.36,6,0
전라,콩,곡물,경작,B,예,2023,15.0,3,57991.02,2023-05-25,21.99,11,0
충청,콩,채소,수확,C,예,2019,12.0,3,28332.49,2023-05-09,18.57,16,1
서울경기,고구마,곡물,비료,A,아니오,2022,24.0,2,39430.24,2023-03-11,17.22,18,0
충청,콩,채소,수확,B,예,2024,16.0,3,28059.9,2023-08-22,30.0,8,1
서울경기,벼,채소,수확,C,아니오,2019,19.0,1,18838.12,2023-06-10,19.66,19,0
전라,밀,곡물,경작,A,아니오,2023,13.0,3,44022.62,2023-06-16,15.47,6,0
강원,벼,곡물,경작,A,예,2019,13.0,3,41783.21,2023-04-15,22.95,11,0
전라,밀,채소,비료,B,예,2020,7.0,1,26566.94,2023-09-24,16.62,8,2
충청,밀,곡물,경작,B,예,2020,16.0,2,68653.9,2023-07-04,24.07,10,0
충청,밀,곡물,비료,B,아니오,2024,19.0,1,82799.17,2023-06-04,22.84,4,0
서울경기,벼,과일,경작,B,예,2021,9.0,3,92383.14,2023-06-12,23.19,3,0
충청,감자,곡물,수확,B,아니오,2018,14.0,4,58729.42,2023-05-06,23.28,4,1
전라,밀,과일,경작,B,예,2022,24.0,3,64294.89,2023-07-27,16.91,17,0
서울경기,밀,곡물,방제,C,아니오,2019,7.0,2,70566.37,2023-08-13,18.63,8,0
충청,감자,채소,수확,A,예,2024,4.0,4,13688.42,2023-07-09,16.32,4,1
강원,밀,과일,경작,B,아니오,2022,16.0,3,67406.94,2023-03-08,15.37,16,0
서울경기,벼,과일,경작,B,예,2024,7.0,2,40869.76,2023-06-20,16.47,8,0
강원,벼,과일,경작,A,아니오,2021,27.0,1,43010.79,2023-05-31,13.11,6,0
강원,밀,채소,경작,B,아니오,2024,15.0,1,52061.66,2023-04-28,15.89,4,0
충청,콩,곡물,비료,A,아니오,2019,22.0,1,85806.49,2023-02-16,22.52,10,0
전라,밀,과일,비료,A,아니오,2021,21.0,1,58097.95,2023-05-22,15.62,11,0
전라,콩,채소,방제,B,예,2021,13.0,2,22816.4,2023-10-09,19.36,8,2
서울경기,콩,채소,방제,A,예,2020,15.0,2,29937.26,2023-08-25,15.27,12,0
강원,벼,곡물,방제,A,예,2023,16.0,1,34481.56,2023-07-22,20.82,19,0
강원,고구마,채소,경작,C,예,2019,16.0,3,23420.78,2023-05-31,12.12,11,0
서울경기,벼,채소,경작,C,아니오,2020,13.0,1,93839.12,2023-07-23,14.11,8,0
서울경기,벼,곡물,경작,B,아니오,2023,24.0,3,73439.14,2023-08-18,13.19,4,0
서울경기,밀,과일,비료,C,예,2020,4.0,4,67296.35,2023-05-29,15.7,15,1
전라,콩,곡물,수확,B,예,2023,19.0,4,34595.89,2023-07-27,19.98,3,1
서울경기,밀,채소,수확,C,예,2024,19.0,2,63131.42,2023-10-25,24.01,3,1
강원,밀,곡물,경작,B,예,2024,24.0,2,30111.47,2023-07-30,23.85,5,0
경상,고구마,채소,경작,A,예,2018,22.0,1,91443.39,2023-04-03,22.75,6,0
전라,벼,채소,비료,B,예,2020,12.0,1,25811.87,2023-05-06,19.4,6,0
강원,밀,곡물,수확,A,예,2018,13.0,1,39412.02,2023-02-02,24.41,14,0
전라,고구마,채소,방제,C,아니오,2018,13.0,2,23612.09,2023-08-21,11.27,10,2
전라,감자,채소,방제,A,예,2020,11.0,3,61262.72,2023-08-10,18.97,13,0
충청,밀,과일,수확,C,아니오,2019,18.0,4,7557.92,2023-08-09,20.04,13,1
전라,고구마,과일,수확,B,예,2023,9.0,2,87560.07,2023-04-23,19.77,14,0
서울경기,밀,채소,수확,B,아니오,2019,17.0,3,15346.29,2023-07-13,13.09,6,0
경상,벼,곡물,경작,C,아니오,2024,14.0,2,78291.88,2023-08-22,24.95,15,0
서울경기,콩,곡물,비료,B,아니오,2022,26.0,1,99550.68,2023-06-17,14.01,14,0
서울경기,벼,곡물,경작,B,예,2022,12.0,2,48932.76,2023-06-02,17.99,4,0
서울경기,콩,과일,방제,B,아니오,2018,23.0,3,18381.3,2023-02-02,23.02,19,0
충청,콩,채소,방제,C,아니오,2023,8.0,2,57360.08,2023-02-22,12.45,10,0
강원,고구마,곡물,경작,A,아니오,2021,29.0,3,47154.18,2023-06-12,16.98,16,0
서울경기,벼,곡물,경작,C,아니오,2022,25.0,3,59136.46,2023-02-27,24.89,3,0
강원,벼,과일,수확,B,아니오,2021,15.0,3,23269.02,2023-05-27,16.94,15,0
서울경기,벼,곡물,비료,C,아니오,2019,18.0,3,82496.21,2023-03-01,20.9,8,0
