studentID,problemID,problemTYPE1,problemTYPE2,answers
40,1,A,z,0
22,13,D,n,0
19,14,B,m,1
21,3,A,x,0
24,1,A,z,1
9,20,A,g,0
15,3,A,x,1
3,17,C,j,1
28,18,D,i,1
20,12,D,o,1
16,14,B,m,1
24,20,A,g,1
26,6,D,u,0
50,2,B,y,1
6,5,C,v,0
7,11,D,p,0
12,9,B,r,0
10,9,B,r,1
50,16,C,k,0
35,10,A,q,1
21,1,A,z,0
42,4,A,w,1
36,9,B,r,1
14,4,A,w,0
8,19,C,h,1
36,8,C,s,0
4,13,D,n,1
22,10,A,q,1
23,17,C,j,0
48,16,C,k,1
32,8,C,s,0
33,19,C,h,0
32,15,B,l,0
1,17,C,j,0
45,17,C,j,0
32,11,D,p,0
41,11,D,p,1
48,19,C,h,0
48,10,A,q,1
8,17,C,j,1
6,3,A,x,0
27,19,C,h,0
43,9,B,r,1
20,16,C,k,1
26,20,A,g,1
34,5,C,v,1
18,1,A,z,0
7,13,D,n,1
45,11,D,p,1
13,10,A,q,0
5,12,D,o,1
46,12,D,o,0
12,19,C,h,0
17,17,C,j,1
39,13,D,n,1
18,15,B,l,0
2,7,B,t,0
22,2,B,y,1
8,11,D,p,1
13,9,B,r,0
41,18,D,i,1
48,3,A,x,1
23,19,C,h,1
10,17,C,j,1
49,8,C,s,0
43,2,B,y,0
21,11,D,p,1
5,3,A,x,1
34,7,B,t,1
16,11,D,p,1
12,6,D,u,1
23,2,B,y,0
18,16,C,k,1
50,17,C,j,1
29,10,A,q,0
13,4,A,w,0
4,4,A,w,0
9,10,A,q,1
34,8,C,s,0
18,17,C,j,0
36,5,C,v,0
28,17,C,j,1
36,11,D,p,1
27,1,A,z,0
6,8,C,s,0
21,2,B,y,0
27,5,C,v,0
13,19,C,h,0
7,19,C,h,0
7,10,A,q,0
39,18,D,i,1
27,8,C,s,1
8,5,C,v,0
22,1,A,z,0
3,12,D,o,0
45,2,B,y,1
24,14,B,m,1
33,11,D,p,0
28,4,A,w,1
13,3,A,x,1
24,6,D,u,0
26,8,C,s,1
47,7,B,t,0
15,4,A,w,0
42,18,D,i,1
33,10,A,q,0
31,9,B,r,0
23,8,C,s,0
44,12,D,o,1
22,16,C,k,1
24,16,C,k,1
13,13,D,n,0
33,9,B,r,1
31,6,D,u,1
12,4,A,w,0
15,6,D,u,0
29,12,D,o,0
44,2,B,y,1
25,19,C,h,1
22,15,B,l,1
30,5,C,v,1
23,5,C,v,0
27,3,A,x,1
16,4,A,w,0
47,11,D,p,1
39,14,B,m,1
42,6,D,u,1
48,7,B,t,1
44,18,D,i,1
45,6,D,u,1
25,3,A,x,1
49,16,C,k,0
8,18,D,i,0
9,1,A,z,0
7,8,C,s,0
25,9,B,r,1
10,15,B,l,0
30,6,D,u,1
7,12,D,o,1
35,9,B,r,0
3,10,A,q,1
37,2,B,y,0
11,9,B,r,0
33,12,D,o,1
12,7,B,t,0
18,2,B,y,1
8,1,A,z,1
20,10,A,q,0
24,19,C,h,0
49,13,D,n,1
32,19,C,h,1
22,5,C,v,1
47,14,B,m,1
1,2,B,y,1
8,16,C,k,0
9,12,D,o,1
3,14,B,m,0
11,7,B,t,1
36,7,B,t,0
16,17,C,j,1
11,11,D,p,0
50,10,A,q,0
47,17,C,j,0
43,5,C,v,1
2,12,D,o,1
40,12,D,o,1
20,14,B,m,1
32,12,D,o,1
7,18,D,i,1
39,17,C,j,1
28,16,C,k,0
27,20,A,g,0
49,20,A,g,1
48,17,C,j,0
10,3,A,x,0
2,5,C,v,0
21,16,C,k,0
45,20,A,g,1
34,15,B,l,1
19,13,D,n,0
20,1,A,z,0
11,3,A,x,1
29,6,D,u,1
4,10,A,q,0
10,4,A,w,1
36,3,A,x,1
6,7,B,t,0
6,13,D,n,1
42,17,C,j,1
7,5,C,v,0
18,9,B,r,1
20,11,D,p,1
2,10,A,q,0
16,6,D,u,1
1,8,C,s,0
45,19,C,h,0
50,4,A,w,1
6,10,A,q,0
31,15,B,l,0
32,13,D,n,1
6,6,D,u,1
49,6,D,u,1
15,10,A,q,1
41,6,D,u,1
31,14,B,m,0
23,13,D,n,0
37,17,C,j,1
26,7,B,t,1
32,5,C,v,1
25,5,C,v,0
29,11,D,p,1
37,18,D,i,1
10,10,A,q,1
4,7,B,t,0
6,19,C,h,1
47,4,A,w,1
16,5,C,v,0
43,20,A,g,1
23,11,D,p,1
48,6,D,u,1
9,3,A,x,1
12,3,A,x,1
49,15,B,l,1
44,10,A,q,1
46,17,C,j,0
30,10,A,q,0
39,7,B,t,1
14,17,C,j,0
45,14,B,m,0
40,6,D,u,1
49,2,B,y,1
37,1,A,z,0
28,11,D,p,0
27,16,C,k,0
25,4,A,w,1
45,16,C,k,0
25,18,D,i,1
21,8,C,s,0
3,1,A,z,1
12,5,C,v,0
30,18,D,i,1
33,5,C,v,1
16,20,A,g,0
35,6,D,u,0
8,9,B,r,1
16,15,B,l,1
28,6,D,u,1
15,13,D,n,1
12,1,A,z,0
4,14,B,m,0
28,19,C,h,1
40,18,D,i,0
29,2,B,y,1
43,4,A,w,0
