date,category,item,price
2023-01-01,B,B006,2439
2023-01-01,C,C002,9444
2023-01-01,B,B002,1496
2023-01-01,A,A010,5712
2023-01-01,C,C005,3960
2023-01-01,A,A007,2892
2023-01-01,A,A007,5412
2023-01-01,A,A005,4758
2023-01-01,C,C005,4573
2023-01-01,C,C008,1400
2023-01-01,C,C002,2124
2023-01-02,B,B006,6392
2023-01-02,B,B009,6120
2023-01-02,D,D001,3166
2023-01-02,A,A003,1555
2023-01-02,D,D002,8750
2023-01-02,B,B004,1209
2023-01-02,C,C006,8942
2023-01-02,A,A008,8526
2023-01-03,D,D006,4676
2023-01-03,D,D010,4888
2023-01-03,A,A001,7594
2023-01-03,A,A010,2914
2023-01-03,D,D002,9055
2023-01-03,C,C009,7635
2023-01-03,C,C008,4818
2023-01-03,D,D001,1349
2023-01-03,B,B001,8770
2023-01-04,A,A005,4061
2023-01-04,A,A005,3847
2023-01-04,C,C001,1324
2023-01-04,D,D007,1071
2023-01-04,B,B007,2242
2023-01-04,C,C006,1456
2023-01-04,C,C010,8871
2023-01-04,C,C001,4183
2023-01-04,A,A002,6404
2023-01-05,A,A003,4969
2023-01-05,C,C001,9613
2023-01-05,C,C002,1560
2023-01-05,B,B007,7207
2023-01-05,B,B002,7129
2023-01-05,D,D002,3907
2023-01-05,D,D003,2734
2023-01-05,D,D001,3130
2023-01-05,A,A006,7192
2023-01-05,B,B004,9419
2023-01-05,A,A006,3000
2023-01-05,B,B004,9705
2023-01-05,A,A006,8727
2023-01-06,A,A004,3511
2023-01-06,A,A003,6997
2023-01-06,B,B002,1680
2023-01-06,A,A005,2834
2023-01-07,C,C007,4201
2023-01-07,B,B002,4631
2023-01-07,C,C010,9991
2023-01-07,D,D008,8232
2023-01-07,B,B001,5576
2023-01-07,B,B005,7618
2023-01-07,B,B003,4770
2023-01-07,C,C002,1604
2023-01-07,A,A001,8714
2023-01-07,A,A001,3888
2023-01-08,C,C004,4960
2023-01-08,C,C005,1798
2023-01-08,B,B004,1550
2023-01-08,C,C008,1731
2023-01-08,A,A006,9988
2023-01-08,C,C010,6759
2023-01-08,C,C002,3980
2023-01-08,C,C008,1976
2023-01-08,D,D001,7458
2023-01-08,D,D004,3107
2023-01-08,B,B002,7312
2023-01-09,A,A006,9475
2023-01-09,B,B010,3513
2023-01-09,A,A003,4970
2023-01-09,B,B007,7085
2023-01-09,C,C005,6873
2023-01-09,B,B008,7217
2023-01-09,B,B001,9643
