age,category,num1,num2,num3,num4,target
56,A,39.928,85.052,29.551,193.455,77.623
69,A,51.677,89.373,30.164,145.909,63.227
46,B,52.263,96.557,33.805,223.155,82.878
32,C,54.275,82.782,32.567,221.913,60.926
60,B,38.769,75.283,37.293,227.204,91.591
25,C,46.758,103.488,27.664,72.086,44.588
38,A,40.357,96.347,27.379,202.27,53.0
56,B,59.359,91.275,25.201,193.93,77.439
36,B,41.297,101.664,33.747,138.918,47.571
40,C,47.863,69.596,30.109,93.128,69.417
28,A,55.603,105.264,20.732,194.566,66.871
28,B,43.844,91.686,31.011,253.206,58.158
41,A,56.939,104.79,31.33,70.912,48.297
53,B,65.961,107.993,29.278,158.374,75.194
57,A,51.897,122.623,31.483,206.577,69.756
41,C,59.016,102.059,23.899,256.246,56.279
20,B,29.266,121.334,38.205,184.381,43.919
39,B,45.709,93.562,31.901,296.55,84.969
19,A,51.849,94.516,21.132,110.235,63.045
41,A,39.47,98.181,29.971,99.153,51.837
61,B,52.076,115.482,32.034,250.886,79.04
47,C,60.599,112.619,24.435,82.519,42.708
55,A,31.204,102.701,32.668,223.077,54.037
19,A,38.109,75.445,38.405,185.273,57.197
38,A,51.848,112.261,26.778,154.95,68.15
50,B,54.604,82.772,32.142,178.667,58.62
29,B,57.381,81.682,31.043,135.546,70.144
39,B,51.109,77.23,34.841,184.083,78.369
61,B,54.615,98.337,29.456,200.871,80.776
42,C,59.035,124.234,24.666,179.189,59.197
66,C,45.855,80.693,34.521,170.753,68.893
44,B,43.914,133.572,24.964,212.707,55.145
59,C,48.315,118.196,39.044,282.979,68.185
45,A,51.995,70.708,32.804,186.69,88.251
33,A,43.417,92.344,27.006,241.0,74.255
32,A,46.062,79.195,35.543,151.691,94.172
64,B,53.977,113.299,29.954,133.296,68.012
68,A,51.578,80.237,28.893,222.666,74.14
61,C,48.147,67.578,26.596,188.323,70.498
69,B,32.589,93.485,20.609,256.475,74.722
20,C,49.965,123.388,33.022,266.271,62.713
54,A,40.3,96.15,21.859,241.954,72.274
68,A,59.831,107.969,26.034,240.868,84.902
24,A,46.913,108.745,32.164,28.732,53.262
38,B,40.038,69.754,27.497,222.226,83.768
26,C,49.385,82.013,30.786,243.144,74.291
56,B,62.707,100.129,23.932,136.411,48.301
35,B,56.308,88.853,28.258,200.439,75.857
21,A,52.199,134.089,30.817,147.864,40.79
42,B,36.739,75.434,25.243,251.376,81.769
31,B,66.216,81.815,38.432,152.2,59.187
67,A,43.784,105.811,26.813,160.357,78.008
26,B,59.338,87.442,36.892,176.797,68.527
43,A,46.746,42.163,29.161,312.471,76.478
19,A,58.375,138.694,22.158,250.234,58.461
37,A,63.069,78.514,24.315,280.63,75.714
45,A,56.481,111.218,30.88,109.344,77.93
64,B,57.559,74.932,35.164,136.535,98.408
24,A,49.016,82.739,38.849,266.929,72.824
61,A,45.66,67.541,30.641,111.992,78.759
25,B,51.383,85.176,24.114,166.416,56.636
64,B,46.601,87.114,31.392,302.767,84.929
52,C,74.672,97.349,25.874,151.827,73.49
31,B,40.076,92.549,31.961,108.95,71.851
