target,v1,v2,v3,v4
61.88,30.6,125.0,48.1,12.5
54.04,23.9,100.5,47.9,12.1
47.27,21.3,120.2,28.2,7.4
48.1,26.0,140.5,33.2,7.1
49.47,22.4,151.8,24.0,8.4
53.75,35.2,109.6,21.1,12.5
32.4,25.0,130.5,25.7,5.9
40.5,34.4,113.4,13.4,5.1
43.97,23.5,92.2,20.1,9.0
46.52,32.4,124.8,39.6,5.2
46.79,33.0,105.0,31.0,9.7
58.21,31.7,154.5,49.1,7.0
49.21,33.7,96.5,48.0,5.7
52.6,25.7,147.8,37.7,10.6
49.4,35.6,101.8,42.8,10.1
42.62,32.7,115.6,31.6,7.9
56.42,22.1,132.5,24.5,12.0
54.01,22.8,160.2,48.0,9.5
54.67,25.4,162.4,12.7,12.5
48.72,26.9,171.8,20.4,7.0
44.8,32.7,116.8,48.7,7.1
59.16,20.7,179.2,37.7,12.7
48.12,32.5,97.7,27.0,8.4
33.49,31.5,111.6,12.5,6.7
38.14,30.8,110.4,10.0,5.3
49.84,35.0,127.1,39.3,4.2
59.55,26.7,169.4,10.6,13.2
46.96,28.6,162.5,41.5,5.0
55.58,29.9,131.6,14.2,13.0
57.4,31.5,104.2,50.0,10.6
62.68,24.6,164.6,42.3,9.1
49.32,29.3,152.6,30.3,5.3
54.0,25.2,116.3,43.9,6.5
39.79,39.5,96.4,10.3,5.7
53.39,20.5,145.5,41.0,9.3
50.57,31.8,103.9,33.1,13.2
57.32,33.8,177.4,28.2,7.4
41.25,33.2,147.9,31.4,7.1
57.45,38.5,135.8,45.3,7.6
39.7,23.4,110.5,14.1,6.5
40.16,26.8,123.1,15.3,8.0
43.55,37.6,117.2,18.5,10.0
42.16,23.0,95.6,41.8,9.1
51.51,23.1,153.8,10.0,12.4
39.52,24.9,120.4,39.5,11.8
36.67,23.2,130.0,17.4,8.4
65.44,39.7,171.3,23.1,10.5
59.31,35.4,130.1,24.7,7.7
41.26,33.6,141.0,13.0,7.2
56.35,24.9,113.1,43.9,10.8
52.21,31.9,96.4,29.7,12.2
50.84,25.8,176.1,35.9,11.5
59.93,32.1,152.6,23.1,10.0
57.37,36.3,140.9,39.7,7.1
36.11,23.6,114.7,32.3,7.3
65.9,30.3,163.6,36.2,13.1
39.81,22.1,131.6,42.0,5.9
43.89,34.5,144.3,16.0,7.0
53.93,22.7,106.0,22.0,14.0
46.1,21.2,120.7,34.5,7.9
61.75,30.5,177.5,17.8,12.6
57.35,24.2,160.6,31.6,6.1
67.2,38.0,170.6,37.2,9.6
40.79,29.7,138.7,28.8,6.9
51.38,20.7,94.7,47.6,12.3
52.66,31.6,106.9,47.1,7.7
47.6,29.9,164.6,30.8,8.4
48.01,35.2,150.9,45.6,4.4
65.14,26.5,142.7,45.4,11.5
59.84,20.4,169.0,16.5,13.5
51.33,37.7,124.2,49.2,6.6
66.96,31.7,149.3,38.0,12.8
49.55,38.9,164.1,20.0,4.5
38.71,24.7,124.5,10.7,4.5
47.84,29.0,91.1,49.6,4.7
50.4,37.0,145.5,21.4,6.1
51.45,26.9,104.9,35.0,12.4
30.65,22.5,106.6,10.9,6.6
61.85,37.0,173.4,24.3,11.1
55.92,28.4,170.1,25.6,5.2
34.09,22.7,112.5,22.8,7.7
64.47,38.2,134.8,45.2,7.9
45.56,20.5,126.3,10.5,7.4
55.08,39.7,91.7,26.9,12.0
48.15,38.6,133.5,24.3,10.5
60.24,33.0,156.4,28.4,13.6
46.47,30.4,142.1,45.0,5.9
44.91,20.2,126.3,14.2,5.5
43.54,24.3,97.1,21.3,6.8
47.45,23.2,122.6,32.4,6.2
52.03,38.4,150.1,34.8,4.0
31.09,21.8,90.7,35.8,4.8
30.26,24.9,133.4,15.0,4.3
59.28,33.8,154.6,35.6,9.0
63.42,33.1,168.4,24.2,12.8
57.58,38.5,139.0,49.2,10.3
39.16,24.6,117.5,16.1,4.7
64.6,40.0,144.2,42.9,9.5
55.68,36.5,101.6,40.8,9.0
57.59,25.5,161.5,18.4,13.6
50.34,23.0,102.1,24.5,13.2
66.68,22.5,175.3,47.5,11.6
47.83,28.6,97.3,43.7,10.7
45.98,25.6,134.7,42.1,5.3
68.05,32.7,175.0,10.4,12.4
52.97,27.0,178.6,12.2,10.8
60.8,35.4,120.3,48.5,8.9
44.18,32.3,110.5,31.9,9.5
47.06,37.6,128.8,19.5,12.4
41.33,33.6,133.9,28.6,7.8
47.08,20.8,132.9,43.1,4.3
57.73,37.5,121.5,40.0,13.5
41.41,20.9,170.3,22.5,4.5
43.06,39.3,93.9,32.6,11.3
67.66,30.4,117.7,49.7,13.8
55.25,37.3,162.2,21.0,7.1
53.35,36.7,120.0,19.0,10.4
39.07,27.2,146.1,21.3,7.1
54.2,26.3,127.7,18.3,12.1
39.13,37.0,101.5,39.7,7.5
52.44,29.6,115.3,37.0,5.3
39.76,34.5,98.9,34.5,9.5
49.61,22.4,113.2,21.9,11.6
56.28,29.6,110.3,11.7,8.5
60.6,31.5,127.7,41.3,13.5
49.64,33.4,100.0,36.4,7.0
65.47,38.7,178.3,14.2,9.0
43.24,30.1,108.3,45.5,7.4
49.21,39.3,125.5,37.0,5.8
49.37,28.0,149.1,32.3,4.1
59.01,33.6,158.6,40.3,5.9
58.87,32.0,120.6,38.3,9.7
44.49,29.2,108.2,43.5,6.9
58.81,29.5,165.8,34.1,8.0
50.29,23.5,137.3,24.9,9.6
60.42,32.8,126.1,46.6,10.9
47.13,37.1,125.9,41.2,4.6
37.01,21.8,93.2,44.4,4.1
67.15,35.1,165.8,43.0,8.2
53.82,30.3,96.1,48.9,9.9
54.28,30.8,174.0,10.9,6.3
63.49,34.8,129.1,28.4,12.9
59.25,38.5,144.7,18.7,10.0
43.48,20.4,93.0,21.1,9.6
52.98,38.0,164.8,29.4,5.4
48.56,30.9,101.8,21.8,11.9
43.5,25.5,155.0,29.1,6.8
53.54,27.3,127.9,18.3,10.8
41.16,21.3,96.9,26.1,8.7
55.93,26.8,131.1,46.8,13.1
34.72,24.0,137.0,24.2,5.8
66.44,26.9,158.6,33.8,12.3
51.09,39.7,144.3,45.2,4.9
66.67,37.7,174.8,40.4,11.9
67.77,36.3,178.2,42.2,10.8
48.52,35.8,96.4,46.3,8.3
67.27,24.6,178.8,25.9,10.7
45.27,25.7,155.6,28.0,8.3
56.55,37.8,176.0,20.8,8.0
51.47,25.5,136.1,26.0,10.5
51.25,38.6,103.4,43.1,6.4
47.66,31.1,157.3,31.8,13.2
