,rpm,group
0,163.6,A
1,246.9,A
2,234.9,A
3,156.9,A
4,226.6,A
5,232.6,A
6,284.6,A
7,247.9,A
8,174.0,A
9,159.2,A
10,313.4,A
11,233.0,A
12,241.2,A
13,259.7,A
14,320.0,A
15,231.8,A
16,175.7,A
17,167.5,A
18,168.9,A
19,179.7,A
20,175.1,A
21,320.7,A
22,244.4,A
23,216.0,A
24,225.3,A
25,318.7,A
26,196.2,A
27,211.6,A
28,273.0,A
29,226.6,A
30,209.9,A
31,254.3,A
32,222.0,A
33,281.5,A
34,232.9,A
35,220.3,A
36,271.6,A
37,264.2,A
38,206.1,A
39,203.4,A
40,302.0,A
41,256.5,A
42,215.9,A
43,273.1,A
44,238.3,A
45,234.0,A
46,269.7,A
47,202.5,A
48,253.6,A
49,275.5,A
50,226.7,A
51,216.0,A
52,212.3,A
53,283.8,A
54,281.0,A
55,290.8,A
56,259.3,A
57,175.7,A
58,228.5,A
59,257.4,A
60,149.9,A
61,209.4,A
62,194.6,A
63,233.7,A
64,327.1,A
65,259.5,A
66,241.1,A
67,312.0,A
68,227.0,A
69,221.3,A
70,209.2,A
71,322.0,A
72,264.0,A
73,244.0,A
74,268.4,A
75,238.5,A
76,277.8,A
77,190.9,A
78,240.5,A
79,223.0,A
80,245.3,A
81,189.8,A
82,255.3,A
83,222.8,A
84,218.5,A
85,277.8,A
86,177.8,A
87,292.7,A
88,225.7,A
89,247.1,A
90,261.6,A
91,208.0,A
92,236.6,A
93,266.7,A
94,141.4,A
95,240.2,A
96,169.0,A
97,264.4,A
98,268.4,A
99,248.4,A
100,214.8,B
101,258.7,B
102,271.2,B
103,303.6,B
104,156.5,B
105,209.7,B
106,229.6,B
107,313.4,B
108,187.2,B
109,248.5,B
110,272.2,B
111,289.2,B
112,314.3,B
113,288.1,B
114,342.6,B
115,257.1,B
116,243.1,B
117,250.9,B
118,326.6,B
119,226.0,B
120,311.7,B
121,244.4,B
122,224.7,B
123,174.1,B
124,215.3,B
125,287.4,B
126,192.3,B
127,225.0,B
128,284.8,B
129,266.0,B
130,247.4,B
131,265.7,B
132,268.8,B
133,202.2,B
134,282.1,B
135,305.5,B
136,232.0,B
137,157.9,B
138,283.3,B
139,195.2,B
140,257.9,B
141,224.0,B
142,175.5,B
143,186.7,B
144,199.1,B
145,237.9,B
146,229.4,B
147,310.6,B
148,216.0,B
149,280.3,B
150,258.7,B
151,281.5,B
152,296.1,B
153,231.3,B
154,289.6,B
155,260.4,B
156,270.1,B
157,296.1,B
158,265.3,B
159,261.5,B
160,255.7,B
161,273.3,B
162,260.5,B
163,227.3,B
164,177.6,B
165,269.7,B
166,316.7,B
167,315.8,B
168,267.5,B
169,280.5,B
170,317.5,B
171,217.5,B
172,203.1,B
173,219.3,B
174,267.1,B
175,206.3,B
176,279.0,B
177,308.3,B
178,291.6,B
179,248.2,B
180,258.3,B
181,234.2,B
182,233.6,B
183,226.1,B
184,257.3,B
185,221.2,B
186,365.5,B
187,137.9,B
188,251.7,B
189,239.2,B
190,272.6,B
191,206.2,B
192,259.3,B
193,251.2,B
194,268.0,B
195,239.9,B
196,276.4,B
197,260.9,B
198,197.2,B
199,233.3,B
