ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
464357,Male,No,40,Yes,Artist,7.0,Low,1.0,Cat_6,A
459624,Male,No,18,No,Healthcare,,Low,5.0,Cat_4,D
462672,Male,No,25,No,Healthcare,7.0,Low,4.0,Cat_4,D
463360,Female,Yes,46,Yes,Artist,2.0,Low,1.0,Cat_6,B
462420,Male,No,27,Yes,Healthcare,1.0,Low,3.0,Cat_6,C
459229,Female,Yes,65,Yes,Lawyer,0.0,Average,4.0,Cat_6,B
462334,Male,No,47,Yes,Artist,9.0,Low,2.0,Cat_6,B
467158,Female,No,25,No,Healthcare,0.0,Low,,Cat_6,D
459242,Male,Yes,65,Yes,Executive,0.0,Low,4.0,Cat_6,B
466699,Female,Yes,40,Yes,Artist,8.0,Low,1.0,Cat_6,B
464592,Female,No,43,Yes,Artist,1.0,Low,1.0,Cat_6,A
464893,Male,Yes,43,Yes,Artist,0.0,Low,2.0,Cat_4,B
462169,Female,Yes,40,Yes,Artist,1.0,High,3.0,Cat_6,B
462678,Female,Yes,45,Yes,Artist,3.0,Average,3.0,Cat_6,B
459827,Female,No,33,No,,,Low,1.0,Cat_7,C
465644,Male,No,33,Yes,Healthcare,0.0,Low,5.0,Cat_6,A
465659,Female,No,55,Yes,Doctor,3.0,Low,,Cat_3,C
462726,Female,Yes,75,Yes,Homemaker,1.0,High,,Cat_6,B
464619,Male,Yes,27,Yes,Entertainment,10.0,Low,2.0,Cat_6,B
461407,Female,No,32,Yes,Marketing,8.0,Low,6.0,Cat_1,A
461132,Male,Yes,68,Yes,Artist,2.0,Low,1.0,Cat_6,B
466382,Female,Yes,52,Yes,Engineer,4.0,High,2.0,Cat_4,B
466422,Male,Yes,27,No,Doctor,0.0,Low,4.0,Cat_4,B
462019,Female,Yes,56,Yes,Artist,5.0,Average,4.0,Cat_6,C
467639,Male,Yes,50,Yes,Entertainment,0.0,Average,4.0,Cat_6,B
464583,Female,No,37,Yes,Engineer,7.0,Low,,Cat_6,A
466695,Female,Yes,31,Yes,Entertainment,1.0,Low,1.0,Cat_6,A
463164,Male,Yes,35,Yes,Artist,8.0,Average,2.0,Cat_6,C
467038,Male,Yes,61,Yes,Lawyer,1.0,High,2.0,Cat_6,C
466120,Female,Yes,37,No,Marketing,0.0,Low,4.0,Cat_6,D
464864,Female,No,30,No,Engineer,10.0,Low,8.0,Cat_4,D
466596,Female,Yes,75,Yes,Artist,1.0,High,2.0,Cat_6,C
460023,Male,Yes,45,Yes,Entertainment,1.0,Low,1.0,Cat_6,D
460674,Female,No,31,Yes,Entertainment,0.0,Low,3.0,Cat_3,A
