학번,학과,성별
DFSKJK_1,경영학과,여
DFSKJK_2,사회학과,여
DFSKJK_3,기계공학과,여
DFSKJK_4,경제학과,남
DFSKJK_5,기계공학과,여
DFSKJK_6,기계공학과,남
DFSKJK_7,경제학과,남
DFSKJK_8,사회학과,여
DFSKJK_9,기계공학과,여
DFSKJK_10,경영학과,여
DFSKJK_11,기계공학과,남
DFSKJK_12,기계공학과,여
DFSKJK_13,전자공학과,남
DFSKJK_14,경영학과,여
DFSKJK_15,경제학과,남
DFSKJK_16,전자공학과,남
DFSKJK_17,경영학과,여
DFSKJK_18,경영학과,남
DFSKJK_19,기계공학과,남
DFSKJK_20,경영학과,남
DFSKJK_21,기계공학과,남
DFSKJK_22,경영학과,남
DFSKJK_23,사회학과,여
DFSKJK_24,경제학과,여
DFSKJK_25,경영학과,여
DFSKJK_26,경영학과,여
DFSKJK_27,사회학과,남
DFSKJK_28,전자공학과,남
DFSKJK_29,기계공학과,여
DFSKJK_30,전자공학과,여
DFSKJK_31,경영학과,남
DFSKJK_32,경영학과,여
DFSKJK_33,전자공학과,남
DFSKJK_34,사회학과,여
DFSKJK_35,경제학과,여
DFSKJK_36,경제학과,남
DFSKJK_37,기계공학과,여
DFSKJK_38,경제학과,남
DFSKJK_39,기계공학과,남
DFSKJK_40,경영학과,여
DFSKJK_41,경영학과,여
DFSKJK_42,의학과,여
DFSKJK_43,기계공학과,남
DFSKJK_44,기계공학과,여
DFSKJK_45,사회학과,남
DFSKJK_46,경영학과,남
DFSKJK_47,기계공학과,남
DFSKJK_48,기계공학과,여
DFSKJK_49,전자공학과,남
DFSKJK_50,전자공학과,여
DFSKJK_51,경제학과,남
DFSKJK_52,전자공학과,여
DFSKJK_53,경영학과,여
DFSKJK_54,기계공학과,여
DFSKJK_55,사회학과,남
DFSKJK_56,기계공학과,남
DFSKJK_57,경영학과,여
DFSKJK_58,기계공학과,남
DFSKJK_59,경영학과,남
DFSKJK_60,기계공학과,남
DFSKJK_61,사회학과,남
DFSKJK_62,경영학과,여
DFSKJK_63,경영학과,남
DFSKJK_64,기계공학과,여
DFSKJK_65,기계공학과,남
DFSKJK_66,경영학과,남
