ID,height
user_1,164.57
user_2,174.99
user_3,171.41
user_4,162.47
user_5,167.11
user_6,178.26
user_7,157.87
user_8,167.86
user_9,176.33
user_10,165.67
user_11,166.61
user_12,169.53
user_13,177.46
user_14,166.81
user_15,167.78
user_16,167.83
user_17,181.03
user_18,180.93
user_19,175.02
user_20,171.93
user_21,173.69
user_22,177.45
user_23,165.32
user_24,175.88
user_25,163.73
user_26,166.81
user_27,174.54
user_28,162.86
user_29,169.3
user_30,165.69
user_31,168.72
user_32,156.01
user_33,161.14
user_34,166.5
user_35,174.64
user_36,169.13
user_37,170.01
user_38,173.44
user_39,165.6
user_40,171.42
user_41,165.97
user_42,161.36
user_43,168.05
user_44,172.87
user_45,171.69
user_46,169.94
user_47,181.96
user_48,172.06
user_49,174.89
user_50,181.19
user_51,163.53
user_52,164.81
user_53,178.72
user_54,166.01
user_55,170.15
