연월,업종명,이용자구분,성별,이용자수,이용건수,이용금액
201912,기타 수상오락 서비스업,법인,알수없음,31,37,14406200
201912,기타 수상오락 서비스업,제주도민,남성,36,52,3139800
201912,기타 외국식 음식점업,내국인,남성,3523,3654,112978237
201912,기타 외국식 음식점업,내국인,알수없음,24,24,637500
201912,기타 외국식 음식점업,내국인,여성,1924,1992,64881935
201912,기타 외국식 음식점업,법인,알수없음,4734,5186,289224602
201912,기타 외국식 음식점업,제주도민,남성,9077,9443,303732842
201912,기타 외국식 음식점업,제주도민,여성,6451,6842,201557638
201912,기타 주점업,내국인,남성,1269,1371,251263700
201912,기타 주점업,내국인,여성,229,239,39109200
201912,기타 주점업,법인,알수없음,1239,1327,347682100
201912,기타 주점업,제주도민,남성,5069,5461,1026221796
201912,기타 주점업,제주도민,여성,752,780,125216080
201912,기타음식료품위주종합소매업,내국인,남성,15339,17203,545062880
201912,기타음식료품위주종합소매업,내국인,알수없음,90,100,3581000
201912,기타음식료품위주종합소매업,내국인,여성,12303,13803,437509328
201912,기타음식료품위주종합소매업,법인,알수없음,12794,15985,1118715314
201912,기타음식료품위주종합소매업,제주도민,남성,34629,40026,1452521599
201912,기타음식료품위주종합소매업,제주도민,여성,30929,36131,1388424019
201912,내항 여객 운송업,내국인,남성,3067,3117,104776200
201912,내항 여객 운송업,내국인,여성,2654,2680,83480000
201912,내항 여객 운송업,법인,알수없음,750,896,49394000
201912,내항 여객 운송업,제주도민,남성,591,690,22520500
201912,내항 여객 운송업,제주도민,여성,262,296,10324200
201912,마사지업,내국인,남성,64,66,8373000
201912,마사지업,법인,알수없음,29,31,7348000
201912,마사지업,제주도민,남성,84,97,13873000
201912,면세점,기타외국,알수없음,425,489,49286199
201912,면세점,내국인,남성,34756,51636,3511385740
201912,면세점,내국인,알수없음,48,62,4811270
201912,면세점,내국인,여성,29503,43671,3092873766
201912,면세점,동남아,알수없음,335,402,37396598
201912,면세점,법인,알수없음,6009,9867,973530983
201912,면세점,일본,알수없음,216,258,19347840
201912,면세점,제주도민,남성,4810,6360,428824002
201912,면세점,제주도민,여성,4125,5717,449157166
201912,면세점,중국,알수없음,499,710,107904400
201912,비알콜 음료점업,내국인,남성,20435,22029,220282510
201912,비알콜 음료점업,내국인,알수없음,203,221,1559750
201912,비알콜 음료점업,내국인,여성,20480,22050,226085717
201912,비알콜 음료점업,법인,알수없음,10879,12262,227103575
201912,비알콜 음료점업,제주도민,남성,32610,36287,319451863
201912,비알콜 음료점업,제주도민,여성,40721,45274,396282437
201912,빵 및 과자류 소매업,내국인,남성,17938,19135,278530404
201912,빵 및 과자류 소매업,내국인,알수없음,120,126,1610875
201912,빵 및 과자류 소매업,내국인,여성,21927,23301,335774920
201912,빵 및 과자류 소매업,법인,알수없음,13132,14511,551811480
201912,빵 및 과자류 소매업,제주도민,남성,33732,36134,499773752
201912,빵 및 과자류 소매업,제주도민,여성,47248,50830,655543924
201912,서양식 음식점업,기타외국,알수없음,34,35,993000
201912,서양식 음식점업,내국인,남성,36350,39128,827078894
201912,서양식 음식점업,내국인,알수없음,153,163,2797554
201912,서양식 음식점업,내국인,여성,43385,46654,892157777
201912,서양식 음식점업,법인,알수없음,16268,17932,935881901
201912,서양식 음식점업,제주도민,남성,33703,36613,845303245
201912,서양식 음식점업,제주도민,여성,40130,43694,862209918
201912,수산물 소매업,내국인,남성,10333,11400,580513960
201912,수산물 소매업,내국인,여성,11087,12419,527455785
201912,수산물 소매업,법인,알수없음,4027,4539,1033963688
201912,수산물 소매업,제주도민,남성,2931,3183,351841041
201912,수산물 소매업,제주도민,여성,2648,2912,384964610
201912,슈퍼마켓,기타외국,알수없음,42,50,1067800
201912,슈퍼마켓,내국인,남성,49701,58019,1259703847
201912,슈퍼마켓,내국인,알수없음,374,442,8526970
201912,슈퍼마켓,내국인,여성,33853,39781,967882050
201912,슈퍼마켓,법인,알수없음,56591,77569,5313859702
201912,슈퍼마켓,제주도민,남성,166245,197169,4331544713
201912,슈퍼마켓,제주도민,여성,142608,169353,4330868694
201912,슈퍼마켓,중국,알수없음,68,81,1388180
201912,스포츠 및 레크레이션 용품 임대업,내국인,남성,4216,4686,359539650
201912,스포츠 및 레크레이션 용품 임대업,내국인,알수없음,26,30,2054400
201912,스포츠 및 레크레이션 용품 임대업,내국인,여성,2413,2697,236624830
201912,스포츠 및 레크레이션 용품 임대업,법인,알수없음,3036,3466,1033712540
