ID,연월,업종명,이용자구분,성별,이용자수,이용건수,이용금액
ID_5020,202201,여관업,법인,알수없음,7693,12105,3049021809
ID_5021,202201,여관업,제주도민,남성,3990,4291,294163241
ID_5022,202201,여관업,제주도민,여성,1495,1620,119277191
ID_5023,202201,전시 및 행사 대행업,내국인,남성,16299,18588,432933220
ID_5024,202201,전시 및 행사 대행업,내국인,여성,17350,19922,396316520
ID_5025,202201,전시 및 행사 대행업,법인,알수없음,3424,4177,181053800
ID_5026,202201,전시 및 행사 대행업,제주도민,남성,2128,2623,81162630
ID_5027,202201,전시 및 행사 대행업,제주도민,여성,2059,2555,64051910
ID_5028,202201,체인화 편의점,내국인,남성,171125,193270,1885707089
ID_5029,202201,체인화 편의점,내국인,여성,108325,119505,1127985020
ID_5030,202201,체인화 편의점,법인,알수없음,65914,75659,1003968480
ID_5031,202201,체인화 편의점,제주도민,남성,335296,395800,3456523305
ID_5032,202201,체인화 편의점,제주도민,여성,149953,173409,1586128254
ID_5033,202201,체인화 편의점,중국,알수없음,48,52,1590580
ID_5034,202201,"피자, 햄버거, 샌드위치 및 유사 음식점업",기타외국,알수없음,23,24,414700
ID_5035,202201,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,남성,17323,18622,259699490
ID_5036,202201,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,여성,14639,15824,210862414
ID_5037,202201,"피자, 햄버거, 샌드위치 및 유사 음식점업",법인,알수없음,11589,12773,380954470
ID_5038,202201,"피자, 햄버거, 샌드위치 및 유사 음식점업",제주도민,남성,33733,36995,476957315
ID_5039,202201,"피자, 햄버거, 샌드위치 및 유사 음식점업",제주도민,여성,28175,30629,380629690
ID_5040,202201,한식 음식점업,기타외국,알수없음,64,68,3062100
ID_5041,202201,한식 음식점업,내국인,남성,155578,163101,7250631208
ID_5042,202201,한식 음식점업,내국인,여성,123933,129858,5208463383
ID_5043,202201,한식 음식점업,법인,알수없음,147937,168076,9663524215
ID_5044,202201,한식 음식점업,제주도민,남성,193668,208892,7660994018
ID_5045,202201,한식 음식점업,제주도민,여성,97374,103441,3453745609
ID_5046,202201,한식 음식점업,중국,알수없음,44,51,4157800
ID_5047,202201,호텔업,기타외국,알수없음,172,181,42200746
ID_5048,202201,호텔업,내국인,남성,5147,5414,1046711540
ID_5049,202201,호텔업,내국인,여성,4690,4900,847436775
ID_5050,202201,호텔업,동남아,알수없음,1052,1090,290855780
ID_5051,202201,호텔업,법인,알수없음,3927,6785,2587141878
ID_5052,202201,호텔업,제주도민,남성,1626,1789,205851477
ID_5053,202201,호텔업,제주도민,여성,1322,1494,150771820
ID_5054,202201,화장품 및 방향제 소매업,내국인,남성,1143,1295,56642700
ID_5055,202201,화장품 및 방향제 소매업,내국인,여성,2030,2265,68032280
ID_5056,202201,화장품 및 방향제 소매업,법인,알수없음,584,643,89086040
ID_5057,202201,화장품 및 방향제 소매업,제주도민,남성,1327,1390,99702438
ID_5058,202201,화장품 및 방향제 소매업,제주도민,여성,3106,3313,259961020
ID_5059,202202,건강보조식품 소매업,내국인,남성,97,101,15289600
ID_5060,202202,건강보조식품 소매업,내국인,여성,126,130,15599000
ID_5061,202202,건강보조식품 소매업,법인,알수없음,158,171,44537550
ID_5062,202202,건강보조식품 소매업,제주도민,남성,301,308,40790427
ID_5063,202202,건강보조식품 소매업,제주도민,여성,292,304,35132300
ID_5064,202202,기타 대형 종합 소매업,내국인,남성,7888,8939,580276710
ID_5065,202202,기타 대형 종합 소매업,내국인,여성,7038,8036,493300910
ID_5066,202202,기타 대형 종합 소매업,법인,알수없음,5728,6730,637279790
ID_5067,202202,기타 대형 종합 소매업,제주도민,남성,18233,20675,1269826890
ID_5068,202202,기타 대형 종합 소매업,제주도민,여성,21750,25494,1452707850
ID_5069,202202,기타 대형 종합 소매업,중국,알수없음,136,178,28160520
ID_5070,202202,면세점,내국인,남성,29278,44115,3906908170
ID_5071,202202,면세점,내국인,여성,24448,36258,3218428205
ID_5072,202202,면세점,법인,알수없음,6376,11000,1447762420
ID_5073,202202,면세점,제주도민,남성,2606,3375,247088600
ID_5074,202202,면세점,제주도민,여성,1914,2579,218711050
ID_5075,202202,면세점,중국,알수없음,48,113,19978450
ID_5076,202202,비알콜 음료점업,기타외국,알수없음,33,40,379100
ID_5077,202202,비알콜 음료점업,내국인,남성,20511,22253,223161464
ID_5078,202202,비알콜 음료점업,내국인,여성,19430,21081,217314284
ID_5079,202202,비알콜 음료점업,법인,알수없음,12447,14002,236709160
ID_5080,202202,비알콜 음료점업,제주도민,남성,34834,39691,305470130
ID_5081,202202,비알콜 음료점업,제주도민,여성,34414,38700,333327834
ID_5082,202202,빵 및 과자류 소매업,내국인,남성,17499,18831,358999025
ID_5083,202202,빵 및 과자류 소매업,내국인,여성,24028,26006,491015045
ID_5084,202202,빵 및 과자류 소매업,법인,알수없음,10849,11957,377702057
ID_5085,202202,빵 및 과자류 소매업,제주도민,남성,21989,23456,345053539
ID_5086,202202,빵 및 과자류 소매업,제주도민,여성,29045,30916,437469148
ID_5087,202202,서양식 음식점업,기타외국,알수없음,50,59,987510
ID_5088,202202,서양식 음식점업,내국인,남성,43642,47769,1091811562
ID_5089,202202,서양식 음식점업,내국인,여성,53426,58634,1229255624
ID_5090,202202,서양식 음식점업,법인,알수없음,20130,22440,785608857
ID_5091,202202,서양식 음식점업,제주도민,남성,29645,32517,610126496
ID_5092,202202,서양식 음식점업,제주도민,여성,31637,34512,603201367
ID_5093,202202,슈퍼마켓,기타외국,알수없음,48,60,2530130
ID_5094,202202,슈퍼마켓,내국인,남성,28336,32268,768037505
ID_5095,202202,슈퍼마켓,내국인,여성,19969,22603,536878394
ID_5096,202202,슈퍼마켓,법인,알수없음,45263,59419,4078461161
ID_5097,202202,슈퍼마켓,제주도민,남성,147085,175003,4462961651
ID_5098,202202,슈퍼마켓,제주도민,여성,114488,137086,3955670004
ID_5099,202202,슈퍼마켓,중국,알수없음,77,101,2830059
ID_5100,202202,스포츠 및 레크레이션 용품 임대업,내국인,남성,3224,3587,247919140
ID_5101,202202,스포츠 및 레크레이션 용품 임대업,내국인,여성,1981,2256,140547575
ID_5102,202202,스포츠 및 레크레이션 용품 임대업,법인,알수없음,1930,2158,441199185
ID_5103,202202,스포츠 및 레크레이션 용품 임대업,제주도민,남성,6229,6775,609382130
ID_5104,202202,스포츠 및 레크레이션 용품 임대업,제주도민,여성,4130,4444,565154650
ID_5105,202202,여관업,기타외국,알수없음,87,96,11973024
ID_5106,202202,여관업,내국인,남성,11169,11870,1055162849
ID_5107,202202,여관업,내국인,여성,8838,9372,762793321
ID_5108,202202,여관업,동남아,알수없음,56,90,109649385
ID_5109,202202,여관업,법인,알수없음,7096,11770,3242719040
ID_5110,202202,여관업,제주도민,남성,3568,3833,240066338
ID_5111,202202,여관업,제주도민,여성,1294,1394,79818657
ID_5112,202202,전시 및 행사 대행업,기타외국,알수없음,21,25,555300
ID_5113,202202,전시 및 행사 대행업,내국인,남성,13575,15616,386411920
ID_5114,202202,전시 및 행사 대행업,내국인,여성,13471,15548,342852740
ID_5115,202202,전시 및 행사 대행업,법인,알수없음,2413,2884,120441020
