ID,연월,업종명,이용자구분,성별,이용자수,이용건수,이용금액
ID_5320,201912,기타 수상오락 서비스업,법인,알수없음,31,37,14406200
ID_5321,201912,기타 수상오락 서비스업,제주도민,남성,36,52,3139800
ID_5322,201912,기타 외국식 음식점업,내국인,남성,3523,3654,112978237
ID_5323,201912,기타 외국식 음식점업,내국인,알수없음,24,24,637500
ID_5324,201912,기타 외국식 음식점업,내국인,여성,1924,1992,64881935
ID_5325,201912,기타 외국식 음식점업,법인,알수없음,4734,5186,289224602
ID_5326,201912,기타 외국식 음식점업,제주도민,남성,9077,9443,303732842
ID_5327,201912,기타 외국식 음식점업,제주도민,여성,6451,6842,201557638
ID_5328,201912,기타 주점업,내국인,남성,1269,1371,251263700
ID_5329,201912,기타 주점업,내국인,여성,229,239,39109200
ID_5330,201912,기타 주점업,법인,알수없음,1239,1327,347682100
ID_5331,201912,기타 주점업,제주도민,남성,5069,5461,1026221796
ID_5332,201912,기타 주점업,제주도민,여성,752,780,125216080
ID_5333,201912,기타음식료품위주종합소매업,내국인,남성,15339,17203,545062880
ID_5334,201912,기타음식료품위주종합소매업,내국인,알수없음,90,100,3581000
ID_5335,201912,기타음식료품위주종합소매업,내국인,여성,12303,13803,437509328
ID_5336,201912,기타음식료품위주종합소매업,법인,알수없음,12794,15985,1118715314
ID_5337,201912,기타음식료품위주종합소매업,제주도민,남성,34629,40026,1452521599
ID_5338,201912,기타음식료품위주종합소매업,제주도민,여성,30929,36131,1388424019
ID_5339,201912,내항 여객 운송업,내국인,남성,3067,3117,104776200
ID_5340,201912,내항 여객 운송업,내국인,여성,2654,2680,83480000
ID_5341,201912,내항 여객 운송업,법인,알수없음,750,896,49394000
ID_5342,201912,내항 여객 운송업,제주도민,남성,591,690,22520500
ID_5343,201912,내항 여객 운송업,제주도민,여성,262,296,10324200
ID_5344,201912,마사지업,내국인,남성,64,66,8373000
ID_5345,201912,마사지업,법인,알수없음,29,31,7348000
ID_5346,201912,마사지업,제주도민,남성,84,97,13873000
ID_5347,201912,면세점,기타외국,알수없음,425,489,49286199
ID_5348,201912,면세점,내국인,남성,34756,51636,3511385740
ID_5349,201912,면세점,내국인,알수없음,48,62,4811270
ID_5350,201912,면세점,내국인,여성,29503,43671,3092873766
ID_5351,201912,면세점,동남아,알수없음,335,402,37396598
ID_5352,201912,면세점,법인,알수없음,6009,9867,973530983
ID_5353,201912,면세점,일본,알수없음,216,258,19347840
ID_5354,201912,면세점,제주도민,남성,4810,6360,428824002
ID_5355,201912,면세점,제주도민,여성,4125,5717,449157166
ID_5356,201912,면세점,중국,알수없음,499,710,107904400
ID_5357,201912,비알콜 음료점업,내국인,남성,20435,22029,220282510
ID_5358,201912,비알콜 음료점업,내국인,알수없음,203,221,1559750
ID_5359,201912,비알콜 음료점업,내국인,여성,20480,22050,226085717
ID_5360,201912,비알콜 음료점업,법인,알수없음,10879,12262,227103575
ID_5361,201912,비알콜 음료점업,제주도민,남성,32610,36287,319451863
ID_5362,201912,비알콜 음료점업,제주도민,여성,40721,45274,396282437
ID_5363,201912,빵 및 과자류 소매업,내국인,남성,17938,19135,278530404
ID_5364,201912,빵 및 과자류 소매업,내국인,알수없음,120,126,1610875
ID_5365,201912,빵 및 과자류 소매업,내국인,여성,21927,23301,335774920
ID_5366,201912,빵 및 과자류 소매업,법인,알수없음,13132,14511,551811480
ID_5367,201912,빵 및 과자류 소매업,제주도민,남성,33732,36134,499773752
ID_5368,201912,빵 및 과자류 소매업,제주도민,여성,47248,50830,655543924
ID_5369,201912,서양식 음식점업,기타외국,알수없음,34,35,993000
ID_5370,201912,서양식 음식점업,내국인,남성,36350,39128,827078894
ID_5371,201912,서양식 음식점업,내국인,알수없음,153,163,2797554
ID_5372,201912,서양식 음식점업,내국인,여성,43385,46654,892157777
ID_5373,201912,서양식 음식점업,법인,알수없음,16268,17932,935881901
ID_5374,201912,서양식 음식점업,제주도민,남성,33703,36613,845303245
ID_5375,201912,서양식 음식점업,제주도민,여성,40130,43694,862209918
ID_5376,201912,수산물 소매업,내국인,남성,10333,11400,580513960
ID_5377,201912,수산물 소매업,내국인,여성,11087,12419,527455785
ID_5378,201912,수산물 소매업,법인,알수없음,4027,4539,1033963688
ID_5379,201912,수산물 소매업,제주도민,남성,2931,3183,351841041
ID_5380,201912,수산물 소매업,제주도민,여성,2648,2912,384964610
ID_5381,201912,슈퍼마켓,기타외국,알수없음,42,50,1067800
ID_5382,201912,슈퍼마켓,내국인,남성,49701,58019,1259703847
ID_5383,201912,슈퍼마켓,내국인,알수없음,374,442,8526970
ID_5384,201912,슈퍼마켓,내국인,여성,33853,39781,967882050
ID_5385,201912,슈퍼마켓,법인,알수없음,56591,77569,5313859702
ID_5386,201912,슈퍼마켓,제주도민,남성,166245,197169,4331544713
ID_5387,201912,슈퍼마켓,제주도민,여성,142608,169353,4330868694
ID_5388,201912,슈퍼마켓,중국,알수없음,68,81,1388180
ID_5389,201912,스포츠 및 레크레이션 용품 임대업,내국인,남성,4216,4686,359539650
ID_5390,201912,스포츠 및 레크레이션 용품 임대업,내국인,알수없음,26,30,2054400
ID_5391,201912,스포츠 및 레크레이션 용품 임대업,내국인,여성,2413,2697,236624830
ID_5392,201912,스포츠 및 레크레이션 용품 임대업,법인,알수없음,3036,3466,1033712540
ID_5393,201912,스포츠 및 레크레이션 용품 임대업,제주도민,남성,10725,11793,1245689712
