대륙,국가명,소비량
Africa,Algeria,25
Africa,Angola,217
Africa,Benin,34
Africa,Botswana,173
Africa,Burundi,88
Africa,Cameroon,147
Africa,Central African Republic,17
Africa,Chad,15
Africa,Comoros,1
Africa,Congo,76
Africa,Djibouti,15
Africa,Egypt,6
Africa,Equatorial Guinea,92
Africa,Eritrea,18
Africa,Ethiopia,20
Africa,Gabon,347
Africa,Gambia,8
Africa,Ghana,31
Africa,Guinea,9
Africa,Guinea-Bissau,28
Africa,Kenya,58
Africa,Lesotho,82
Africa,Liberia,19
Africa,Libya,0
Africa,Madagascar,26
Africa,Malawi,8
Africa,Mali,5
Africa,Mauritania,0
Africa,Mauritius,98
Africa,Morocco,12
Africa,Mozambique,47
Africa,Namibia,376
Africa,Niger,3
Africa,Nigeria,42
Africa,Rwanda,43
Africa,Senegal,9
Africa,Seychelles,157
Africa,Sierra Leone,25
Africa,Somalia,0
Africa,South Africa,225
Africa,Sudan,8
Africa,Swaziland,90
Africa,Tanzania,36
Africa,Togo,36
Africa,Tunisia,51
Africa,Uganda,45
Africa,Zambia,32
Africa,Zimbabwe,64
Asia,Afghanistan,0
Asia,Bahrain,42
Asia,Bangladesh,0
Asia,Bhutan,23
Asia,Brunei,31
Asia,Cambodia,57
Asia,China,79
Asia,India,9
Asia,Indonesia,5
Asia,Iran,0
Asia,Iraq,9
Asia,Israel,63
Asia,Japan,77
Asia,Jordan,6
Asia,Kazakhstan,124
Asia,North Korea,0
Asia,South Korea,140
Asia,Kuwait,0
Asia,Kyrgyzstan,31
Asia,Laos,62
Asia,Lebanon,20
Asia,Malaysia,13
Asia,Maldives,0
Asia,Mongolia,77
Asia,Nepal,5
Asia,Oman,22
Asia,Pakistan,0
Asia,Philippines,71
Asia,Qatar,1
Asia,Russia,247
Asia,Saudi Arabia,0
Asia,Singapore,60
Asia,Sri Lanka,16
Asia,Syria,5
Asia,Tajikistan,2
Asia,Thailand,99
Europe,Turkey,51
Asia,Turkmenistan,19
Asia,United Arab Emirates,16
Asia,Uzbekistan,25
Asia,Vietnam,111
Asia,Yemen,6
Europe,Albania,89
Europe,Andorra,245
Europe,Armenia,21
Europe,Austria,279
Europe,Azerbaijan,21
Europe,Belarus,142
Europe,Belgium,295
Europe,Bulgaria,231
Europe,Croatia,230
Europe,Cyprus,192
Europe,Denmark,224
Europe,Estonia,224
Europe,Finland,263
Europe,France,127
Europe,Georgia,52
Europe,Germany,346
Europe,Greece,133
Europe,Hungary,234
Europe,Iceland,233
Europe,Ireland,313
Europe,Italy,85
Europe,Latvia,281
Europe,Lithuania,343
Europe,Luxembourg,236
Europe,Macedonia,106
Europe,Malta,149
Europe,Moldova,109
Europe,Monaco,0
Europe,Montenegro,31
Europe,Netherlands,251
Europe,Norway,169
Europe,Poland,343
Europe,Portugal,194
Europe,Romania,297
Europe,San Marino,0
Europe,Serbia,283
Europe,Slovakia,196
Europe,Slovenia,270
Europe,Spain,284
Europe,Sweden,152
Europe,Switzerland,185
Europe,Ukraine,206
Europe,United Kingdom,219
North America,Bahamas,122
North America,Barbados,143
North America,Belize,263
North America,Canada,240
North America,Costa Rica,149
North America,Cuba,93
North America,Dominica,52
North America,Dominican Republic,193
North America,El Salvador,52
North America,Grenada,199
North America,Guatemala,53
North America,Haiti,1
North America,Honduras,69
North America,Jamaica,82
North America,Mexico,238
North America,Nicaragua,78
North America,Panama,285
North America,United States,249
Oceania,Australia,261
Oceania,Fiji,77
Oceania,Kiribati,21
Oceania,Marshall Islands,0
Oceania,Micronesia,62
Oceania,Nauru,49
Oceania,New Zealand,203
Oceania,Palau,306
Oceania,Papua New Guinea,44
Oceania,Samoa,105
Oceania,Solomon Islands,56
Oceania,Tonga,36
Oceania,Tuvalu,6
Oceania,Vanuatu,21
South America,Argentina,193
South America,Bolivia,167
South America,Brazil,245
South America,Chile,130
South America,Colombia,159
South America,Ecuador,162
South America,Guyana,93
South America,Paraguay,213
South America,Peru,163
South America,Suriname,128
South America,Uruguay,115
South America,Venezuela,333
