국가,관광,방문,유학연수,취업,기타
뉴질랜드,24724.0,6320.0,4911.0,56.0,637.0
피  지,3889.0,564.0,98.0,15.0,40.0
벨기에,243.0,58.0,30.0,7.0,25.0
멕시코,1069.0,335.0,103.0,32.0,48.0
우즈베키스탄,3994.0,1456.0,97.0,4.0,137.0
프랑스,31681.0,4289.0,3255.0,153.0,1418.0
캐나다,34352.0,14195.0,14067.0,119.0,1174.0
과테말라,167.0,81.0,11.0,17.0,31.0
이집트,9777.0,1209.0,266.0,26.0,827.0
괌,52738.0,5115.0,390.0,55.0,132.0
남아프리카 공화국,1116.0,314.0,263.0,8.0,97.0
오스트레일리아,72442.0,11893.0,16007.0,150.0,1311.0
쿠웨이트,245.0,123.0,4.0,76.0,86.0
헝가리,426.0,113.0,19.0,0.0,42.0
터  키,20588.0,2200.0,544.0,20.0,925.0
스위스,5983.0,832.0,1018.0,20.0,165.0
대  만,59318.0,7830.0,1799.0,164.0,1503.0
키르기스스탄,452.0,178.0,30.0,2.0,72.0
미얀마,2826.0,339.0,17.0,7.0,107.0
스페인,2502.0,424.0,151.0,58.0,139.0
일  본,714181.0,117117.0,48205.0,2497.0,18054.0
중 동 기타,417.0,89.0,10.0,27.0,103.0
인  도,13475.0,1864.0,1030.0,72.0,601.0
네덜란드,16943.0,2391.0,1255.0,105.0,495.0
핀란드,406.0,54.0,68.0,0.0,32.0
요르단,547.0,50.0,42.0,3.0,186.0
브라질,765.0,303.0,96.0,11.0,85.0
중 동,38568.0,7121.0,1030.0,869.0,2842.0
그리스,1746.0,200.0,36.0,3.0,54.0
태  국,416800.0,30813.0,4133.0,197.0,3111.0
베트남,130559.0,16395.0,1657.0,259.0,851.0
몽  골,10081.0,2234.0,357.0,16.0,674.0
독  일,38325.0,6945.0,4673.0,107.0,2222.0
사우디아라비아,209.0,73.0,5.0,59.0,35.0
이  란,564.0,98.0,13.0,59.0,16.0
중  국,902723.0,152675.0,52129.0,2012.0,13501.0
마카오,24237.0,1603.0,81.0,4.0,123.0
폴란드,450.0,107.0,43.0,11.0,45.0
우루과이,23.0,6.0,0.0,21.0,5.0
싱가포르,91842.0,12512.0,3758.0,424.0,1141.0
말레이시아,41222.0,5963.0,1588.0,138.0,919.0
인도네시아,40686.0,7480.0,443.0,423.0,1173.0
케  냐,598.0,112.0,29.0,10.0,98.0
카자흐스탄,1717.0,583.0,113.0,22.0,224.0
스웨덴,339.0,106.0,70.0,2.0,40.0
필리핀,228970.0,25042.0,9342.0,76.0,3591.0
북마리아나 군도,34940.0,2932.0,186.0,65.0,390.0
아르헨티나,290.0,160.0,7.0,29.0,29.0
콜롬비아,155.0,22.0,6.0,2.0,14.0
칠  레,114.0,55.0,11.0,5.0,11.0
이스라엘,637.0,142.0,42.0,5.0,82.0
나이지리아,124.0,56.0,2.0,102.0,37.0
아랍에미리트연합,7348.0,1776.0,122.0,504.0,631.0
체  코,11956.0,1401.0,354.0,5.0,99.0
홍  콩,128278.0,16774.0,3026.0,395.0,1639.0
페  루,205.0,73.0,23.0,5.0,23.0
카타르,1850.0,353.0,8.0,88.0,345.0
영  국,38542.0,5478.0,8795.0,123.0,1096.0
리비아,134.0,25.0,1.0,198.0,5.0
미  국,152140.0,79585.0,43695.0,1081.0,9611.0
캄보디아,31283.0,1919.0,172.0,22.0,286.0
덴마크,887.0,77.0,59.0,2.0,17.0
러시아(연방),15000.0,2413.0,1171.0,136.0,778.0
오스트리아,1395.0,320.0,230.0,6.0,92.0
