Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT)
10/03/2004,18.00.00,2.6,1360.0,150.0,11.9
10/03/2004,19.00.00,2.0,1292.0,112.0,9.4
10/03/2004,20.00.00,2.2,1402.0,88.0,9.0
10/03/2004,21.00.00,2.2,1376.0,80.0,9.2
10/03/2004,22.00.00,1.6,1272.0,51.0,6.5
10/03/2004,23.00.00,1.2,1197.0,38.0,4.7
11/03/2004,00.00.00,1.2,1185.0,31.0,3.6
11/03/2004,01.00.00,1.0,1136.0,31.0,3.3
11/03/2004,02.00.00,0.9,1094.0,24.0,2.3
11/03/2004,03.00.00,0.6,1010.0,19.0,1.7
11/03/2004,04.00.00,-200.0,1011.0,14.0,1.3
11/03/2004,05.00.00,0.7,1066.0,8.0,1.1
11/03/2004,06.00.00,0.7,1052.0,16.0,1.6
11/03/2004,07.00.00,1.1,1144.0,29.0,3.2
11/03/2004,08.00.00,2.0,1333.0,64.0,8.0
11/03/2004,09.00.00,2.2,1351.0,87.0,9.5
11/03/2004,10.00.00,1.7,1233.0,77.0,6.3
11/03/2004,11.00.00,1.5,1179.0,43.0,5.0
11/03/2004,12.00.00,1.6,1236.0,61.0,5.2
11/03/2004,13.00.00,1.9,1286.0,63.0,7.3
11/03/2004,14.00.00,2.9,1371.0,164.0,11.5
11/03/2004,15.00.00,2.2,1310.0,79.0,8.8
11/03/2004,16.00.00,2.2,1292.0,95.0,8.3
11/03/2004,17.00.00,2.9,1383.0,150.0,11.2
11/03/2004,18.00.00,4.8,1581.0,307.0,20.8
11/03/2004,19.00.00,6.9,1776.0,461.0,27.4
11/03/2004,20.00.00,6.1,1640.0,401.0,24.0
11/03/2004,21.00.00,3.9,1313.0,197.0,12.8
11/03/2004,22.00.00,1.5,965.0,61.0,4.7
11/03/2004,23.00.00,1.0,913.0,26.0,2.6
12/03/2004,00.00.00,1.7,1080.0,55.0,5.9
12/03/2004,01.00.00,1.9,1044.0,53.0,6.4
12/03/2004,02.00.00,1.4,988.0,40.0,4.1
12/03/2004,03.00.00,0.8,889.0,21.0,1.9
12/03/2004,04.00.00,-200.0,831.0,10.0,1.1
12/03/2004,05.00.00,0.6,847.0,7.0,1.0
12/03/2004,06.00.00,0.8,927.0,17.0,1.8
12/03/2004,07.00.00,1.4,1091.0,33.0,4.4
12/03/2004,08.00.00,4.4,1587.0,202.0,17.9
12/03/2004,09.00.00,-200.0,1545.0,-200.0,22.1
12/03/2004,10.00.00,3.1,1350.0,208.0,14.0
12/03/2004,11.00.00,2.7,1263.0,166.0,11.6
12/03/2004,12.00.00,2.1,1206.0,114.0,10.2
12/03/2004,13.00.00,2.5,1252.0,140.0,11.0
12/03/2004,14.00.00,2.7,1287.0,169.0,12.8
12/03/2004,15.00.00,2.9,1353.0,185.0,14.2
12/03/2004,16.00.00,2.8,1309.0,165.0,12.7
12/03/2004,17.00.00,2.4,1274.0,133.0,11.7
12/03/2004,18.00.00,3.9,1510.0,233.0,19.3
12/03/2004,19.00.00,3.7,1525.0,242.0,18.2
12/03/2004,20.00.00,6.6,1843.0,488.0,32.6
12/03/2004,21.00.00,4.4,1598.0,333.0,20.1
12/03/2004,22.00.00,3.5,1484.0,215.0,14.3
12/03/2004,23.00.00,5.4,1677.0,367.0,21.8
13/03/2004,00.00.00,2.7,1280.0,122.0,9.6
13/03/2004,01.00.00,1.9,1196.0,67.0,7.4
13/03/2004,02.00.00,1.6,1184.0,43.0,5.4
13/03/2004,03.00.00,1.7,1172.0,46.0,5.4
13/03/2004,04.00.00,-200.0,1147.0,56.0,6.2
13/03/2004,05.00.00,1.0,978.0,30.0,2.6
13/03/2004,06.00.00,1.2,1100.0,27.0,2.9
13/03/2004,07.00.00,1.5,1112.0,47.0,5.1
13/03/2004,08.00.00,2.7,1336.0,132.0,11.8
13/03/2004,09.00.00,3.7,1408.0,239.0,15.1
13/03/2004,10.00.00,3.2,1447.0,160.0,12.9
13/03/2004,11.00.00,4.1,1542.0,283.0,16.1
13/03/2004,12.00.00,3.6,1451.0,210.0,14.0
13/03/2004,13.00.00,2.8,1328.0,154.0,12.3
13/03/2004,14.00.00,2.0,1207.0,112.0,8.6
13/03/2004,15.00.00,2.0,1240.0,108.0,9.2
13/03/2004,16.00.00,2.5,1306.0,111.0,10.2
13/03/2004,17.00.00,2.3,1326.0,97.0,10.6
13/03/2004,18.00.00,3.2,1473.0,191.0,15.5
13/03/2004,19.00.00,4.2,1609.0,258.0,19.6
13/03/2004,20.00.00,4.2,1611.0,284.0,19.2
13/03/2004,21.00.00,4.2,1621.0,269.0,18.3
13/03/2004,22.00.00,3.1,1444.0,180.0,13.1
13/03/2004,23.00.00,2.6,1418.0,116.0,10.9
14/03/2004,00.00.00,2.9,1534.0,93.0,11.0
14/03/2004,01.00.00,2.8,1484.0,131.0,11.9
14/03/2004,02.00.00,2.5,1367.0,92.0,8.6
14/03/2004,03.00.00,2.4,1344.0,132.0,9.7
14/03/2004,04.00.00,-200.0,1130.0,56.0,5.2
14/03/2004,05.00.00,1.2,1062.0,32.0,3.7
14/03/2004,06.00.00,1.0,1076.0,29.0,2.5
14/03/2004,07.00.00,0.9,1028.0,27.0,2.4
14/03/2004,08.00.00,1.4,1155.0,36.0,4.2
14/03/2004,09.00.00,1.6,1235.0,57.0,6.4
14/03/2004,10.00.00,2.2,1332.0,129.0,8.6
14/03/2004,11.00.00,2.8,1445.0,148.0,10.9
14/03/2004,12.00.00,2.8,1416.0,145.0,10.7
14/03/2004,13.00.00,2.0,1281.0,93.0,7.5
14/03/2004,14.00.00,1.8,1207.0,84.0,7.5
14/03/2004,15.00.00,1.9,1258.0,99.0,8.2
14/03/2004,16.00.00,3.0,1458.0,150.0,11.9
14/03/2004,17.00.00,2.9,1438.0,156.0,12.0
14/03/2004,18.00.00,2.5,1478.0,122.0,12.2
14/03/2004,19.00.00,4.6,1808.0,262.0,20.6
14/03/2004,20.00.00,5.9,1898.0,341.0,23.1
14/03/2004,21.00.00,3.4,1560.0,214.0,14.7
14/03/2004,22.00.00,2.1,1324.0,100.0,9.0
