ID,motion_0,motion_1,motion_2,motion_3,motion_4,motion_5,motion_6,motion_7,motion_8,motion_9,motion_10,motion_11,motion_12,motion_13,motion_14,motion_15,motion_16,motion_17,motion_18,motion_19,motion_20,motion_21,motion_22,motion_23,motion_24,motion_25,motion_26,motion_27,motion_28,motion_29,motion_30,motion_31,motion_32,motion_33,motion_34,motion_35,motion_36,motion_37,motion_38,motion_39,motion_40,motion_41,motion_42,motion_43,motion_44,motion_45,motion_46,motion_47,motion_48,motion_49,motion_50,motion_51,motion_52,motion_53,motion_54,motion_55,motion_56,motion_57,motion_58,motion_59,motion_60,motion_61,motion_62,motion_63
1,-6.0,-1.0,-4.0,-15.0,9.0,13.0,-65.0,-19.0,-25.0,14.0,5.0,-3.0,-17.0,-30.0,9.0,-14.0,21.0,-1.0,-3.0,8.0,17.0,19.0,42.0,-3.0,2.0,13.0,8.0,-1.0,-6.0,-12.0,-73.0,5.0,-7.0,-18.0,-15.0,6.0,-9.0,-24.0,-2.0,13.0,-13.0,-4.0,17.0,1.0,10.0,9.0,-96.0,34.0,4.0,-2.0,1.0,-14.0,-29.0,4.0,98.0,18.0,-2.0,-2.0,-10.0,-4.0,15.0,3.0,60.0,9.0
3,0.0,10.0,5.0,21.0,2.0,-8.0,15.0,19.0,-12.0,-15.0,0.0,-22.0,-2.0,-1.0,-37.0,-14.0,35.0,9.0,0.0,15.0,-17.0,-9.0,-34.0,-22.0,-12.0,-5.0,-7.0,-10.0,4.0,7.0,57.0,-2.0,-16.0,20.0,-3.0,-14.0,14.0,-5.0,-19.0,-6.0,35.0,-62.0,-8.0,11.0,-15.0,16.0,36.0,25.0,0.0,12.0,6.0,9.0,-3.0,0.0,-9.0,-1.0,-27.0,5.0,1.0,2.0,5.0,-8.0,-22.0,7.0
4,16.0,5.0,6.0,10.0,-12.0,-27.0,-4.0,-3.0,-13.0,-4.0,-5.0,-7.0,29.0,9.0,-1.0,-13.0,-14.0,-6.0,-3.0,-13.0,-30.0,-39.0,2.0,16.0,-8.0,2.0,2.0,5.0,33.0,2.0,-2.0,-2.0,24.0,4.0,-1.0,-3.0,2.0,15.0,0.0,4.0,-5.0,-4.0,-2.0,-1.0,23.0,21.0,1.0,-2.0,-10.0,-3.0,-4.0,1.0,-6.0,36.0,0.0,-10.0,2.0,0.0,2.0,-7.0,-18.0,-45.0,-2.0,9.0
6,8.0,-16.0,-13.0,2.0,-8.0,-12.0,-54.0,-7.0,-10.0,22.0,13.0,15.0,-5.0,-10.0,-8.0,5.0,-15.0,5.0,8.0,-10.0,5.0,-12.0,1.0,-10.0,-16.0,-52.0,-12.0,-8.0,-11.0,-27.0,-5.0,-4.0,-8.0,83.0,2.0,-1.0,-15.0,-9.0,-114.0,-22.0,20.0,-63.0,-6.0,-10.0,23.0,9.0,88.0,5.0,1.0,-3.0,1.0,7.0,10.0,0.0,19.0,28.0,8.0,25.0,4.0,3.0,-4.0,36.0,35.0,11.0
7,13.0,-1.0,0.0,14.0,-8.0,-10.0,-78.0,-4.0,-9.0,-3.0,-1.0,12.0,-2.0,-21.0,-90.0,-27.0,-30.0,-11.0,-9.0,-8.0,-24.0,-59.0,21.0,-71.0,-8.0,1.0,-2.0,-21.0,-16.0,-51.0,16.0,21.0,36.0,8.0,4.0,3.0,32.0,60.0,22.0,44.0,0.0,-1.0,1.0,-2.0,5.0,16.0,-128.0,-39.0,-7.0,4.0,5.0,13.0,-5.0,-33.0,-54.0,26.0,-4.0,-4.0,-4.0,-12.0,-6.0,-27.0,-16.0,-98.0
8,9.0,0.0,-3.0,0.0,31.0,61.0,5.0,-1.0,-10.0,2.0,4.0,5.0,22.0,-39.0,-1.0,-1.0,-8.0,1.0,2.0,0.0,-37.0,-52.0,-6.0,-2.0,-2.0,-1.0,-5.0,-5.0,22.0,32.0,3.0,3.0,-10.0,-5.0,1.0,3.0,-22.0,-29.0,-5.0,-9.0,-11.0,-1.0,-4.0,-9.0,28.0,41.0,7.0,22.0,21.0,6.0,2.0,1.0,-1.0,-2.0,0.0,3.0,13.0,0.0,0.0,1.0,-37.0,-23.0,-3.0,2.0
9,-8.0,-4.0,4.0,2.0,-21.0,-12.0,1.0,5.0,7.0,-1.0,3.0,0.0,8.0,-13.0,2.0,-1.0,7.0,-1.0,-6.0,-5.0,13.0,8.0,5.0,5.0,-13.0,0.0,1.0,-2.0,3.0,2.0,1.0,0.0,1.0,-2.0,-4.0,-5.0,-8.0,13.0,-4.0,-7.0,-6.0,0.0,0.0,0.0,10.0,7.0,-3.0,-2.0,0.0,-2.0,1.0,0.0,10.0,22.0,-4.0,-6.0,-11.0,2.0,3.0,4.0,-35.0,-64.0,2.0,13.0
10,-17.0,3.0,-11.0,-7.0,-11.0,4.0,-8.0,2.0,25.0,0.0,-1.0,7.0,9.0,2.0,-7.0,3.0,-22.0,5.0,16.0,15.0,0.0,-7.0,1.0,-22.0,10.0,3.0,-4.0,-16.0,21.0,21.0,11.0,10.0,3.0,5.0,1.0,0.0,-11.0,0.0,5.0,-9.0,-6.0,-5.0,-2.0,-6.0,2.0,3.0,-2.0,10.0,-15.0,-14.0,-8.0,-2.0,-12.0,1.0,-29.0,-14.0,22.0,22.0,2.0,14.0,6.0,-9.0,17.0,0.0
11,-26.0,2.0,0.0,-6.0,11.0,34.0,99.0,7.0,0.0,-1.0,1.0,-1.0,4.0,12.0,3.0,15.0,-40.0,0.0,2.0,15.0,-18.0,-42.0,-128.0,-43.0,33.0,-7.0,1.0,10.0,-8.0,-32.0,11.0,22.0,29.0,-1.0,-11.0,-32.0,2.0,36.0,63.0,-12.0,-27.0,-3.0,0.0,0.0,16.0,14.0,-15.0,-25.0,-16.0,4.0,3.0,2.0,-6.0,16.0,-47.0,-40.0,22.0,-3.0,-3.0,6.0,5.0,-17.0,-56.0,-9.0
12,0.0,-4.0,-1.0,5.0,-11.0,-3.0,-24.0,-49.0,-8.0,2.0,0.0,2.0,23.0,6.0,-36.0,-8.0,18.0,-2.0,-2.0,2.0,-25.0,-25.0,-16.0,-20.0,-15.0,0.0,-3.0,-7.0,21.0,9.0,25.0,20.0,-10.0,-1.0,1.0,8.0,-16.0,5.0,-42.0,-18.0,38.0,0.0,-1.0,-1.0,7.0,7.0,71.0,48.0,-50.0,-2.0,-3.0,-6.0,7.0,6.0,-59.0,-65.0,57.0,-1.0,-4.0,0.0,-17.0,-19.0,-3.0,25.0
