ID,motion_0,motion_1,motion_2,motion_3,motion_4,motion_5,motion_6,motion_7,motion_8,motion_9,motion_10,motion_11,motion_12,motion_13,motion_14,motion_15,motion_16,motion_17,motion_18,motion_19,motion_20,motion_21,motion_22,motion_23,motion_24,motion_25,motion_26,motion_27,motion_28,motion_29,motion_30,motion_31,motion_32,motion_33,motion_34,motion_35,motion_36,motion_37,motion_38,motion_39,motion_40,motion_41,motion_42,motion_43,motion_44,motion_45,motion_46,motion_47,motion_48,motion_49,motion_50,motion_51,motion_52,motion_53,motion_54,motion_55,motion_56,motion_57,motion_58,motion_59,motion_60,motion_61,motion_62,motion_63
0,1.0,-2.0,-1.0,4.0,-5.0,-4.0,1.0,0.0,-15.0,-3.0,-1.0,-2.0,-11.0,-12.0,-7.0,-3.0,3.0,2.0,1.0,4.0,-9.0,8.0,3.0,-2.0,27.0,4.0,-2.0,-4.0,3.0,4.0,0.0,16.0,6.0,2.0,0.0,4.0,43.0,12.0,3.0,-7.0,-5.0,0.0,1.0,0.0,-16.0,-13.0,2.0,2.0,-7.0,0.0,-2.0,-4.0,-8.0,-6.0,0.0,-1.0,-13.0,-3.0,1.0,-1.0,-32.0,-22.0,-2.0,-3.0
2,20.0,0.0,0.0,1.0,5.0,6.0,-52.0,18.0,15.0,-5.0,-7.0,-10.0,-9.0,-25.0,-60.0,-68.0,-64.0,-5.0,4.0,29.0,-21.0,-46.0,48.0,74.0,3.0,11.0,11.0,5.0,40.0,55.0,9.0,21.0,34.0,1.0,1.0,0.0,4.0,19.0,-128.0,-7.0,-25.0,2.0,-5.0,-15.0,10.0,-25.0,4.0,43.0,8.0,4.0,-1.0,-2.0,2.0,21.0,-70.0,-55.0,-38.0,-14.0,-12.0,-8.0,-34.0,-63.0,-87.0,-77.0
4,1.0,-1.0,1.0,4.0,-5.0,-8.0,1.0,-3.0,-14.0,-5.0,-3.0,-2.0,23.0,30.0,2.0,-4.0,10.0,-1.0,1.0,2.0,-11.0,-11.0,-3.0,0.0,31.0,2.0,2.0,3.0,-5.0,-6.0,1.0,7.0,-10.0,1.0,-5.0,-6.0,40.0,33.0,-1.0,-5.0,-4.0,-4.0,-2.0,0.0,31.0,33.0,-4.0,-12.0,-3.0,-1.0,4.0,8.0,-43.0,-35.0,1.0,12.0,-25.0,0.0,0.0,3.0,2.0,-27.0,1.0,0.0
5,13.0,2.0,1.0,-3.0,1.0,3.0,28.0,3.0,12.0,1.0,1.0,9.0,4.0,-2.0,-21.0,-2.0,6.0,2.0,0.0,3.0,-1.0,-4.0,26.0,7.0,-11.0,-3.0,0.0,1.0,1.0,2.0,-38.0,-15.0,-4.0,-3.0,-4.0,-3.0,4.0,3.0,76.0,9.0,34.0,3.0,6.0,18.0,-4.0,2.0,1.0,6.0,-11.0,-3.0,-7.0,-17.0,3.0,15.0,0.0,-21.0,-17.0,-2.0,0.0,-4.0,-17.0,-21.0,-21.0,25.0
6,-2.0,-7.0,-4.0,-8.0,16.0,44.0,1.0,3.0,-16.0,2.0,3.0,6.0,21.0,-28.0,-5.0,-6.0,30.0,1.0,2.0,0.0,-48.0,-48.0,-3.0,-13.0,-10.0,1.0,0.0,-2.0,12.0,2.0,-1.0,0.0,1.0,-1.0,-1.0,0.0,-14.0,-5.0,-1.0,-5.0,-3.0,-6.0,-4.0,-4.0,32.0,43.0,-2.0,0.0,-12.0,-2.0,-4.0,-9.0,-8.0,11.0,-1.0,2.0,-1.0,1.0,4.0,4.0,-17.0,-38.0,-3.0,3.0
7,4.0,-2.0,-8.0,-1.0,-8.0,-15.0,-8.0,-19.0,0.0,-9.0,3.0,3.0,4.0,-8.0,-104.0,-19.0,-18.0,-26.0,-9.0,-26.0,-1.0,7.0,68.0,23.0,15.0,29.0,-2.0,-7.0,-13.0,22.0,33.0,8.0,-6.0,19.0,17.0,12.0,8.0,-13.0,4.0,-5.0,-22.0,14.0,-3.0,3.0,6.0,7.0,5.0,10.0,49.0,9.0,3.0,6.0,-6.0,-11.0,-98.0,4.0,-24.0,12.0,-2.0,-6.0,-20.0,-26.0,-44.0,-27.0
9,-23.0,-3.0,1.0,-2.0,-17.0,15.0,-3.0,-8.0,-12.0,-2.0,-5.0,-2.0,46.0,17.0,1.0,-3.0,19.0,1.0,0.0,-2.0,-15.0,-9.0,-1.0,1.0,-11.0,-2.0,-2.0,-1.0,1.0,28.0,4.0,-2.0,10.0,3.0,3.0,-1.0,-46.0,-44.0,-6.0,-1.0,-7.0,-4.0,-1.0,0.0,8.0,9.0,0.0,2.0,-7.0,-2.0,-1.0,1.0,-10.0,-9.0,-4.0,-4.0,4.0,0.0,-5.0,-8.0,14.0,20.0,-1.0,2.0
11,-19.0,-11.0,-4.0,3.0,29.0,26.0,2.0,-1.0,1.0,8.0,3.0,2.0,4.0,4.0,-3.0,7.0,26.0,2.0,-2.0,-1.0,-7.0,-4.0,0.0,2.0,-5.0,-1.0,3.0,2.0,5.0,-16.0,1.0,1.0,3.0,2.0,-3.0,-4.0,2.0,7.0,-6.0,-8.0,-35.0,-12.0,-2.0,0.0,3.0,13.0,2.0,-2.0,37.0,5.0,1.0,3.0,-15.0,-16.0,3.0,11.0,0.0,0.0,-1.0,-5.0,-16.0,1.0,-2.0,-3.0
12,10.0,-5.0,-10.0,-20.0,-24.0,6.0,-37.0,-11.0,14.0,5.0,0.0,6.0,-25.0,0.0,15.0,8.0,-18.0,10.0,5.0,1.0,24.0,-6.0,50.0,10.0,4.0,10.0,-8.0,-3.0,-33.0,8.0,-6.0,-12.0,3.0,9.0,17.0,0.0,20.0,-3.0,-10.0,-17.0,-36.0,-24.0,0.0,1.0,-1.0,4.0,-5.0,-2.0,30.0,5.0,-1.0,-6.0,-1.0,0.0,4.0,-5.0,-2.0,-15.0,-4.0,12.0,18.0,-5.0,40.0,11.0
13,13.0,-3.0,-2.0,-3.0,-3.0,5.0,-1.0,-6.0,-24.0,-5.0,-2.0,0.0,57.0,47.0,6.0,4.0,-3.0,4.0,4.0,-1.0,-66.0,-58.0,-3.0,18.0,-15.0,0.0,2.0,0.0,10.0,-22.0,-2.0,-18.0,-17.0,-2.0,0.0,1.0,-10.0,-12.0,-1.0,5.0,30.0,3.0,-4.0,-2.0,8.0,-4.0,-2.0,-8.0,2.0,-3.0,-10.0,-11.0,-2.0,55.0,1.0,-7.0,-7.0,2.0,6.0,20.0,58.0,9.0,-1.0,3.0
