ID,pose
0,1
2,0
4,1
5,0
6,1
7,0
9,1
11,1
12,0
13,1
14,0
15,1
16,1
18,1
19,0
20,1
21,1
22,0
24,1
25,0
26,0
27,1
28,0
29,0
30,1
31,0
32,0
34,0
36,0
37,1
38,1
39,1
40,1
41,0
43,1
44,0
45,1
46,0
48,0
49,1
51,0
52,1
53,1
55,1
56,1
57,1
58,0
59,0
61,1
62,0
63,1
64,1
65,1
68,0
69,0
70,1
72,0
73,1
74,0
75,1
76,0
77,0
78,1
79,0
80,0
81,0
82,1
83,1
84,0
85,1
86,0
88,1
89,1
90,1
92,1
93,1
94,1
95,0
96,1
98,1
100,0
103,1
104,0
105,0
106,0
109,1
111,1
112,1
113,0
114,1
115,0
116,1
117,0
120,0
121,0
123,0
124,1
125,0
127,0
128,1
129,1
131,1
132,1
133,0
134,1
136,1
137,0
138,1
140,1
141,0
142,0
143,0
144,0
145,0
147,1
150,1
151,1
152,1
154,0
156,1
157,0
158,0
159,0
160,1
162,0
163,0
164,1
165,0
166,1
168,1
169,1
170,0
171,0
172,0
174,0
175,0
176,1
177,0
178,0
179,0
180,1
181,1
182,1
184,1
185,0
186,1
187,0
188,1
189,0
190,0
191,1
192,0
193,1
194,1
195,1
197,0
198,0
199,0
201,1
202,1
203,0
205,1
206,0
207,0
208,0
209,1
210,1
211,0
212,0
213,1
214,0
215,1
216,1
217,0
219,1
220,1
221,0
223,0
224,0
225,1
226,1
229,0
230,1
231,0
233,0
234,1
235,0
236,0
237,1
238,0
239,0
240,1
242,0
243,1
244,1
245,1
246,1
247,1
248,0
250,0
251,0
252,1
254,1
255,0
257,0
259,1
261,1
262,1
263,1
265,1
267,0
268,0
269,0
270,1
271,0
272,1
273,1
274,1
275,1
276,0
277,1
280,1
281,0
283,0
285,0
286,0
289,1
290,1
291,1
292,1
293,0
294,1
296,0
297,0
298,1
299,0
300,1
301,1
304,0
306,0
307,0
308,1
309,0
310,0
311,1
313,1
314,0
316,1
317,1
318,1
319,1
320,1
321,1
322,0
323,1
324,1
325,1
326,0
327,1
328,0
330,1
331,0
332,1
333,1
334,1
336,0
337,0
338,0
339,1
340,0
341,1
342,0
343,1
344,1
345,1
346,0
347,1
348,0
349,0
350,1
351,1
352,1
353,0
354,1
355,0
357,0
358,1
359,1
360,1
361,1
362,0
366,0
367,0
369,0
370,0
371,0
373,1
374,0
375,1
376,0
377,1
378,1
381,0
382,0
383,0
384,0
386,1
387,0
388,0
389,1
390,0
391,1
393,1
394,1
395,0
396,0
397,0
398,0
399,0
400,0
403,0
404,0
405,0
407,1
408,1
409,0
410,1
411,1
412,1
413,0
414,0
415,1
416,0
417,0
418,0
419,1
421,0
422,1
423,0
424,0
425,1
428,1
429,0
431,0
432,0
433,0
434,1
435,1
436,1
438,0
439,1
440,0
441,1
443,1
444,1
445,0
448,1
449,0
450,1
451,0
452,1
453,1
454,0
455,0
456,1
459,0
460,1
461,0
462,1
463,0
465,0
466,0
467,0
468,1
469,1
470,0
471,1
472,0
473,0
474,1
475,0
476,1
477,1
478,0
482,0
484,1
485,1
486,1
487,1
488,0
489,0
490,1
491,1
492,1
493,1
494,1
496,0
497,0
498,1
499,1
500,1
501,1
502,1
503,1
504,0
505,1
506,0
507,1
509,1
510,0
511,0
512,0
513,1
514,0
515,0
516,1
517,1
518,0
519,0
520,1
521,1
522,1
523,0
524,1
525,1
526,0
527,0
529,1
531,1
532,1
533,0
534,1
536,0
539,0
541,0
542,1
543,0
544,1
545,1
546,1
547,0
549,0
550,0
551,1
552,1
553,1
555,1
556,1
559,1
560,1
561,0
562,0
563,0
564,0
565,1
566,0
567,0
568,1
569,1
572,0
573,0
575,0
576,0
577,1
578,0
579,0
580,0
581,0
583,1
584,0
585,0
586,0
588,0
589,1
590,0
591,1
592,1
594,1
596,1
598,1
600,0
601,0
603,0
604,0
606,1
607,1
608,0
609,1
610,0
611,0
612,1
614,0
615,0
616,0
617,0
618,1
619,0
620,1
621,1
622,1
623,1
624,1
626,0
628,0
629,1
630,0
631,1
633,0
634,1
636,0
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,1
646,0
647,0
648,0
649,0
650,0
652,0
653,1
654,1
657,0
659,0
660,0
661,0
662,0
663,1
664,1
665,0
666,1
667,1
669,0
670,0
672,1
673,0
675,0
677,1
678,0
681,1
683,0
684,1
685,0
686,1
687,1
688,0
689,1
690,0
692,1
693,1
694,1
695,0
696,0
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,0
706,1
708,1
709,0
710,1
711,0
712,0
713,0
715,1
716,0
718,0
719,0
720,1
721,1
722,0
723,1
724,0
725,1
726,1
727,1
729,0
730,1
731,1
733,0
735,0
736,1
737,0
738,0
741,1
742,0
743,1
744,0
745,1
746,1
748,1
751,1
753,0
754,0
755,0
756,1
757,0
759,0
760,0
761,0
762,0
763,1
765,1
766,1
767,0
768,0
769,0
770,1
771,1
772,1
773,0
774,0
776,1
777,0
779,0
781,1
782,1
783,0
784,0
786,1
787,1
789,0
790,0
791,0
792,0
794,1
795,1
796,0
797,0
799,1
800,0
801,1
802,0
806,1
807,0
808,1
809,0
810,0
811,1
812,1
813,0
814,0
815,0
817,1
818,1
820,0
821,1
822,1
824,0
825,0
826,1
827,0
828,0
829,1
830,1
831,0
833,1
834,0
835,0
836,1
837,1
838,0
839,0
840,0
841,1
842,1
843,0
844,1
845,0
846,0
847,0
848,1
850,0
851,0
852,1
853,0
854,0
855,1
856,1
857,0
859,1
860,0
861,1
862,1
864,1
865,0
866,0
867,0
868,0
869,1
871,1
872,1
873,0
874,0
875,0
876,0
877,1
878,1
879,1
880,1
882,0
883,0
884,1
885,0
886,0
887,1
888,0
889,1
892,0
893,1
894,0
896,1
897,1
898,0
899,1
900,0
902,0
903,0
904,1
905,1
907,0
909,0
910,1
912,0
913,1
914,0
915,1
916,0
918,1
919,0
920,1
921,1
922,1
923,0
924,1
925,1
927,0
928,0
929,0
931,0
932,1
933,0
935,1
936,0
937,1
938,0
939,0
940,0
941,0
942,1
943,1
944,1
945,1
946,1
948,0
949,1
950,1
951,1
952,0
953,1
954,1
955,1
956,1
957,1
959,1
960,0
961,0
962,0
963,1
964,0
966,1
967,0
968,1
969,0
970,0
971,0
972,1
973,0
974,0
977,1
978,1
979,0
980,0
981,1
983,1
984,0
985,1
986,1
987,0
988,0
989,0
990,0
992,0
993,0
995,0
996,1
999,1
