id,name,est_diameter_min,est_diameter_max,relative_velocity,miss_distance,orbiting_body,sentry_object,absolute_magnitude,hazardous
3837787,(2019 AD9),0.0439091446,0.0981838322,18872.1913032085,24335618.45531188,Earth,False,23.91,False
3184154,(2004 MP1),0.0242412481,0.054205078600000005,32666.3643441185,5443243.025216988,Earth,False,25.2,False
3764805,(2016 WV7),0.009650614699999999,0.021579430499999996,17238.1459577581,4133332.555225779,Earth,False,27.2,False
3703437,(2015 AP43),0.2783267681,0.6223575734000001,62341.590613552195,72402282.57674617,Earth,False,19.9,False
3170202,(2003 YJ),0.2272767323,0.5082062231000001,46256.944505938605,43349968.64334935,Earth,False,20.34,False
3670395,(2014 JG15),0.019255507800000002,0.04305662440000001,25396.3517231925,7865980.634585498,Earth,False,25.7,False
54051320,(2020 QY3),0.0291443905,0.06516883820000001,19374.1357257777,19442380.00263593,Earth,False,24.8,False
3278402,(2005 KA),0.0305179233,0.0682401509,53911.8558583682,52254756.18410485,Earth,False,24.7,False
3472374,(2009 UX19),0.44111819999999996,0.9863702812999999,76628.6092789412,52625906.12096872,Earth,False,18.9,False
3605793,(2012 MP),0.16770846220000002,0.3750075218,32849.2718380631,71821360.44785456,Earth,False,21.0,False
3747356,(2016 EK158),0.2101623793,0.4699373665,61088.511816727194,44182752.11555616,Earth,False,20.51,False
54243522,(2022 BN5),0.014674218300000002,0.0328125497,58897.6810747668,57121670.51294816,Earth,False,26.29,False
3767252,(2017 BH32),0.09650614699999999,0.2157943048,58242.174476750595,58501717.34128594,Earth,False,22.2,False
3576672,(2011 QZ13),0.2538370294,0.5675968529,35452.5855000956,49311741.89644447,Earth,False,20.1,False
3726669,(2015 QK9),0.02658,0.0594346868,65085.7230986141,2742668.85581283,Earth,False,25.0,False
3838932,(2019 EB2),0.0175612318,0.0392681082,40109.1296534028,19574885.29872292,Earth,False,25.9,False
3655393,(2013 YL2),0.06376097900000001,0.1425738833,99130.2999780798,31347265.13197005,Earth,False,23.1,False
3825155,(2018 LO3),0.021113244500000003,0.047210649900000005,16275.8383978425,7948157.616855601,Earth,False,25.5,False
3515661,(2010 GR33),0.0802703167,0.1794898848,48226.038421866506,20643271.15950272,Earth,False,22.6,False
