value,target
240.18783111576326,a
186.0914635363134,a
201.13751915576316,a
268.445811097538,a
287.5814750496765,a
221.52783984360198,a
259.01771997063713,a
262.58093968278314,a
245.69188951503273,a
274.39403369242325,a
227.2816359042861,a
247.19143903902412,a
244.21006828490457,a
239.2680824635254,a
237.1980675735927,a
251.25934362874955,a
252.61918277714912,a
178.97707579633112,a
212.07995549505898,a
269.00432119295994,a
193.69280659508507,a
251.52335770697186,a
195.82798155815277,a
311.7733327072411,a
264.53089131601826,a
269.3220994763798,a
239.29510774524732,a
220.44448410281413,a
229.40247030786904,a
244.97976394319775,a
264.73808619140505,a
276.70054608749655,a
261.7324400197005,a
224.36042852215138,a
239.6791578868859,a
246.57695564823993,a
204.82731460433473,a
269.35848139329704,a
219.68637218810375,a
260.4387991247395,a
263.34200999974314,a
251.7189395027132,a
225.45533546967957,a
232.67594944195795,a
248.598053145753,a
255.182000001528,a
269.96435320692353,a
248.77423214772213,a
273.0963975964128,a
210.76783876937705,a
244.42994651693792,a
252.5104432395825,a
236.28387016013298,a
251.46880240534338,a
234.6589487653842,a
178.15623489226542,a
223.67790024750838,a
244.56100097258962,a
230.647310302199,a
235.9656318139395,a
246.60744710913517,a
242.4448424596769,a
275.42816912800987,a
243.2891058634361,a
241.4635244753918,a
242.6290598747739,a
246.59572819118117,a
241.96950333549967,a
269.6465700959327,a
280.98552820996434,a
287.1060913366651,a
256.19360489357456,a
243.46783041211202,a
245.92190439445764,a
219.9083464302243,a
262.00340419876255,a
269.43737553586396,a
224.09756795763883,a
305.83048614266727,a
269.7946740538581,a
285.20875242804345,a
255.57260932384682,a
255.2588934375493,a
256.01825498175725,a
233.01075634195246,a
259.26855654038076,a
213.9337530423379,a
249.82893486804537,a
222.5181745889683,a
236.73799769431741,a
249.9733771839605,a
233.22553775631332,a
247.20515536546745,a
213.67462570416689,a
267.97498280815523,a
293.57359381260227,a
246.49591996229762,a
236.8061015872138,a
276.9172425025592,a
260.91667237451605,a
221.430607241151,b
226.88431548608364,b
284.2402721455622,b
188.99890686561432,b
206.19509209079413,b
239.60758914102354,b
297.5391741117059,b
267.3822226163195,b
208.69237267003518,b
249.91188167273265,b
229.68820611438676,b
290.1115798995132,b
258.78779798316833,b
318.83202355653964,b
252.15397655444963,b
266.5035889341071,b
241.76188726324273,b
277.732669041279,b
230.05601103878107,b
265.1231618360683,b
301.59465480030656,b
250.84334167076253,b
235.59961141039383,b
241.93653286428955,b
275.97254913514877,b
242.52294507520833,b
236.4608145600721,b
260.50509566408874,b
270.04100656299073,b
251.08683624072026,b
293.21682362990464,b
223.0520635299154,b
228.04156579945538,b
268.6278767675897,b
278.88552782380714,b
252.82608475621632,b
276.55587011372097,b
282.8152312917429,b
258.76444333589103,b
237.54258596715846,b
239.76175045679292,b
290.6234291816022,b
262.15196549848986,b
229.17215271009005,b
203.83067070961292,b
232.04601665695495,b
270.8069799483532,b
267.33828718407585,b
250.78263373872696,b
276.8789786501995,b
258.47977469615745,b
169.6092214318556,b
280.04396116028295,b
218.57891728128533,b
230.38855882694682,b
249.5885022481027,b
294.17997146122707,b
237.91071251962364,b
259.71765544216873,b
297.6664257965527,b
219.77953641642904,b
273.56789442746026,b
290.2279096371244,b
311.32698565307084,b
220.1729926852055,b
308.1572570600751,b
225.52539884950642,b
257.1467973422327,b
238.33267821906972,b
202.50574411192923,b
225.2866458217618,c
275.5083132269667,c
226.56462156941382,c
248.7495177099886,c
215.93540351977416,c
229.64193425723482,c
246.36387114954763,c
313.67511872433454,c
196.53520313319046,c
224.72290584963983,c
254.31095851946378,c
228.53251276080965,c
152.8672759159633,c
248.76068316641843,c
244.28332036394013,c
292.5454720927471,c
232.07501021776255,c
191.95015874407858,c
184.5779131032118,c
230.1956349009282,c
197.41298498819958,c
175.5713395859937,c
313.3331732356488,c
234.08048932068166,c
217.53070359183027,c
238.7299272484074,c
262.98682003163896,c
357.6804758931762,c
259.109595236188,c
222.61424515252065,c
