target,value
a,234.23848606778233
a,236.2796978563906
a,196.00382452010152
a,293.8780818977323
a,219.40742546195867
a,249.39552918072437
a,255.8939746516085
a,246.618065962396
a,260.00965892744773
a,269.25379296326344
a,223.14626255643518
a,213.70517869519117
a,324.64145967146123
a,262.724582597316
a,254.80991013756227
a,245.7789793006887
a,264.23593492314615
a,260.2522996416617
a,237.1485994338779
a,214.27083609229325
a,210.05210312958968
a,282.48380280079897
a,269.24215727451065
a,265.87405980528064
a,222.86948027003479
a,200.79587340261304
a,267.0663493609556
a,224.18166820051488
a,266.1835084856081
a,274.72335396258563
a,262.93722093981046
a,253.14144139159913
a,256.4864988116609
a,218.77053467168662
a,227.8846923802952
a,219.39148599351262
a,229.94098255279394
a,226.09781230699252
a,299.28497643220004
a,267.01825094062053
a,218.7893913822721
a,243.43926965073993
a,192.1195991871632
a,231.27518531590175
a,259.0384367576206
a,268.41839717122656
a,280.10989377038914
a,280.7002284926173
a,238.53612581726605
a,349.8482918943292
a,262.1151529613138
a,223.66803419269155
a,235.85759838799672
a,298.7059029597616
a,235.93219263709156
a,192.28667747632306
a,203.79366471696684
a,219.0826730828719
a,259.9621057352249
a,265.3297658370091
a,267.96528692799853
a,242.68923961299944
a,269.957509982543
a,226.8087117319315
a,194.73233426537197
a,271.8971034202239
a,232.19786722584732
a,279.5885478514492
a,211.77851626673967
a,248.51332629269297
a,224.14979677272783
a,220.82820527280617
a,230.0618993854
a,245.1322100934806
a,229.55100874304867
a,253.96890599397935
a,254.66681273946315
a,232.99517498784132
a,280.89670075274876
a,271.82704591913165
a,224.58002572635286
a,217.94511329208785
a,270.06834491911707
a,264.8441884628719
a,196.32147603018996
a,224.20296716992348
a,259.73662578907204
a,286.73214786637277
a,234.77183722400497
a,265.87405980528064
a,259.4910864898768
a,237.28412791857977
a,268.40085063342235
a,232.89753905460384
a,231.4147997307844
a,259.15221150956233
a,265.8998188935649
a,228.8028149799385
a,252.07867982157057
a,264.3372231606685
b,270.3957081087814
b,245.696183921365
b,238.8650037808111
b,304.6735217736859
b,247.10982896326865
b,213.3227622210415
b,277.78972215714236
b,168.32292538824555
b,214.92448582889372
b,272.34417486692763
b,284.7186738398953
b,266.23169099600955
b,230.9621718452192
b,259.39801924816015
b,289.22499387929133
b,245.11385828298177
b,309.32165998331357
b,254.69701249415175
b,261.27306482736157
b,241.31282158696604
b,246.2989621260851
b,264.51668813866775
b,282.36078397551285
b,269.27772998706894
b,237.285432975482
b,271.8403262603225
b,317.0014503564151
b,265.38023237573697
b,207.47838918514316
b,272.8200065575767
b,246.61647029488245
b,233.28157988111968
b,291.9486752988629
b,300.7118191025943
b,243.8432893880348
b,202.80328457233696
b,226.0571595703376
b,205.4852383040782
b,176.29800272801708
b,241.70043387446998
b,313.11524245131733
b,274.97289342362154
b,241.72876928475836
b,211.30661940550252
b,240.37596317277485
b,244.01013053064108
b,274.1340552144935
b,256.78480180810277
b,278.71892094799176
b,294.8676250425183
b,273.915783190941
b,296.1306704553188
b,233.41267444840878
b,251.39432072054797
b,262.57304115005826
b,263.34590330916564
b,262.9730943662915
b,309.98869772123663
b,259.23429301332993
b,233.32106156403856
b,221.39403270843763
b,280.7085202122218
b,279.240887854699
b,254.17335211980912
b,222.58637592615912
b,221.4867296778259
b,215.24932826774634
b,256.79818745383284
b,207.14610182657188
b,278.1450325171393
b,274.79146800150335
b,285.641278487956
b,294.1676602825639
b,284.0074156069491
b,221.45448959614095
b,207.26075712195956
b,259.4776068942507
b,276.23188499566686
b,303.8254466192423
b,249.11602103801624
b,322.2945094387217
b,305.5390201970832
b,226.11676758182406
b,288.74772742648395
b,238.11299462739225
b,269.72121296993237
b,236.7484531674259
b,306.0834029159896
b,276.07227350583196
b,194.1653818657938
b,239.27001234110543
b,199.82960752519364
b,242.97570478835235
b,262.3703339704828
b,211.4689949610222
b,237.57094329234542
b,196.6795599777572
b,306.72483157172957
b,243.58202313832425
b,237.5243760245339
c,257.290944551205
c,227.4341135674108
c,285.781904258586
c,261.9649233415186
c,232.55931851148551
c,260.48149235810035
c,294.53308621066725
c,248.16289382892143
c,227.84901852500795
c,244.48758612992134
c,259.4572431375181
c,266.8111345483331
c,251.0480298588356
c,331.64885421577077
c,316.68996550491596
c,230.046032445643
c,261.45707953265554
c,275.57761466856414
c,229.5291132785402
c,221.00780184798836
c,305.55009366765535
c,250.9530267665353
c,220.08996661564152
c,230.44942751678016
c,316.29248508843386
c,259.9557279172608
c,302.9989818467833
c,219.6199192473353
c,273.4555760257086
c,302.58826355886345
c,248.7548922651688
c,193.1428531331461
c,248.7546362617172
c,301.719320944607
c,307.2018524700096
c,275.4268057738235
c,300.92571367844664
c,270.263833531926
c,235.82937407020168
c,320.426135718486
c,274.3308135550965
c,269.3273652974709
c,300.09736371804195
c,258.0562022623665
c,275.0413709429274
c,232.78422162689665
c,309.6103448674868
c,153.2334156710803
c,230.36337842288765
c,216.94518844724047
c,380.07278051506637
c,263.29858457463723
c,278.1586924871906
c,245.95126889193796
c,264.50040888708867
c,231.0193129915179
c,240.7310668124322
c,254.00238996430093
c,260.1132010942148
c,262.19979301713255
c,269.387734064357
c,275.4268057738235
c,264.151101246267
c,231.84814756877654
c,214.06767105092453
c,255.45316936634882
c,241.56542064696868
c,278.7658747188193
c,271.8505409504523
c,167.72221932110386
c,217.2355198508495
c,235.44678906665982
c,264.1550448955279
c,234.52920121603594
c,273.8503700607426
c,248.46930573044693
c,205.1926416025924
c,286.36188752906304
c,290.2616285540472
c,211.07593567764707
c,208.95480166977637
c,241.40769561198948
c,175.14533765669415
c,255.77285675716783
c,256.37646155742647
c,251.58252633192757
c,291.00965764127795
c,197.11158509937272
c,297.9771118035667
c,276.88159948444803
c,208.6472061588945
c,288.8121972566471
c,200.48827418581004
c,264.4483763866718
c,258.4456582193579
c,264.9350484414888
c,308.495818256238
c,180.1653136162
c,267.28735811875504
c,261.06102891077614
