school,score
A,68
A,63
A,59
A,46
A,53
A,68
A,74
A,94
A,92
A,55
A,74
A,59
A,50
A,69
A,56
A,91
A,50
A,34
A,55
A,46
A,30
A,81
A,51
A,64
A,90
A,56
A,93
A,41
A,46
A,38
A,69
A,80
A,45
A,92
A,75
A,69
A,84
A,75
A,93
A,80
A,73
A,35
A,51
A,40
A,75
A,91
A,40
A,75
A,83
A,69
A,62
A,33
A,80
A,91
A,61
A,77
A,42
A,56
A,87
A,82
A,31
A,36
A,45
A,41
A,58
A,36
A,58
A,78
A,47
A,39
A,56
A,72
A,56
A,61
A,86
A,60
A,70
A,51
A,44
A,79
A,88
A,49
A,37
A,94
A,70
A,76
A,51
A,48
A,86
A,56
A,40
A,87
A,72
A,86
A,82
A,86
A,63
A,60
A,40
A,71
A,91
A,81
A,36
A,57
A,77
A,37
A,30
A,84
A,57
A,80
A,74
A,47
A,44
A,37
A,48
A,49
A,53
A,86
A,84
A,54
A,56
A,34
A,33
A,77
A,76
A,35
A,93
A,66
A,73
A,54
A,66
A,41
A,59
A,34
A,85
A,90
A,50
A,36
A,46
A,33
A,33
A,33
A,93
A,59
A,70
A,40
A,90
A,82
A,41
A,80
A,92
A,85
A,58
A,76
A,90
A,37
A,75
A,79
A,69
A,64
A,62
A,67
A,45
A,63
A,60
A,58
A,35
A,49
A,44
A,42
A,34
A,32
A,81
A,42
A,52
A,54
A,81
A,41
A,90
A,89
A,37
A,76
A,48
A,67
A,92
A,88
A,78
A,92
A,46
A,75
A,86
A,55
A,41
A,32
A,35
A,87
A,85
A,75
A,40
A,35
A,88
A,49
A,47
A,62
A,52
A,81
A,46
A,82
A,76
A,49
A,91
A,41
A,77
A,50
A,37
A,64
A,59
A,81
A,58
A,66
A,79
A,58
A,30
A,43
A,30
A,53
A,79
A,86
A,32
A,51
A,73
A,82
A,64
A,68
A,93
A,78
A,43
A,92
A,34
A,34
A,65
A,43
A,79
A,84
A,62
A,84
A,58
A,81
A,33
A,71
A,37
A,69
A,64
A,71
A,67
A,55
A,91
A,58
A,46
A,31
A,80
A,38
A,80
A,60
A,61
A,61
A,44
A,47
A,89
A,80
A,36
A,65
A,30
A,94
A,64
A,78
A,42
A,33
A,56
A,44
A,70
A,80
A,88
A,53
A,40
A,90
A,42
A,66
A,38
A,76
A,44
A,30
A,72
A,42
A,60
A,84
A,78
A,78
A,80
A,69
B,77
B,78
B,41
B,48
B,40
B,70
B,53
B,44
B,72
B,40
B,84
B,46
B,66
B,88
B,39
B,72
B,53
B,60
B,61
B,63
B,57
B,47
B,30
B,73
B,41
B,91
B,91
B,54
B,85
B,54
B,35
B,43
B,50
B,35
B,43
B,68
B,66
B,88
B,75
B,87
B,94
B,36
B,92
B,51
B,76
B,62
B,41
B,85
B,54
B,36
B,72
B,92
B,49
B,88
B,90
B,44
B,89
B,50
B,79
B,72
B,87
B,46
B,51
B,78
B,59
B,39
B,79
B,84
B,37
B,61
B,69
B,82
B,90
B,51
B,50
B,63
B,70
B,67
B,38
B,94
B,72
B,55
B,77
B,45
B,37
B,53
B,49
B,76
B,69
B,36
B,62
B,56
B,79
B,86
B,55
B,64
B,58
B,56
B,74
B,56
B,84
B,75
B,82
B,71
B,47
B,58
B,30
B,84
B,87
B,79
B,54
B,69
B,45
B,71
B,84
B,67
B,48
B,51
B,72
B,39
B,77
B,94
B,58
B,75
B,53
B,68
B,53
B,30
B,87
B,49
B,62
B,68
B,51
B,38
B,65
B,47
B,35
B,64
B,73
B,30
B,46
B,62
B,36
B,51
B,35
B,49
B,82
B,31
B,51
B,33
B,84
B,36
B,35
B,80
B,56
B,35
B,69
B,46
B,83
B,50
B,53
B,34
B,61
B,36
B,62
B,71
B,62
B,56
B,41
B,46
B,79
B,48
B,83
B,88
B,87
B,38
B,70
B,80
B,91
B,60
