class,score
A,32
A,69
A,68
A,60
A,78
A,65
A,84
A,51
A,76
A,72
A,42
A,30
A,89
A,66
A,40
A,93
A,30
A,39
A,60
A,90
A,54
A,56
A,70
A,35
A,41
A,90
A,80
A,40
A,30
A,82
A,54
A,83
A,79
A,45
A,75
A,43
A,83
A,64
A,44
A,64
A,46
A,92
A,32
A,32
A,56
A,61
A,59
A,60
A,70
A,73
A,72
A,85
A,74
A,50
A,74
A,63
A,52
A,68
A,87
A,59
A,86
A,39
A,82
A,50
A,86
A,38
A,59
A,73
A,71
A,55
A,71
A,89
A,77
A,50
A,92
A,33
A,63
A,91
A,73
A,85
A,91
A,74
A,75
A,91
A,35
A,32
A,88
A,60
A,70
A,55
A,77
A,46
A,32
A,87
A,94
A,50
A,81
A,50
A,41
A,33
A,79
A,63
A,37
A,54
A,75
A,55
A,76
A,94
A,34
A,82
A,89
A,32
A,54
A,57
A,72
A,86
A,85
A,36
A,81
A,86
A,33
A,32
A,63
A,93
A,61
A,46
A,72
A,69
A,72
A,82
A,73
A,42
A,80
A,45
A,73
A,88
A,84
A,60
A,42
A,50
A,70
A,46
A,50
A,87
A,91
A,67
A,91
A,64
A,56
A,81
A,66
A,59
A,84
A,72
A,33
A,94
A,57
A,71
A,65
A,45
A,86
A,50
A,41
A,87
A,81
A,82
A,72
A,85
A,93
A,40
A,53
A,82
A,50
A,68
A,63
A,61
A,82
A,91
A,55
A,93
A,48
A,74
A,59
A,47
A,53
A,61
A,63
A,87
A,53
A,86
A,76
A,77
A,75
A,46
A,31
A,91
A,37
A,66
A,63
A,93
A,49
A,64
A,31
A,31
A,44
A,88
A,93
A,59
A,69
A,84
A,94
A,62
A,67
A,83
A,92
A,50
A,37
A,85
A,65
A,61
A,34
A,35
A,33
A,46
A,44
A,88
A,45
A,39
A,49
A,89
A,48
A,35
A,47
A,92
A,91
A,78
A,47
A,85
A,59
A,55
A,31
A,50
A,92
A,48
A,94
A,88
A,82
A,34
A,35
A,93
A,71
A,30
A,32
A,83
A,68
A,54
A,64
A,74
A,73
A,63
A,69
A,77
A,45
A,54
A,88
A,91
A,60
A,39
A,52
A,51
A,39
A,31
A,83
A,94
A,35
A,45
A,37
A,66
A,41
A,37
A,39
A,43
A,77
A,73
A,67
A,74
A,41
A,83
A,31
A,80
A,34
A,88
A,67
A,33
A,52
A,67
A,90
A,38
A,50
A,76
B,71
B,86
B,49
B,31
B,58
B,50
B,43
B,35
B,91
B,68
B,37
B,62
B,31
B,55
B,76
B,35
B,63
B,30
B,59
B,35
B,93
B,60
B,61
B,36
B,39
B,59
B,50
B,53
B,71
B,44
B,78
B,92
B,77
B,51
B,41
B,85
B,85
B,87
B,77
B,85
B,93
B,90
B,35
B,73
B,30
B,70
B,86
B,78
B,68
B,60
B,52
B,44
B,33
B,88
B,46
B,43
B,59
B,69
B,49
B,84
B,61
B,60
B,74
B,91
B,85
B,45
B,64
B,72
B,81
B,63
B,76
B,50
B,78
B,81
B,54
B,86
B,42
B,65
B,58
B,32
B,30
B,71
B,54
B,63
B,73
B,70
B,60
B,46
B,46
B,46
B,33
B,36
B,87
B,80
B,53
B,54
B,36
B,46
B,41
B,61
B,88
B,86
B,62
B,59
B,65
B,58
B,91
B,89
B,44
B,44
B,60
B,64
B,77
B,87
B,72
B,63
B,93
B,36
B,60
B,70
B,52
B,83
B,88
B,66
B,38
B,82
B,37
B,31
B,62
B,86
B,92
B,66
B,71
B,88
B,44
B,75
B,72
B,57
B,50
B,84
B,38
B,61
B,74
B,53
B,62
B,78
B,37
B,33
B,90
B,75
B,62
B,41
B,60
B,62
B,83
B,39
B,39
B,71
B,72
B,61
B,59
B,51
B,79
B,83
B,35
B,67
B,56
B,76
B,45
B,93
B,61
B,54
B,78
B,41
B,65
B,60
B,56
B,56
B,52
B,77
