A,B
49,85.0
34,76.0
60,88.0
49,94.0
76,46.0
85,43.0
56,84.0
61,32.0
82,74.0
71,80.0
30,83.0
93,70.0
32,85.0
30,56.0
36,74.0
51,60.0
65,59.0
53,80.0
61,36.0
47,93.0
88,89.0
85,72.0
73,87.0
32,92.0
88,52.0
50,43.0
54,79.0
35,94.0
45,65.0
72,66.0
45,32.0
58,85.0
54,40.0
68,56.0
64,59.0
35,76.0
41,83.0
43,58.0
73,36.0
38,31.0
65,41.0
43,73.0
62,47.0
57,53.0
46,68.0
56,33.0
78,63.0
73,30.0
78,42.0
73,77.0
60,82.0
45,77.0
54,73.0
57,85.0
58,85.0
44,81.0
91,44.0
47,46.0
58,46.0
30,40.0
52,34.0
78,62.0
90,92.0
66,81.0
33,77.0
34,88.0
76,91.0
88,50.0
51,49.0
78,47.0
48,82.0
30,81.0
90,46.0
68,63.0
66,39.0
67,89.0
53,89.0
30,54.0
51,67.0
48,66.0
35,51.0
79,61.0
77,78.0
65,85.0
90,42.0
55,77.0
82,83.0
31,90.0
46,86.0
79,81.0
72,86.0
81,61.0
31,80.0
31,35.0
66,39.0
30,50.0
50,41.0
81,32.0
63,88.0
75,70.0
35,39.0
46,84.0
90,60.0
34,89.0
49,60.0
93,36.0
78,88.0
76,49.0
43,61.0
90,30.0
79,83.0
51,89.0
40,33.0
75,92.0
38,50.0
92,34.0
63,93.0
46,63.0
36,70.0
73,79.0
55,32.0
92,36.0
34,88.0
67,36.0
75,50.0
41,91.0
89,41.0
94,35.0
71,49.0
74,57.0
71,65.0
60,61.0
82,84.0
60,42.0
53,78.0
75,88.0
38,44.0
50,90.0
32,74.0
41,91.0
63,70.0
52,34.0
36,77.0
55,57.0
76,79.0
65,65.0
65,54.0
93,33.0
77,72.0
59,31.0
68,68.0
41,72.0
49,54.0
37,33.0
30,47.0
48,46.0
35,48.0
74,62.0
63,72.0
75,55.0
90,47.0
86,50.0
39,63.0
89,85.0
72,66.0
68,62.0
50,48.0
37,43.0
45,82.0
61,71.0
37,78.0
65,61.0
58,78.0
83,74.0
41,53.0
70,67.0
32,37.0
55,82.0
39,93.0
64,88.0
68,
87,
53,
57,
35,
90,
56,
35,
71,
76,
88,
46,
38,
65,
54,
35,
82,
55,
52,
58,
43,
80,
70,
78,
74,
54,
82,
77,
37,
72,
69,
83,
62,
87,
81,
40,
69,
42,
52,
80,
58,
63,
67,
61,
72,
59,
41,
56,
44,
87,
85,
86,
54,
78,
59,
56,
76,
71,
84,
92,
83,
41,
49,
83,
90,
80,
58,
87,
91,
61,
51,
33,
71,
88,
64,
90,
74,
48,
88,
84,
78,
89,
90,
92,
76,
65,
43,
62,
89,
62,
77,
51,
51,
68,
73,
43,
60,
50,
38,
65,
55,
80,
56,
38,
88,
39,
47,
41,
47,
58,
50,
60,
33,
93,
87,
61,
80,
86,
84,
36,
