ID,Reached.on.Time_Y.N
6045,0
44,1
7940,1
1596,1
4395,1
1991,1
7896,0
4338,0
3215,0
10251,1
3724,1
10811,0
4245,1
2810,1
4107,1
6274,0
1759,1
9859,1
1883,1
7191,1
9126,1
3875,0
291,1
2225,1
6989,1
3109,1
1919,1
10701,0
5882,1
2934,1
7721,0
9432,1
7350,1
8976,0
6835,0
8398,1
5579,1
10650,0
6541,1
582,1
667,1
6781,0
7453,1
7722,1
6820,1
5316,1
1552,1
1705,1
1250,1
10144,1
5638,1
7155,0
1575,1
10279,0
2745,1
9240,1
315,1
6195,0
10071,1
160,1
10948,0
1172,1
9665,0
3254,0
3654,1
4286,1
4592,1
5656,1
7434,1
7452,0
2512,1
5876,1
10802,1
322,1
234,1
3038,1
771,1
4189,1
3414,0
1871,1
4498,0
10188,0
7622,0
8619,1
553,1
229,1
2807,1
5715,1
6547,1
8492,1
4131,0
3281,1
621,1
5233,0
7041,0
3333,0
9198,0
10878,0
7582,0
7086,0
2873,1
8532,0
9729,0
5653,1
10642,0
6940,0
844,1
8040,0
2638,1
9614,0
5794,0
4316,1
7524,1
1320,1
8580,0
10592,1
5529,0
6253,0
7322,0
4988,0
4896,0
9151,0
10067,0
2287,1
9279,1
9068,0
822,1
6632,0
3358,1
5625,1
9445,0
6370,1
5640,0
1345,1
8961,1
4256,1
4016,1
10092,0
9163,0
6255,0
3485,0
1606,1
10120,0
7025,1
10413,1
1616,1
4921,1
3318,0
10351,0
8633,0
10656,1
4121,0
10096,0
5696,1
3887,0
9210,0
9269,0
481,1
5853,0
2953,1
3658,0
6166,1
6923,1
840,1
9855,1
879,1
5698,1
10446,1
2606,1
9452,0
1529,1
9078,0
7766,0
6724,0
5154,0
7424,1
1294,1
112,1
7806,1
4578,0
3329,0
2569,1
10236,0
3020,1
4029,1
8110,1
107,1
2985,1
1336,1
441,1
745,1
9958,0
4500,0
2118,1
1206,1
209,1
4977,1
8818,1
955,1
9765,0
5863,0
293,1
6417,0
10205,1
4257,1
8887,0
8544,0
6222,0
1853,1
5751,0
2061,1
8083,0
3251,0
5962,1
9918,0
7611,0
7628,1
9738,1
7794,1
1713,1
4801,1
6365,0
26,1
901,1
1692,1
10589,0
1189,1
626,1
4143,1
3216,0
4390,1
9361,1
5658,1
1143,1
9937,0
736,1
6375,0
9320,0
3565,1
6011,1
4194,1
10851,0
1504,1
1092,1
7261,1
2317,1
3799,1
4188,0
10888,1
9378,1
7324,0
2213,1
2324,1
471,1
2296,1
8947,0
8317,0
5991,0
10038,1
2151,1
199,1
4849,0
9110,1
7575,1
8334,1
828,1
8022,0
8261,1
10542,1
4389,0
6264,1
8810,1
561,1
5306,1
9687,0
442,1
10281,0
10869,0
1777,1
9664,0
9316,1
8706,1
8306,1
5428,0
4470,1
9577,0
9133,0
1332,1
4058,0
9920,1
6027,1
4020,1
9528,1
10518,0
651,1
6101,0
5190,0
3128,1
5613,0
7343,0
7157,1
39,1
4028,0
1257,1
7143,1
10647,0
5410,1
9342,0
2913,1
3993,1
4072,0
2378,1
3686,1
5951,1
4666,0
8735,0
1546,1
3039,1
6825,0
10211,1
10690,0
811,1
7653,0
8015,1
1612,1
10102,0
902,1
7840,0
8990,1
7871,1
5840,1
50,1
2786,1
1669,1
10486,1
2731,1
8859,1
2508,1
8595,0
4739,1
4262,1
5412,1
9192,1
2293,1
6694,1
5258,0
9967,0
4761,1
6573,1
5061,1
5789,1
3808,0
3989,1
6227,1
8068,1
10803,0
3096,1
1037,1
125,1
3473,0
6146,0
6741,0
1508,1
3624,0
10711,0
9480,1
2668,1
2277,1
5837,1
2702,1
3118,1
10904,1
8803,1
2854,1
4164,0
5041,0
2790,1
3017,1
6194,0
7616,1
8354,0
8553,1
3884,1
5191,0
2990,1
8671,1
9860,1
5883,1
10272,1
1313,1
4375,1
4004,0
3475,0
5527,0
7787,1
9968,0
9183,0
2049,1
4793,0
7248,0
2011,1
2301,1
241,1
9721,1
1050,1
7886,0
486,1
5296,0
3680,0
5330,0
10165,0
4043,0
8503,1
2698,1
202,1
6312,0
1444,1
9863,0
8253,0
185,1
1784,1
7084,0
7842,1
10621,1
2777,1
4667,0
2609,1
3056,1
4716,0
10235,1
7912,0
9959,1
1520,1
10259,1
7892,0
6004,0
10632,0
5517,1
3362,0
530,1
5891,0
3240,1
8042,0
320,1
4463,1
4812,0
10820,1
7598,0
1312,1
2220,1
10992,1
10082,0
9772,1
7561,1
4098,0
5779,0
6323,0
9708,1
8686,0
3457,0
2497,1
10270,0
543,1
10758,0
3201,0
10807,1
436,1
1531,1
10150,0
4497,0
10458,0
7307,1
4149,0
5615,1
783,1
2226,1
994,1
9357,1
2734,1
6663,0
8312,0
6447,1
7572,0
10884,1
9061,0
3510,1
6560,1
7216,1
2212,1
1588,1
7839,1
3241,1
2887,1
1194,1
9810,1
2992,1
466,1
6733,1
4549,1
4312,1
2047,1
10248,0
2095,1
10475,0
10986,1
2795,1
10221,0
5875,1
58,1
6666,1
2373,1
6669,1
9982,0
8300,0
5054,1
5123,0
4547,1
3916,0
9646,0
3302,1
2585,1
2724,1
5477,1
4902,0
2856,1
1561,1
614,1
341,1
4809,0
9877,0
5117,0
2100,1
6502,1
7173,0
2308,1
571,1
9290,0
4502,0
2452,1
923,1
10804,0
9259,1
8486,0
8084,1
7013,0
10932,1
5017,1
8462,1
5,1
3867,0
2535,1
963,1
179,1
7362,0
9022,0
5077,0
4076,0
7590,0
3303,0
9389,1
7789,0
10936,0
6712,1
1306,1
4418,0
9176,1
233,1
919,1
1171,1
4920,1
9644,0
8996,0
3193,0
5284,1
9036,1
174,1
7860,1
4343,1
5276,1
6882,1
2884,1
371,1
6777,0
88,1
10081,0
5299,0
7705,1
5896,0
10472,0
5890,0
10772,0
720,1
1724,1
10013,0
1213,1
7891,1
3236,1
8648,1
2334,1
9824,0
2591,1
1907,1
2622,1
8687,0
1910,1
418,1
7044,0
7589,1
7608,0
5084,0
470,1
9403,0
1584,1
7746,1
10755,0
6111,1
8672,0
4540,0
10261,0
1750,1
4040,0
6589,0
4856,0
5272,1
3200,0
2003,1
5274,0
5752,0
5498,1
10797,0
6145,1
5534,1
3619,0
10200,1
8356,0
8731,1
8975,1
5954,1
2904,1
1841,1
365,1
3222,1
4039,0
3098,1
10501,1
8180,1
1964,1
9020,0
6219,1
7639,0
1577,1
7404,0
759,1
4832,1
5021,0
2416,1
10215,0
7603,0
8245,0
5418,1
5946,1
10576,1
6626,0
6537,1
5885,0
9199,1
7198,0
6633,0
7520,1
3998,0
563,1
6059,0
5982,0
9838,0
9675,0
9206,1
332,1
6584,0
6853,1
7919,1
9,1
8488,1
542,1
9784,0
9761,0
9364,1
7758,0
10850,1
1689,1
4840,1
796,1
2785,1
5390,0
4268,0
2283,1
228,1
6783,1
9727,1
9575,1
8025,1
3598,1
6031,0
8900,0
3711,0
2433,1
3894,1
5130,1
7217,0
10979,0
5177,1
3584,0
9277,0
3242,1
3035,1
5562,1
9736,1
271,1
10156,0
2852,1
9550,0
10640,1
10157,1
8257,1
7353,0
5816,1
5996,0
10035,1
10216,0
10057,1
9265,0
6858,1
4023,0
539,1
7645,1
6719,0
8690,0
3209,0
8476,0
7491,0
8166,1
8003,0
9805,0
3124,1
7266,1
6097,1
9931,1
10467,1
8250,1
534,1
1774,1
685,1
6588,1
2773,1
4045,1
7649,0
1242,1
10551,0
631,1
1370,1
498,1
6842,1
7813,0
9976,0
3371,0
6901,0
937,1
1089,1
2305,1
4426,1
1457,1
2908,1
10365,0
912,1
1641,1
4792,1
4972,1
2438,1
5122,1
3609,0
5179,0
5531,0
886,1
5865,0
4027,1
4450,1
3431,1
2847,1
10731,0
8918,0
7517,0
2138,1
3841,1
10009,1
2030,1
8936,0
2176,1
5437,0
3,1
10761,1
4591,0
5090,0
7594,0
639,1
4634,0
6594,0
5906,0
9136,1
10805,1
6795,0
7760,1
1521,1
2423,1
9007,1
2415,1
5194,0
7600,0
2662,1
970,1
4661,1
10318,1
6830,0
6196,0
3547,1
4214,1
9567,1
4046,1
6961,0
4686,0
4457,1
4612,1
4647,0
10886,1
7499,1
7344,0
10227,1
2688,1
8804,0
2248,1
5450,0
1156,1
7655,1
7487,0
7043,0
9753,1
5297,1
8876,0
4349,0
9882,0
10840,1
5666,1
5838,0
9084,1
10527,0
8030,1
975,1
9511,1
10256,1
1223,1
1846,1
9448,1
7109,0
4576,1
8741,0
7621,0
5509,1
6970,1
4937,1
4708,0
4435,0
1899,1
6779,1
2781,1
5942,1
1441,1
2804,1
363,1
10223,0
4006,1
5068,0
2274,1
4254,0
10996,0
3133,1
10734,0
2395,1
10750,1
2675,1
2608,1
775,1
9351,0
5278,0
8676,0
2744,1
4180,0
3922,0
9362,0
7,1
2368,1
7510,1
8061,0
2707,1
3987,0
6563,1
5056,1
3280,0
7273,0
7514,0
10563,0
1944,1
8336,1
1071,1
5344,0
6266,0
184,1
2742,1
7106,0
9667,0
3015,1
2309,1
10083,1
4035,0
4788,1
2496,1
6709,1
8746,1
8904,0
4967,0
6688,0
3250,1
6037,0
3180,0
4219,0
4168,0
1271,1
9781,1
913,1
7123,1
2783,1
9498,1
6205,1
3049,1
10412,0
1281,1
247,1
317,1
5721,0
2026,1
8414,1
7529,0
5555,1
8660,0
3928,1
3968,0
10179,1
6470,0
4365,0
8052,0
8304,0
10492,0
3975,0
2736,1
1437,1
8550,1
3788,0
9610,1
7349,1
208,1
3395,1
9681,0
3453,0
2637,1
2700,1
2976,1
10046,1
1605,1
8873,0
5702,0
1448,1
5854,1
2427,1
6793,0
3983,1
5058,0
3063,1
5216,1
151,1
6974,0
4620,1
6152,0
2007,1
9854,0
10643,1
5361,1
9520,0
3869,0
2639,1
10252,0
7056,1
4246,0
5587,0
351,1
9690,1
5062,0
94,1
10106,0
9483,1
940,1
8035,0
7692,0
664,1
10379,1
5499,1
8796,1
3879,0
5790,0
5035,1
2451,1
1945,1
6200,1
956,1
801,1
3088,1
606,1
2615,1
570,1
733,1
10340,1
5812,1
3899,1
7319,0
3002,1
8212,0
4691,0
1326,1
4649,0
9728,0
6390,0
6082,1
6764,1
6441,0
1732,1
10611,1
7122,0
1496,1
3507,1
895,1
5293,0
5051,0
8490,1
10728,1
7480,0
149,1
6782,1
4291,1
8806,0
1349,1
2085,1
3011,1
1485,1
4386,1
9582,0
3863,0
9075,1
3708,0
375,1
2968,1
10186,1
3328,0
593,1
2414,1
6963,0
5892,0
10606,1
9004,1
4088,0
2620,1
8774,0
868,1
6139,1
1645,1
6321,1
7607,1
7876,1
9098,0
717,1
10646,1
8736,1
10459,1
3388,0
10493,0
3319,0
5917,0
6683,0
887,1
3194,1
770,1
10536,1
3529,0
3728,0
6397,1
8406,0
3579,1
9254,0
5163,0
2036,1
2730,1
8018,1
283,1
10321,1
2325,1
10732,0
9795,0
2555,1
7063,1
5581,0
7762,0
5384,0
10428,0
10990,0
2806,1
7854,1
3078,1
8144,0
3115,1
6662,0
8489,0
2442,1
557,1
8285,1
9656,1
114,1
6519,0
8011,0
1731,1
7205,1
8109,0
5281,1
4785,1
4829,0
7450,1
4950,1
5728,0
4836,0
307,1
6708,0
