집단,응답
A_ID_78,아니오
B_ID_72,아니오
B_ID_7,예
B_ID_82,아니오
B_ID_83,아니오
B_ID_6,예
A_ID_91,아니오
A_ID_34,예
B_ID_74,아니오
B_ID_17,예
A_ID_56,예
A_ID_20,예
B_ID_13,예
B_ID_38,아니오
A_ID_57,예
B_ID_1,예
B_ID_26,예
B_ID_84,아니오
A_ID_85,아니오
B_ID_68,아니오
B_ID_11,예
B_ID_9,예
A_ID_62,예
A_ID_90,아니오
A_ID_93,아니오
A_ID_100,아니오
B_ID_39,아니오
A_ID_59,예
B_ID_64,아니오
A_ID_4,예
B_ID_86,아니오
B_ID_54,아니오
B_ID_65,아니오
A_ID_63,아니오
B_ID_53,아니오
B_ID_50,아니오
A_ID_66,아니오
B_ID_4,예
A_ID_50,예
B_ID_19,예
B_ID_56,아니오
A_ID_35,예
A_ID_45,예
A_ID_36,예
B_ID_34,아니오
B_ID_88,아니오
A_ID_83,아니오
A_ID_2,예
B_ID_94,아니오
B_ID_10,예
A_ID_64,아니오
B_ID_21,예
B_ID_42,아니오
A_ID_19,예
A_ID_43,예
A_ID_47,예
B_ID_12,예
B_ID_81,아니오
B_ID_79,아니오
B_ID_32,아니오
A_ID_54,예
A_ID_29,예
B_ID_80,아니오
A_ID_68,아니오
A_ID_75,아니오
A_ID_86,아니오
B_ID_75,아니오
B_ID_37,아니오
B_ID_31,아니오
B_ID_87,아니오
A_ID_21,예
B_ID_24,예
A_ID_7,예
A_ID_8,예
B_ID_43,아니오
B_ID_2,예
A_ID_44,예
A_ID_40,예
A_ID_32,예
A_ID_27,예
A_ID_51,예
A_ID_25,예
A_ID_39,예
B_ID_90,아니오
B_ID_44,아니오
B_ID_98,아니오
B_ID_49,아니오
B_ID_22,예
A_ID_24,예
A_ID_13,예
B_ID_33,아니오
A_ID_33,예
A_ID_37,예
A_ID_73,아니오
A_ID_46,예
B_ID_41,아니오
B_ID_99,아니오
A_ID_84,아니오
A_ID_16,예
A_ID_89,아니오
A_ID_12,예
B_ID_96,아니오
A_ID_87,아니오
A_ID_61,예
B_ID_95,아니오
A_ID_67,아니오
A_ID_82,아니오
A_ID_98,아니오
B_ID_59,아니오
A_ID_41,예
B_ID_47,아니오
B_ID_45,아니오
A_ID_94,아니오
A_ID_42,예
B_ID_23,예
A_ID_77,아니오
B_ID_73,아니오
B_ID_60,아니오
A_ID_9,예
B_ID_61,아니오
A_ID_97,아니오
A_ID_6,예
A_ID_92,아니오
A_ID_17,예
B_ID_30,아니오
A_ID_70,아니오
A_ID_15,예
B_ID_71,아니오
B_ID_77,아니오
B_ID_14,예
A_ID_79,아니오
B_ID_3,예
A_ID_5,예
A_ID_96,아니오
B_ID_62,아니오
B_ID_85,아니오
A_ID_10,예
A_ID_38,예
A_ID_72,아니오
A_ID_3,예
A_ID_26,예
A_ID_53,예
A_ID_88,아니오
A_ID_60,예
A_ID_48,예
A_ID_76,아니오
B_ID_93,아니오
B_ID_18,예
B_ID_67,아니오
B_ID_97,아니오
B_ID_89,아니오
B_ID_5,예
B_ID_76,아니오
B_ID_36,아니오
A_ID_52,예
A_ID_49,예
B_ID_58,아니오
A_ID_55,예
B_ID_16,예
B_ID_15,예
A_ID_74,아니오
B_ID_57,아니오
B_ID_52,아니오
A_ID_69,아니오
B_ID_29,예
B_ID_55,아니오
B_ID_51,아니오
A_ID_1,예
B_ID_8,예
A_ID_23,예
B_ID_63,아니오
B_ID_100,아니오
B_ID_27,예
A_ID_58,예
A_ID_71,아니오
B_ID_66,아니오
B_ID_28,예
B_ID_46,아니오
A_ID_81,아니오
B_ID_91,아니오
B_ID_35,아니오
A_ID_31,예
A_ID_14,예
B_ID_78,아니오
A_ID_11,예
A_ID_80,아니오
B_ID_69,아니오
A_ID_18,예
B_ID_25,예
A_ID_28,예
B_ID_92,아니오
A_ID_22,예
B_ID_20,예
B_ID_40,아니오
A_ID_99,아니오
A_ID_95,아니오
A_ID_65,아니오
B_ID_70,아니오
B_ID_48,아니오
A_ID_30,예
