channelid,subcnt,viewcnt,videocnt,ct,channelname
UCkQCwnkQfgSuPTTnw_Y7v7w,1310000,410238653,736,2021-09-30 03:01:03,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1310000,412531322,736,2021-09-30 09:01:03,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1310000,412531322,735,2021-09-30 15:01:03,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1310000,412531322,737,2021-09-30 21:01:03,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1320000,412531322,737,2021-10-01 03:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1320000,412531322,737,2021-10-01 09:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1320000,414984078,737,2021-10-01 15:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1320000,414984078,737,2021-10-01 21:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1320000,414984078,737,2021-10-02 03:01:03,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1320000,414984078,737,2021-10-02 09:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1320000,414984078,737,2021-10-02 15:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1330000,414984078,738,2021-10-02 21:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1330000,414984078,738,2021-10-03 03:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1330000,417316443,738,2021-10-03 09:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1330000,417316443,738,2021-10-03 15:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1330000,417316443,738,2021-10-03 21:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1330000,417316443,738,2021-10-04 03:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1330000,418138737,738,2021-10-04 09:01:05,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1330000,418138737,738,2021-10-04 15:01:05,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1330000,418138737,738,2021-10-04 21:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1330000,418138737,738,2021-10-05 03:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1330000,418138737,738,2021-10-05 09:01:05,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1330000,418723437,738,2021-10-05 15:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1330000,418723437,738,2021-10-05 21:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1330000,418723437,738,2021-10-06 03:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1330000,419100644,738,2021-10-06 09:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1330000,419100644,738,2021-10-06 15:01:05,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1330000,419100644,738,2021-10-06 21:01:05,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1330000,419100644,738,2021-10-07 03:01:05,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1330000,419406287,738,2021-10-07 09:01:04,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1330000,419406287,738,2021-10-07 15:01:05,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1330000,419406287,739,2021-10-07 21:01:03,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1340000,419406287,739,2021-10-08 03:01:03,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1340000,419406287,739,2021-10-08 09:01:03,꽈뚜룹
UCkQCwnkQfgSuPTTnw_Y7v7w,1340000,420424357,739,2021-10-08 15:01:03,꽈뚜룹
